,Request Id,decode_time_execution_plus_preemption_normalized,cdf
0,8,0.007808692933274113,6.25e-05
211,398,0.007859438524378759,0.000125
179,350,0.008086414478787,0.0001875
15998,15877,0.008129423192296103,0.00025
25,131,0.008310045196116,0.0003125
15982,15971,0.00844178258780816,0.000375
6,30,0.008453481666533013,0.0004375
5,13,0.008480245724624854,0.0005
1,5,0.008796575802984557,0.0005625
15990,15991,0.008840210918625316,0.000625
15955,15872,0.008934784967826079,0.0006875
11,7,0.008995625830786447,0.00075
90,190,0.009064712323402606,0.0008125
15996,15656,0.009162430822164518,0.000875
15958,15978,0.009290752003718258,0.0009375
15934,15804,0.009301341488074894,0.001
15978,15364,0.009307947476600551,0.0010625
14,46,0.009309432159641742,0.001125
17,17,0.009321972409647402,0.0011875
201,318,0.009347366479825007,0.00125
13,11,0.009370303772692068,0.0013125
100,222,0.009383181628017007,0.001375
10,33,0.009415898628176014,0.0014375
36,154,0.009546601632123316,0.0015
9,65,0.009564602796397583,0.0015625
74,158,0.009584825558210061,0.001625
4,3,0.00960399951846399,0.0016875
23,38,0.009623818548414124,0.00175
145,302,0.009686632475359584,0.0018125
2,25,0.009695080433718672,0.001875
189,334,0.009734360236073221,0.0019375
15999,15288,0.009752227912752244,0.002
3,20,0.009798724027811945,0.0020625
62,14,0.00985531321380168,0.002125
15,61,0.00986510554540182,0.0021875
116,206,0.009890557892523504,0.00225
71,122,0.009978650965607206,0.0023125
15969,15550,0.009981051244061402,0.002375
157,174,0.01002266901128522,0.0024375
114,238,0.010067214734589809,0.0025
15953,15584,0.010110557888045832,0.0025625
257,430,0.010125442912328472,0.002625
190,286,0.010187870076913125,0.0026875
28,62,0.010220987290181022,0.00275
16,24,0.01027463919465858,0.0028125
146,254,0.010281766502300579,0.002875
8,32,0.010288887504790543,0.0029375
80,106,0.010295964739926475,0.003
31,26,0.010334563564813541,0.0030625
15967,15655,0.01047023208406071,0.003125
15939,15449,0.01048458331391024,0.0031875
21,51,0.010484901778333099,0.00325
85,170,0.010487093110313168,0.0033125
148,270,0.010487267739651225,0.003375
15979,15647,0.010519388248609698,0.0034375
18,53,0.010546853143689427,0.0035
26,74,0.010584858127790506,0.0035625
38,45,0.01058924697317448,0.003625
20,52,0.010696900050120771,0.0036875
15988,15414,0.010809008414767535,0.00375
303,366,0.010836395005319407,0.0038125
50,142,0.010840584500223143,0.003875
47,27,0.010847968648464984,0.0039375
298,382,0.010863364113160558,0.004
58,29,0.01087434770614179,0.0040625
35,59,0.010949892996487801,0.004125
12,58,0.010950192148737856,0.0041875
15991,15661,0.010984956098028622,0.00425
30,57,0.011001632237041498,0.0043125
15888,15625,0.011039057962574917,0.004375
49,126,0.01107661188320266,0.0044375
44,78,0.011102076561987183,0.0045
19,34,0.011120207435185856,0.0045625
34,35,0.011152595304846758,0.004625
27,36,0.011191476476099521,0.0046875
7,42,0.011200748078751231,0.00475
63,43,0.01124382886103135,0.0048125
37,89,0.011304306462583588,0.004875
45,94,0.011318280731493302,0.0049375
15962,15473,0.011355267221574613,0.005
139,138,0.011359773484805515,0.0050625
60,54,0.011368390562647221,0.005125
