,Request Id,decode_time_execution_plus_preemption_normalized,cdf
12,154,0.19080496402199784,0.00037979491074819596
587,751,0.2167801139210951,0.0007595898214963919
2042,2181,0.2564085979265087,0.001139384732244588
2082,2224,0.2783766431510072,0.0015191796429927839
1139,1276,0.2899252173764789,0.0018989745537409798
2414,2559,0.2961316920582074,0.002278769464489176
2515,2663,0.2983047200053514,0.002658564375237372
729,888,0.2985488725430514,0.0030383592859855677
1760,1905,0.30255146847297903,0.003418154196733764
31,168,0.30418211527918815,0.0037979491074819596
2514,2639,0.304444240050775,0.004177744018230156
2616,2765,0.30450516388093957,0.004557538928978352
2494,2651,0.30522345702770753,0.004937333839726547
657,809,0.30550877847293034,0.005317128750474744
2512,2646,0.3064279977385735,0.00569692366122294
2486,2629,0.3065859606744104,0.0060767185719711354
1382,1529,0.3074873129163507,0.006456513482719331
1154,1289,0.3083681996265506,0.006836308393467528
2184,2322,0.30855869705118705,0.0072161033042157235
2072,2172,0.3085944173400486,0.007595898214963919
2508,2643,0.309167443342065,0.007975693125712115
1855,1998,0.3097251349096988,0.008355488036460312
1923,2071,0.31267893828779936,0.008735282947208508
2059,2167,0.31304799800798055,0.009115077857956703
1779,1921,0.3135570377672275,0.0094948727687049
1785,1926,0.31391952072288454,0.009874667679453095
2060,2183,0.3139367485157855,0.010254462590201291
1994,2125,0.31422494364096565,0.010634257500949488
1927,2077,0.31429583503535097,0.011014052411697683
2433,2550,0.31586455022626087,0.01139384732244588
2047,2164,0.3166770850172249,0.011773642233194076
2412,2546,0.31695061767566063,0.012153437143942271
2091,2223,0.31696946819009425,0.012533232054690467
2084,2216,0.31706104844382843,0.012913026965438662
2504,2628,0.31795748608709395,0.013292821876186859
2068,2210,0.318707004688032,0.013672616786935056
2040,2137,0.31894132433443406,0.01405241169768325
2080,2170,0.3202765005216846,0.014432206608431447
2086,2175,0.3203130406478983,0.014812001519179644
1591,1738,0.3206137713437134,0.015191796429927839
1780,1897,0.32069492012602296,0.015571591340676035
2518,2641,0.32086785911588794,0.01595138625142423
2257,2394,0.32144909305260727,0.01633118116217243
2094,2232,0.32158908432332756,0.016710976072920623
1764,1880,0.321621064618193,0.017090770983668818
2604,2750,0.3218906394010795,0.017470565894417017
2081,2185,0.3220133233165696,0.01785036080516521
1916,2035,0.32335027830159824,0.018230155715913406
1747,1888,0.3235125563352467,0.0186099506266616
1165,1277,0.3236154139769226,0.0189897455374098
2037,2159,0.3243791938002308,0.019369540448157994
2275,2408,0.3245005832466652,0.01974933535890619
2076,2165,0.32520100384802747,0.020129130269654388
29,146,0.3254194436565544,0.020508925180402583
1001,1136,0.3259223409883246,0.020888720091150777
1347,1489,0.32608204261771334,0.021268515001898976
2409,2520,0.3261730446010739,0.02164830991264717
1150,1271,0.3261984696643708,0.022028104823395366
1783,1927,0.3267866527130435,0.022407899734143564
2423,2543,0.3269054281880451,0.02278769464489176
2438,2553,0.32695333476967237,0.023167489555639954
1138,1270,0.3270022323557046,0.023547284466388152
2418,2542,0.3271302993983586,0.023927079377136347
2474,2622,0.3272035075207498,0.024306874287884542
2035,2129,0.32831762225987404,0.024686669198632737
1340,1465,0.32869646029274496,0.025066464109380935
1782,1893,0.32967078911278574,0.02544625902012913
2075,2140,0.32980511545252805,0.025826053930877325
2031,2128,0.3301948220795167,0.026205848841625523
2524,2638,0.3305347986680046,0.026585643752373718
2054,2142,0.330569049304642,0.026965438663121913
2256,2387,0.33062931920374794,0.02734523357387011
2329,2469,0.33069911341318037,0.027725028484618306
2088,2201,0.3307047775482735,0.0281048233953665
1050,1200,0.33123265027040816,0.0284846183061147
2090,2191,0.33142869184449264,0.028864413216862894
2525,2655,0.3317392428883325,0.02924420812761109
2083,2205,0.331965305740144,0.029624003038359287
2500,2625,0.3320698448084222,0.030003797949107482
2044,2150,0.33221528616388596,0.030383592859855677
1129,1266,0.33234246085381575,0.030763387770603876
2096,2166,0.3326979206552168,0.03114318268135207
2417,2519,0.3327485827223397,0.031522977592100265
2531,2644,0.33275242382070536,0.03190277250284846
2057,2138,0.3328182993018688,0.032282567413596655
1925,2043,0.3328514320269117,0.03266236232434486
