,cdf,batch_execution_time
0,0.0,0.029688317155319145
1,0.01,0.03533074911971233
2,0.02,0.03889064357572196
3,0.03,0.04384907994148639
4,0.04,0.04464551001305101
5,0.05,0.04491418839179008
6,0.06,0.04527494311404125
7,0.07,0.045456405630066955
8,0.08,0.045821515488995365
9,0.09,0.04600516867366751
10,0.1,0.04609727111345461
11,0.11,0.04609727111345461
12,0.12,0.04618955794251058
13,0.13,0.046282029529983074
14,0.14,0.046467528460465056
15,0.15,0.04656055654547099
16,0.16,0.046653770872889355
17,0.17,0.046747171815577804
18,0.18,0.046747171815577804
19,0.19,0.046747171815577804
20,0.2,0.04684075974714052
21,0.21,0.0469345350419296
22,0.22,0.04712264922234397
23,0.23,0.04712264922234397
24,0.24,0.047216988860426745
25,0.25,0.04731151736665383
26,0.26,0.04731151736665383
27,0.27,0.0474062351191396
28,0.28,0.0474062351191396
29,0.29,0.047501142496755494
30,0.3,0.047501142496755494
31,0.31,0.04759623987913139
32,0.32,0.04778700618048432
33,0.33,0.04778700618048432
34,0.34,0.04788267586252734
35,0.35000000000000003,0.047978537075465344
36,0.36,0.047978537075465344
37,0.37,0.048074590202743524
38,0.38,0.048074590202743524
39,0.39,0.04817083562857485
40,0.4,0.04817083562857485
41,0.41000000000000003,0.04817083562857485
42,0.42,0.04826727373794137
43,0.43,0.04826727373794137
44,0.44,0.04836390491659591
45,0.45,0.04855774802864329
46,0.46,0.04855774802864329
47,0.47000000000000003,0.04855774802864329
48,0.48,0.04855774802864329
49,0.49,0.04865496073740934
50,0.5,0.04865496073740934
51,0.51,0.048752368066212935
52,0.52,0.048752368066212935
53,0.53,0.048947768143231755
54,0.54,0.048947768143231755
55,0.55,0.048947768143231755
56,0.56,0.04904576167304804
57,0.5700000000000001,0.04904576167304804
58,0.58,0.04904576167304804
59,0.59,0.0491439513861072
60,0.6,0.0491439513861072
61,0.61,0.04924233767516848
62,0.62,0.049340920933777434
63,0.63,0.049340920933777434
64,0.64,0.049439701556267444
65,0.65,0.049439701556267444
66,0.66,0.049439701556267444
67,0.67,0.04953867993776148
68,0.68,0.049637856474173424
69,0.6900000000000001,0.049637856474173424
70,0.7000000000000001,0.049637856474173424
71,0.71,0.049737231562209806
72,0.72,0.0498368055993714
73,0.73,0.0498368055993714
74,0.74,0.049936578983954726
75,0.75,0.05003655211505374
76,0.76,0.05003655211505374
77,0.77,0.050237099217171066
78,0.78,0.050237099217171066
79,0.79,0.05033767399037862
80,0.8,0.05043845011448348
81,0.81,0.05053942799259056
82,0.8200000000000001,0.05064060802861177
83,0.8300000000000001,0.05084357619408898
84,0.84,0.05104735785841233
85,0.85,0.051354562801178213
86,0.86,0.051354562801178213
87,0.87,0.05166361651498372
88,0.88,0.05313064076149899
89,0.89,0.2885171024118929
90,0.9,0.43911199948509766
91,0.91,0.5341915967293072
92,0.92,0.6169294155828551
93,0.93,0.6763797296942432
94,0.9400000000000001,0.735650157800279
95,0.9500000000000001,0.7969203235293059
96,0.96,0.8650218187900726
97,0.97,0.9166766107108517
98,0.98,0.9694750783202029
99,0.99,1.0130843652072836
100,1.0,1.6372199718286593
