,Request Id,request_model_execution_time,cdf
1057,1169,3.556827446172123,0.03550882761356874
3088,3276,3.5752312628194134,0.03570720095219203
3298,3353,3.5773556105918254,0.03590557429081531
710,829,3.6377649246730903,0.0361039476294386
4872,4921,3.6382683639352993,0.036302320968061894
4796,4990,3.6395963852538675,0.036500694306685184
2466,2527,3.660328060848832,0.03669906764530847
2035,2095,3.669906053850052,0.03689744098393176
1646,1723,3.6768072947711556,0.03709581432255505
2903,3094,3.6808134900416607,0.03729418766117834
708,825,3.6901793740594937,0.037492560999801625
420,526,3.741017907755381,0.037690934338424915
4786,4978,3.7411447915060934,0.037889307677048206
4185,4231,3.7429150822824426,0.0380876810156715
1538,1625,3.7610355309255885,0.03828605435429478
3119,3316,3.762582741258815,0.03848442769291807
3418,3602,3.7642112034772266,0.03868280103154136
4150,4201,3.7643028133602656,0.038881174370164646
3908,4100,3.774345556177136,0.03907954770878794
4500,4553,3.784906915127111,0.03927792104741123
4746,4799,3.7910064473289817,0.03947629438603452
2450,2513,3.7934554530403184,0.0396746677246578
3490,3545,3.8015837606080725,0.039873041063281094
3045,3238,3.808333856035467,0.040071414401904384
243,350,3.816932342706266,0.040269787740527675
839,961,3.8265518936445106,0.04046816107915096
4837,5026,3.8282159254090535,0.04066653441777425
1875,1943,3.8383881816348566,0.04086490775639754
2194,2255,3.8579634831081897,0.04106328109502083
799,919,3.866724644329618,0.041261654433644115
3556,3625,3.867400957686676,0.041460027772267406
1,25,3.9059826843947634,0.0416584011108907
2950,3138,3.9098453481426496,0.04185677444951399
4680,4733,3.918431860952905,0.04205514778813727
873,992,3.9260337455548697,0.04225352112676056
4991,5031,3.933256034293091,0.04245189446538385
1223,1348,3.935672791372929,0.042650267804007144
1395,1489,3.948314017032056,0.04284864114263043
2512,2688,3.9497853347136878,0.04304701448125372
1409,1550,3.9719646580356582,0.04324538781987701
213,319,3.977554809972399,0.0434437611585003
5025,5069,3.989046239940344,0.043642134497123584
4886,4925,3.9913868661849343,0.043840507835746875
402,513,3.999167454694171,0.044038881174370166
3854,3897,4.009093123742502,0.04423725451299346
4884,5070,4.0197605069510125,0.04443562785161674
1408,1499,4.021247338344246,0.04463400119024003
2397,2572,4.027060702965381,0.04483237452886332
1860,1919,4.029932319171706,0.04503074786748661
3035,3091,4.032262339487374,0.0452291212061099
4376,4413,4.038642635979167,0.04542749454473319
4077,4109,4.052235242112954,0.04562586788335648
521,640,4.06514240812398,0.04582424122197976
3063,3121,4.100503487563446,0.04602261456060305
3561,3627,4.100682794407763,0.046220987899226344
2892,3076,4.1027707819925,0.046419361237849635
395,507,4.102844810239923,0.04661773457647292
1744,1801,4.109175289686271,0.04681610791509621
1425,1521,4.118741992337172,0.0470144812537195
4382,4415,4.122005742890845,0.04721285459234279
3403,3451,4.1260415942259705,0.047411227930966075
3147,3191,4.134305254417858,0.047609601269589366
3896,4082,4.13444228691056,0.04780797460821266
701,821,4.140181020191893,0.04800634794683595
3930,3969,4.1408814617027385,0.04820472128545923
