,cdf,batch_num_tokens
0,0.0,0.9989999999999999
1,0.01,0.9989999999999999
2,0.02,0.9989999999999999
3,0.03,0.9989999999999999
4,0.04,0.9989999999999999
5,0.05,0.9989999999999999
6,0.06,0.9989999999999999
7,0.07,0.9989999999999999
8,0.08,0.9989999999999999
9,0.09,0.9989999999999999
10,0.1,0.9989999999999999
11,0.11,0.9989999999999999
12,0.12,1.9997051226201907
13,0.13,1.9997051226201907
14,0.14,1.9997051226201907
15,0.15,1.9997051226201907
16,0.16,3.001162958349363
17,0.17,3.001162958349363
18,0.18,3.001162958349363
19,0.19,3.001162958349363
20,0.2,3.001162958349363
21,0.21,3.001162958349363
22,0.22,4.002823400834266
23,0.23,4.002823400834266
24,0.24,4.997811098765265
25,0.25,6.993632892422741
26,0.26,7.996469989602652
27,0.27,10.004152608697645
28,0.28,12.001124195202623
29,0.29,13.999202723426244
30,0.3,16.00658858967672
31,0.31,19.01067154327947
32,0.32,21.99907771279114
33,0.33,22.988648370853415
34,0.34,26.023515884264672
35,0.35000000000000003,28.991440241586453
36,0.36,31.976480717732706
37,0.37,34.021772103706674
38,0.38,35.981348045147264
39,0.39,37.9777595100358
40,0.4,40.004851316295785
41,0.41000000000000003,40.976582199748535
42,0.42,41.97191674322714
43,0.43,44.03570409928742
44,0.44,45.0152251403878
45,0.45,47.04011666295805
46,0.46,47.990390374500834
47,0.47000000000000003,48.95986089487216
48,0.48,50.0489138553459
49,0.49,50.95795140178327
50,0.5,51.98737065170029
51,0.51,53.03758555691637
52,0.52,53.03758555691637
53,0.53,54.000906295163944
54,0.54,54.98172381112103
55,0.55,54.98172381112103
56,0.56,55.98035589845489
57,0.5700000000000001,56.99712612291374
58,0.58,58.03236392716473
59,0.59,58.03236392716473
60,0.6,58.96834998281604
61,0.61,61.007747867799274
62,0.62,61.99172297111608
63,0.63,64.0075398344503
64,0.64,72.02411011477574
65,0.65,89.03245768467185
66,0.66,126.09065247316987
67,0.67,127.10342371406671
68,0.68,127.10342371406671
69,0.6900000000000001,128.12432962288904
70,0.7000000000000001,128.12432962288904
71,0.71,128.12432962288904
72,0.72,128.12432962288904
73,0.73,128.12432962288904
74,0.74,128.12432962288904
75,0.75,128.12432962288904
76,0.76,128.12432962288904
77,0.77,128.12432962288904
78,0.78,128.12432962288904
79,0.79,128.12432962288904
80,0.8,128.12432962288904
81,0.81,128.12432962288904
82,0.8200000000000001,128.12432962288904
83,0.8300000000000001,128.12432962288904
84,0.84,128.12432962288904
85,0.85,128.12432962288904
86,0.86,944.826944931938
87,0.87,1592.4069532962299
88,0.88,1952.7658391661473
89,0.89,2184.193786478932
90,0.9,2375.5923383688164
91,0.91,2552.9430630157717
92,0.92,2721.6732520144233
93,0.93,2884.1980143444634
94,0.9400000000000001,3050.3211963478007
95,0.9500000000000001,3206.714561828855
96,0.96,3357.6688124182656
97,0.97,3508.7047139973547
98,0.98,3644.601219542047
99,0.99,3785.761166078392
100,1.0,4052.1475102051904
