,Request Id,request_e2e_time_normalized,cdf
251,398,0.007096907523256674,6.25e-05
15969,15971,0.007537417516022789,0.000125
15994,15877,0.007582231632797474,0.0001875
15991,15991,0.007981047967512638,0.00025
15971,15978,0.008004498810613946,0.0003125
15975,15804,0.008370171602892397,0.000375
15979,15872,0.008433887786520173,0.0004375
6,30,0.008752988049385488,0.0005
106,190,0.008899770696863651,0.0005625
15990,15656,0.009096856927722012,0.000625
15988,15364,0.009099841096158846,0.0006875
124,206,0.00919028233022404,0.00075
5,13,0.009259466980312778,0.0008125
9,7,0.009366038724609983,0.000875
16,46,0.009406003964601253,0.0009375
15982,15550,0.009421309418100212,0.001
0,5,0.009447314870469698,0.0010625
226,318,0.009463727488436328,0.001125
35,131,0.009595184686972106,0.0011875
222,334,0.00959560338219178,0.00125
15978,15584,0.00974523374193706,0.0013125
15976,15655,0.009758417670608869,0.001375
15,17,0.009780028648211328,0.0014375
304,366,0.00983466416131556,0.0015
121,222,0.009841613631336127,0.0015625
15997,15288,0.00987675755173226,0.001625
151,174,0.009963629768433284,0.0016875
15999,15647,0.009978818266605198,0.00175
15962,15449,0.010017392903361136,0.0018125
224,350,0.010037721589542347,0.001875
12,11,0.010060367188939798,0.0019375
78,122,0.01007286888413457,0.002
22,38,0.01008456127568721,0.0020625
15995,15414,0.010089451532706135,0.002125
81,158,0.010123708553173669,0.0021875
130,138,0.010138343488673028,0.00225
17,61,0.010150441300379648,0.0023125
15944,15625,0.010279620690101507,0.002375
129,202,0.010301664308433317,0.0024375
134,238,0.010329532361343728,0.0025
99,170,0.010398580546539337,0.0025625
83,106,0.010471504063175532,0.002625
11,33,0.010802994029976878,0.0026875
290,430,0.010806873180337474,0.00275
15998,15661,0.0108960073788258,0.0028125
41,29,0.010899357972286089,0.002875
14,24,0.010900557941137508,0.0029375
58,14,0.0109219562282744,0.003
167,90,0.010923972884511909,0.0030625
173,10,0.01094952261091752,0.003125
26,62,0.010964180160684346,0.0031875
181,302,0.010979054348680664,0.00325
36,45,0.011003341479630545,0.0033125
1869,2090,0.01100661749873242,0.003375
212,286,0.011013692701272414,0.0034375
34,59,0.011048789902981165,0.0035
20,53,0.01107455477467343,0.0035625
15967,15473,0.01108442517132287,0.003625
15880,15988,0.011144999722899595,0.0036875
313,382,0.011162120860533403,0.00375
171,254,0.011190866101296769,0.0038125
48,154,0.01121838424668408,0.003875
76,6,0.011296903134790058,0.0039375
783,955,0.011305375933857173,0.004
1862,2026,0.011325951606259507,0.0040625
79,1,0.011329973972912159,0.004125
2,3,0.011384404383693727,0.0041875
1,8,0.011429831523892636,0.00425
15911,15912,0.011434021733712206,0.0043125
37,27,0.011438140251126773,0.004375
15861,15987,0.011454125399987391,0.0044375
792,907,0.011478371593656628,0.0045
19,52,0.011512206009760446,0.0045625
15868,15982,0.01156079817795031,0.004625
38,89,0.01160494021863696,0.0046875
32,35,0.011606068096206052,0.00475
62,105,0.011690087103906524,0.0048125
31,26,0.01172532101029335,0.004875
28,57,0.011726834303602888,0.0049375
15992,14774,0.011746238006669485,0.005
2820,3092,0.011752071994883826,0.0050625
15985,14807,0.011753068634594237,0.005125
91,22,0.011784041667348448,0.0051875
1900,2042,0.01182145262612521,0.00525
15989,14577,0.01184559652894954,0.0053125
15934,15353,0.011854845814053218,0.005375
180,270,0.011875975277593256,0.0054375
56,54,0.011886947978186006,0.0055
53,49,0.011899547909847397,0.0055625
60,43,0.01190829750276225,0.005625
15996,15055,0.01191083884689851,0.0056875
15973,14526,0.011932030155251284,0.00575
771,923,0.011944376954491073,0.0058125
49,19,0.011953758870169844,0.005875
767,891,0.012004959086208458,0.0059375
15931,15771,0.012051128162678755,0.006
249,186,0.012052633042156587,0.0060625
15926,15476,0.012072632274765833,0.006125
15980,14786,0.012076241326351085,0.0061875
15878,15934,0.01208960870087569,0.00625
15968,14510,0.012093709502234344,0.0063125
15955,14883,0.012130968093224224,0.006375
29,74,0.012133188340527215,0.0064375
42,78,0.012153460525646517,0.0065
40,83,0.012158841158401133,0.0065625
10,65,0.012167473968309079,0.006625
1857,2056,0.012191528888303658,0.0066875
69,73,0.012209839588400818,0.00675
27,28,0.012219019838520792,0.0068125
21,51,0.01222704768619553,0.006875
126,23,0.012240372242595735,0.0069375
13,58,0.012256338220559859,0.007
77,41,0.012256453304839916,0.0070625
51,87,0.012260662550878007,0.007125
775,875,0.012307985716524738,0.0071875
18,34,0.01231162865593228,0.00725
15977,15773,0.012332231723490357,0.0073125
1843,2008,0.012332647191909917,0.007375
46,4,0.01234491245696901,0.0074375
8,32,0.012391349090944897,0.0075
52,71,0.012470052018146938,0.0075625
15905,15754,0.012499172101973736,0.007625
758,779,0.012547854638991935,0.0076875
87,77,0.012581659589554211,0.00775
15897,15781,0.012617409921946468,0.0078125
2810,3028,0.01262493733380465,0.007875
67,21,0.01262945635089619,0.0079375
191,250,0.012648494374285951,0.008
859,1035,0.012684059260051419,0.0080625
762,939,0.012691083207413101,0.008125
33,95,0.012734643081886128,0.0081875
101,55,0.012745110866153275,0.00825
44,94,0.012747241507769097,0.0083125
763,897,0.012751819445577994,0.008375
2808,3060,0.01279110929502322,0.0084375
1835,1978,0.012796569119432664,0.0085
15828,15994,0.012830425946307277,0.0085625
734,859,0.01286878104692836,0.008625
15974,14615,0.012886192421354496,0.0086875
15877,15960,0.012899444056908228,0.00875
219,285,0.0129007178331799,0.0088125
66,126,0.012913922009844323,0.008875
718,795,0.01294377150158568,0.0089375
55,12,0.01294405306832004,0.009
30,15,0.012953211034248877,0.0090625
