,cdf,batch_size
0,0.0,0.9989999999999999
1,0.01,0.9989999999999999
2,0.02,0.9989999999999999
3,0.03,0.9989999999999999
4,0.04,0.9989999999999999
5,0.05,0.9989999999999999
6,0.06,0.9989999999999999
7,0.07,0.9989999999999999
8,0.08,0.9989999999999999
9,0.09,0.9989999999999999
10,0.1,0.9989999999999999
11,0.11,0.9989999999999999
12,0.12,0.9989999999999999
13,0.13,0.9989999999999999
14,0.14,0.9989999999999999
15,0.15,0.9989999999999999
16,0.16,0.9989999999999999
17,0.17,0.9989999999999999
18,0.18,1.9997051226201907
19,0.19,3.001162958349363
20,0.2,3.001162958349363
21,0.21,4.997811098765265
22,0.22,6.993632892422741
23,0.23,8.997981121446852
24,0.24,10.004152608697645
25,0.25,12.001124195202623
26,0.26,13.000662984908592
27,0.27,13.999202723426244
28,0.28,16.00658858967672
29,0.29,16.996381089962515
30,0.3,18.0113202620591
31,0.31,19.01067154327947
32,0.32,19.985369849237582
33,0.33,21.99907771279114
34,0.34,22.988648370853415
35,0.35000000000000003,24.022732262610404
36,0.36,26.023515884264672
37,0.37,26.977430211401757
38,0.38,28.022299698332315
39,0.39,28.991440241586453
40,0.4,29.99409814075676
41,0.41000000000000003,30.969431716511867
42,0.42,31.976480717732706
43,0.43,33.01627645128441
44,0.44,34.021772103706674
45,0.45,35.981348045147264
46,0.46,37.003063394656856
47,0.47000000000000003,37.9777595100358
48,0.48,40.004851316295785
49,0.49,40.976582199748535
50,0.5,41.97191674322714
51,0.51,44.03570409928742
52,0.52,46.01653444375361
53,0.53,47.990390374500834
54,0.54,50.95795140178327
55,0.55,54.000906295163944
56,0.56,55.98035589845489
57,0.5700000000000001,58.03236392716473
58,0.58,58.96834998281604
59,0.59,60.03939109153555
60,0.6,60.03939109153555
61,0.61,61.007747867799274
62,0.62,61.007747867799274
63,0.63,61.007747867799274
64,0.64,61.99172297111608
65,0.65,61.99172297111608
66,0.66,61.99172297111608
67,0.67,61.99172297111608
68,0.68,61.99172297111608
69,0.6900000000000001,62.99156830465424
70,0.7000000000000001,62.99156830465424
71,0.71,62.99156830465424
72,0.72,62.99156830465424
73,0.73,62.99156830465424
74,0.74,62.99156830465424
75,0.75,62.99156830465424
76,0.76,62.99156830465424
77,0.77,62.99156830465424
78,0.78,64.0075398344503
79,0.79,64.0075398344503
80,0.8,64.0075398344503
81,0.81,64.0075398344503
82,0.8200000000000001,64.0075398344503
83,0.8300000000000001,64.0075398344503
84,0.84,64.0075398344503
85,0.85,64.0075398344503
86,0.86,64.0075398344503
87,0.87,64.0075398344503
88,0.88,64.0075398344503
89,0.89,64.0075398344503
90,0.9,64.0075398344503
91,0.91,64.0075398344503
92,0.92,64.0075398344503
93,0.93,64.0075398344503
94,0.9400000000000001,64.0075398344503
95,0.9500000000000001,64.0075398344503
96,0.96,64.0075398344503
97,0.97,64.0075398344503
98,0.98,64.0075398344503
99,0.99,64.0075398344503
100,1.0,64.0075398344503
