,Request Id,request_model_execution_time_normalized,cdf
965,645,0.020464859558512634,0.00021285653469561516
1161,342,0.020486722215164333,0.0004257130693912303
1159,295,0.020505002434813416,0.0006385696040868455
1200,187,0.020517259472616917,0.0008514261387824606
1304,626,0.02053214410136067,0.0010642826734780758
998,234,0.02054221621716724,0.001277139208173691
1210,518,0.02055870264547096,0.001489995742869306
3218,2851,0.02056342736375155,0.0017028522775649213
3638,3500,0.02057026219099232,0.0019157088122605363
3330,2997,0.02058365115173118,0.0021285653469561515
1357,75,0.02058418148170876,0.0023414218816517666
1542,624,0.020584913454796946,0.002554278416347382
1468,471,0.02058673189864333,0.002767134951042997
1386,231,0.020587653738157574,0.002979991485738612
1414,169,0.02058835146311699,0.0031928480204342275
1678,487,0.02058913775364591,0.0034057045551298426
1899,435,0.02059007131436914,0.0036185610898254576
1408,651,0.020591538783101545,0.0038314176245210726
1410,39,0.02059199771358612,0.004044274159216688
1600,337,0.02059239258774033,0.004257130693912303
1232,223,0.020593528416641537,0.004469987228607918
1616,377,0.020594760757435205,0.004682843763303533
1531,218,0.020597224111974288,0.004895700297999148
1535,397,0.020600499289297563,0.005108556832694764
1846,545,0.020600894341869663,0.005321413367390379
2116,590,0.020614970279240936,0.005534269902085994
2723,1986,0.020626329353076726,0.005747126436781609
3653,3288,0.020629581520329895,0.005959982971477224
2732,1929,0.020629911190721634,0.006172839506172839
3022,1911,0.020633964365199684,0.006385696040868455
2843,2019,0.0206407667109787,0.00659855257556407
3122,2391,0.020642019332505833,0.006811409110259685
3051,1900,0.02064232109319077,0.0070242656449553
1854,1205,0.020651330202999734,0.007237122179650915
4468,3340,0.020652250657709995,0.00744997871434653
3468,2773,0.02065258991194995,0.007662835249042145
4694,3383,0.020654016380604868,0.007875691783737761
1604,576,0.020654512119949994,0.008088548318433376
1444,598,0.020654929224798523,0.008301404853128991
4249,3321,0.020656056056685017,0.008514261387824606
3631,2834,0.020656201373038818,0.008727117922520221
2744,1970,0.020657691061351017,0.008939974457215836
4599,4531,0.020659545532362107,0.009152830991911451
1514,563,0.020659902407051636,0.009365687526607066
1544,48,0.02066121714288757,0.009578544061302681
3388,2867,0.020661970610631797,0.009791400595998296
2784,1992,0.020662196005333398,0.010004257130693913
3236,1882,0.020662571275739054,0.010217113665389528
2332,1133,0.020662841499573512,0.010429970200085143
1715,1251,0.02066454782523023,0.010642826734780758
4598,3396,0.020665556972200242,0.010855683269476373
2778,2404,0.020666979886534338,0.011068539804171988
2894,1441,0.02066886876168987,0.011281396338867603
4632,3325,0.02066899471820868,0.011494252873563218
4293,2849,0.020671448275393623,0.011707109408258833
4474,3290,0.020671939226576213,0.011919965942954448
2586,1189,0.02067306444735595,0.012132822477650063
4564,4480,0.020675670116134394,0.012345679012345678
3243,2106,0.020675877856133184,0.012558535547041293
2471,1109,0.020677466588305184,0.01277139208173691
3508,2523,0.020678499536590525,0.012984248616432525
