Request Id,request_e2e_time,request_e2e_time_normalized,request_execution_time,request_execution_time_normalized,request_model_execution_time,request_model_execution_time_normalized,request_preemption_time,request_scheduling_delay,request_execution_plus_preemption_time,request_execution_plus_preemption_time_normalized,prefill_e2e_time,prefill_time_execution_plus_preemption,prefill_time_execution_plus_preemption_normalized,decode_time_execution_plus_preemption_normalized,request_inter_arrival_delay,request_num_tokens,request_num_prefill_tokens,request_num_decode_tokens,request_pd_ratio,request_num_restarts
0,12.124440329593876,0.02536493792802066,8.665314104387061,0.01812827218491017,8.665314104387061,0.01812827218491017,3.4591262252068735,0.0,12.124440329593934,0.025364937928020782,0.4231105522672935,0.4231105522672935,0.0001445543396881768,0.024479769408633015,,3405,2927,478,6.123430962343096,0
1,9.403691412866513,0.029664641680966917,5.984475818847446,0.01887847261466071,5.984475818847446,0.01887847261466071,3.419215594019088,0.0,9.403691412866534,0.029664641680966986,0.5084854947095941,0.5084854947095941,0.000146833813083914,0.028060586492608574,0.0015830524401711787,3780,3463,317,10.92429022082019,0
2,8.63805323198952,0.03211172205200565,5.285494101820372,0.019648676958440043,5.285494101820372,0.019648676958440043,3.1521936161324455,0.0,8.437687717952818,0.0313668688399733,0.7083586048968651,0.7083586048968651,0.00020437351555016304,0.029478418688076782,0.02010150400468534,3735,3466,269,12.884758364312267,0
3,5.0024230849247315,0.0806842433052376,1.6652534046175622,0.026858925880928423,1.6652534046175622,0.026858925880928423,3.106680651714141,0.0,4.771934056331704,0.07696667832793071,0.7851302688937686,0.7851302688937686,0.00020628751153278207,0.06802085187146716,0.015786636604382093,3868,3806,62,61.38709677419355,0
4,7.973384474301755,0.033929295635326616,4.5856735507700925,0.019513504471362096,4.5856735507700925,0.019513504471362096,3.020661142797227,0.3022898171675497,7.6063346935673195,0.03236738167475455,0.7872546798486508,0.48496486268110106,0.0001894393994848051,0.030579275721077038,0.08334954205050518,2795,2560,235,10.893617021276595,0
5,4.668127593837947,0.0897716844968836,1.3891585864693288,0.026714588201333246,1.3891585864693288,0.026714588201333246,2.9107348475320327,0.31867449900010947,4.299893434001362,0.08269025834618003,0.8502992815357796,0.5316247825356701,0.00031719855759884853,0.07341977523658014,0.07057331304991205,1728,1676,52,32.23076923076923,0
6,8.809940496837868,0.029563558714221033,5.6320083925781,0.01889935702207416,5.6320083925781,0.01889935702207416,2.7784884972897257,0.3994436069701045,8.410496889867826,0.02822314392573096,0.7731487258128243,0.37370511884271984,0.00014626423438071227,0.026969099902768603,0.13920550622196126,2853,2555,298,8.573825503355705,0
7,6.104699290208053,0.043604994930057525,2.9706203143493313,0.02121871653106665,2.9706203143493313,0.02121871653106665,2.9107348475320327,0.17378446749023785,5.881355161881364,0.042009679727724035,0.7054092500259079,0.5316247825356701,0.00034952319693337946,0.03856635742987246,0.005684525287910358,1661,1521,140,10.864285714285714,0
8,4.207902236000524,0.10789492912821856,1.1984062088994605,0.030728364330755396,1.1984062088994605,0.030728364330755396,2.4543169651451207,0.5375384503265864,3.6527231740445814,0.09365956856524568,1.0573828477072382,0.5198443973806517,0.00015151396018089528,0.08078254841777656,0.03425288496228068,3470,3431,39,87.97435897435898,0
9,19.73115038601183,0.020467998325738413,16.594768191956625,0.017214489825681148,16.594768191956625,0.017214489825681148,2.686208332809335,0.4501738612457391,19.28097652476596,0.02000101299249581,0.8706482076622504,0.42047434641651127,0.00014514130010925483,0.019564836284595002,0.0018906360754599172,3861,2897,964,3.0051867219917012,0
10,12.642769491834663,0.023720017808320195,9.508626611875913,0.017839824787759688,9.508626611875913,0.017839824787759688,2.3340168815593305,0.7159008859896844,11.842643493435244,0.022218843327270626,1.211143542323783,0.4952426563340986,0.0002026361114296639,0.02144770347000165,0.01541979349748901,2977,2444,533,4.585365853658536,0
11,6.098682306888653,0.04205987797854244,2.9662085621427106,0.020456610773398005,2.9662085621427106,0.020456610773398005,2.5211466046417343,0.6098512149990438,5.487355166784445,0.03784382873644445,0.9842600281814349,0.37440881318239105,0.0001509712956380609,0.035271877784187715,0.04399472049163461,2625,2480,145,17.103448275862068,0
12,7.460709015626423,0.033456094240477234,4.563047238955941,0.020462095241954893,4.563047238955941,0.020462095241954893,1.9032649792578709,0.9943967974126353,6.466312218213812,0.02899691577674355,1.5454487832998853,0.55105198588725,0.00014710410728437,0.026525830638235593,0.001680900230019211,3969,3746,223,16.798206278026907,0
13,5.366573996476183,0.05111022853786841,2.198017996545297,0.02093350472900283,2.198017996545297,0.02093350472900283,2.3728589358105117,0.7956970641203776,4.570876932355809,0.04353216126053151,1.118159634022881,0.32246256990250344,0.00015399358639088035,0.04046108916622193,0.013855729322729993,2199,2094,105,19.942857142857143,0
14,8.064035550661046,0.030545589207049417,5.232042816009314,0.019818344000035282,5.232042816009314,0.019818344000035282,1.627261553202577,1.0860189422029882,6.859304369211891,0.02598221351974201,1.7420032299560386,0.6559842877530502,0.00018041372050413922,0.023947092123882605,0.06559325007641081,3900,3636,264,13.772727272727273,0
15,6.2807455374010726,0.038532181211049524,3.413546889484754,0.02094200545696168,3.413546889484754,0.02094200545696168,2.013276577754227,0.8539220701621247,5.426823467238981,0.03329339550453362,1.3538254631972193,0.4999033930350947,0.0001472903338347362,0.030226503522723023,0.04920807839015007,3557,3394,163,20.822085889570552,0
16,7.499779226738815,0.0320503385758069,4.598000893780691,0.019649576469148253,4.598000893780691,0.019649576469148253,1.4793975060433069,1.401227574325168,6.077398399823998,0.025971788033435892,1.8687732694783816,0.46754569515321354,0.0001684242417698896,0.024064128022480483,0.015564151185426423,3010,2776,234,11.863247863247864,0
17,6.058057284327784,0.03933803431381678,2.9447193780858463,0.019121554403154845,2.9447193780858463,0.019121554403154845,2.0687956449231315,0.9321811102270335,5.013515023008978,0.03255529235720116,1.369876877412374,0.4376957671853403,0.00037187405878108776,0.030442729915035136,0.055613044143860146,1331,1177,154,7.642857142857143,0
18,7.014301680429812,0.03262465897874331,4.377516296589197,0.020360540914368355,4.377516296589197,0.020360540914368355,1.118776058492983,1.5180093253476583,5.496292355082179,0.025564150488754322,2.0264948200572523,0.508485494709594,0.00014691866359710894,0.023199101676151437,0.10360863088894356,3676,3461,215,16.09767441860465,0
19,7.207481268070881,0.03147371732782044,4.438683103639645,0.019382895649081418,4.438683103639645,0.019382895649081418,1.5901660254869339,1.1786321389443475,6.028849129126579,0.0263268520922558,1.601742691211641,0.4231105522672933,0.00014460374308519937,0.024479207759210656,0.00040749803464168455,3155,2926,229,12.777292576419214,0
20,3.8299023232762814,0.08704323461991549,1.1942025296316703,0.02714096658253796,1.1942025296316703,0.02714096658253796,0.9541561635101785,1.606708730030277,2.148358693141849,0.048826333935042016,2.116889668900766,0.510180938870489,0.00018149446420152578,0.03893210578126172,0.10243536638065942,2855,2811,44,63.88636363636363,0
21,7.096551011699378,0.030457300479396474,4.599749875541378,0.0197414157748557,4.599749875541378,0.0197414157748557,1.2734161644235917,1.0885635107972864,5.873166039964969,0.025206721201566393,1.7411968352172598,0.6526333244199733,0.00018441178988979186,0.022984352688764455,0.07486187131084276,3772,3539,233,15.188841201716738,0
22,8.34871450659725,0.027194509793476387,5.644245748567681,0.01838516530478072,5.644245748567681,0.01838516530478072,0.8816721166046921,1.8227966414249472,6.5259178651723735,0.02125706145007288,2.127712932624478,0.3049162911995307,0.0001924976585855623,0.020263848775155614,0.025993442906161235,1891,1584,307,5.159609120521172,0
23,9.31788947512156,0.02525173299490938,6.868881130118465,0.018614854011161152,6.868881130118465,0.018614854011161152,0.9906887931613744,1.3878903688585231,7.85956992327984,0.02129964748856325,1.9873696286957878,0.5994792598372647,0.0001664757733510871,0.019865907442888273,0.010561641755454376,3970,3601,369,9.75880758807588,0
24,4.97532447119474,0.04012358444511887,2.6033559077455752,0.020994805707625606,2.6033559077455752,0.020994805707625606,0.5539958505208662,1.8179727129283074,3.1573517582664414,0.025462514179568078,2.18951520764161,0.37154249471330214,0.00014679671857499097,0.022466203738331695,0.1875,2655,2531,124,20.411290322580644,0
25,3.367658233382878,0.09904877157008464,1.0889023083948102,0.0320265384822003,1.0889023083948102,0.0320265384822003,0.7565846718807916,1.4914936924380764,1.8454869802756018,0.054279028831635344,2.0083236643470976,0.5168299719090212,0.0001566151430027337,0.039980428501052365,0.025648058117567762,3334,3300,34,97.05882352941177,0
