,cdf,batch_execution_time
0,0.0,0.005875276170367526
1,0.01,0.006176508124076063
2,0.02,0.0063265375204762065
3,0.03,0.006467263704952446
4,0.04,0.006558442187347202
5,0.05,0.006717748886687155
6,0.06,0.006880925197701588
7,0.07,0.007033983066339041
8,0.08,0.00716174117766964
9,0.09,0.007350388296714168
10,0.1,0.007498876040017316
11,0.11,0.0077582218066907845
12,0.12,0.007978521899251242
13,0.13,0.008270981472466509
14,0.14,0.00860852674446919
15,0.15,0.009049895499672129
16,0.16,0.009648025007611067
17,0.17,0.010409858161462445
18,0.18,0.010620151316613502
19,0.19,0.01079144045371867
20,0.2,0.010856383753157218
21,0.21,0.011009442085099047
22,0.22,0.011075697326653724
23,0.23,0.011142351294774148
24,0.24,0.011276865023359462
25,0.25,0.011299441329712537
26,0.26,0.011367441797760437
27,0.27,0.01145874609280157
28,0.28,0.011527705262977854
29,0.29,0.011597079432065257
30,0.3,0.01162029680830563
31,0.31,0.01169022819683742
32,0.32,0.011784125140703235
33,0.33,0.011855042454375702
34,0.34,0.01190255760698327
35,0.35000000000000003,0.01192638655114139
36,0.36,0.011974187651746066
37,0.37,0.012118743552489568
38,0.38,0.0121430053013434
39,0.39,0.012191674612501781
40,0.4,0.012240538990844098
41,0.41000000000000003,0.012265044574409346
42,0.42,0.012437962859764295
43,0.43,0.012512814993719123
44,0.44,0.012562966506568189
45,0.45,0.012714630318108891
46,0.46,0.012765590709203124
47,0.47000000000000003,0.012997451909840904
48,0.48,0.013128078516963538
49,0.49,0.013339817236495882
50,0.5,0.013554971024371348
51,0.51,0.013746075290919292
52,0.52,0.013884225690625371
53,0.53,0.014023764525396363
54,0.54,0.014108160074140246
55,0.55,0.014164705749241335
56,0.56,0.014364406338656776
57,0.5700000000000001,0.01442197905186511
58,0.58,0.014450851882799777
59,0.59,0.014537817659518063
60,0.6,0.014596085407384123
61,0.61,0.014654586693083775
62,0.62,0.014742778553645742
63,0.63,0.01480186778723828
64,0.64,0.014890945991031294
65,0.65,0.014950629081493246
66,0.66,0.014950629081493246
67,0.67,0.014980560270845588
68,0.68,0.015040602536417851
69,0.6900000000000001,0.015070713852807076
70,0.7000000000000001,0.015222177095846093
71,0.71,0.015222177095846093
72,0.72,0.015313784737057837
73,0.73,0.015375162570294712
74,0.74,0.015375162570294712
75,0.75,0.015405943676541549
76,0.76,0.015498657232031206
77,0.77,0.015529685574838067
78,0.78,0.015623143813782043
79,0.79,0.01574863028273627
80,0.8,0.015811750982145337
81,0.81,0.015811750982145337
82,0.8200000000000001,0.01590690670144762
83,0.8300000000000001,0.015970661774644724
84,0.84,0.016163464281624563
85,0.85,0.01629329065222864
86,0.86,0.016325909852733606
87,0.87,0.01662243706766539
88,0.88,0.016924350101212383
89,0.89,0.0174397734704088
90,0.9,0.01772105418477893
91,0.91,0.01807904334652525
92,0.92,0.01859241032956371
93,0.93,0.01877926722247083
94,0.9400000000000001,0.019196989335858235
95,0.9500000000000001,0.020506737348862922
96,0.96,0.05398756843969932
97,0.97,0.07584971279604816
98,0.98,0.09546445659720001
99,0.99,0.11730226496624101
100,1.0,0.13655863943609645
