,Request Id,request_execution_time_normalized,cdf
332,398,0.0413937627946738,0.00021542438604049978
265,319,0.04164725907967921,0.00043084877208099956
3206,3286,0.042202827471315686,0.0006462731581214993
894,948,0.04248449911121257,0.0008616975441619991
77,131,0.04306521402200213,0.001077121930202499
270,312,0.04320903835154121,0.0012925463162429987
695,768,0.043210178660266683,0.0015079707022834985
0,5,0.04338653917686726,0.0017233950883239983
884,946,0.04343930577750153,0.001938819474364498
3155,3238,0.04378426820328151,0.002154243860404998
550,642,0.044180352438703024,0.002369668246445498
2840,2921,0.044218617518594405,0.0025850926324859974
25,53,0.04437354211683328,0.0028005170185264974
296,336,0.04480442616456665,0.003015941404566997
2886,2947,0.044895792278950145,0.003231365790607497
247,299,0.044930780167713506,0.0034467901766479965
899,961,0.045001610774325324,0.0036622145626884965
1830,1927,0.045201527282088594,0.003877638948728996
4119,4181,0.045217559740748293,0.004093063334769496
1759,1822,0.04535719097103678,0.004308487720809996
2907,2957,0.04537780862150413,0.004523912106850495
2902,2959,0.0453826717342816,0.004739336492890996
731,796,0.04543205511726092,0.004954760878931495
716,766,0.04545423483881143,0.005170185264971995
2643,2724,0.04555187715853572,0.005385609651012494
4165,4236,0.045566500953494946,0.005601034037052995
3065,3148,0.04568057578183613,0.005816458423093494
301,321,0.04572751699118196,0.006031882809133994
4048,4118,0.04583607877580153,0.0062473071951744934
2909,2945,0.045983832242561556,0.006462731581214994
84,105,0.046034861999400635,0.0066781559672554934
17,58,0.046189094226039194,0.006893580353295993
3033,3108,0.04621155856395698,0.0071090047393364926
4399,4517,0.04633660141132671,0.007324429125376993
883,936,0.04646512677268994,0.0075398535114174926
898,949,0.04646794830743709,0.007755277897457992
390,439,0.0464754718206908,0.007970702283498492
1780,1831,0.046583683490168774,0.008186126669538992
2878,2943,0.04666637410487175,0.00840155105557949
730,774,0.046748647081284386,0.008616975441619991
719,778,0.04676064501079812,0.008832399827660492
347,407,0.04694174679301601,0.00904782421370099
2910,2955,0.04699546798729091,0.00926324859974149
2893,2949,0.047146972771313515,0.009478672985781991
2405,2478,0.047289792448149966,0.00969409737182249
891,955,0.04733578280817227,0.00990952175786299
890,941,0.047426243677945276,0.010124946143903489
315,351,0.04746227152725574,0.01034037052994399
765,832,0.047469904669290325,0.01055579491598449
5,13,0.04759759214050016,0.010771219302024989
723,776,0.04761015806028821,0.010986643688065489
4108,4171,0.047645107645009045,0.01120206807410599
558,637,0.047684652631455125,0.011417492460146488
6,7,0.04774625908709603,0.011632916846186989
3017,3081,0.047812787853723795,0.011848341232227487
4053,4122,0.04793663495418189,0.012063765618267988
1918,2004,0.04797107893948656,0.012279190004308488
2025,2095,0.0479849584538313,0.012494614390348987
1755,1816,0.048050146584408635,0.012710038776389487
280,325,0.04812256554175741,0.012925463162429988
3059,3126,0.04814699430805714,0.013140887548470486
190,214,0.048193222288982436,0.013356311934510987
2908,2946,0.04820940007150422,0.013571736320551486
3006,3092,0.04823588661554391,0.013787160706591986
3544,3635,0.048259653109867746,0.014002585092632486
7,11,0.048332425251107106,0.014218009478672985
4092,4135,0.04834182571778113,0.014433433864713486
596,675,0.04852815866464339,0.014648858250753986
1458,1521,0.04858465325502579,0.014864282636794485
2930,2992,0.048604448452805836,0.015079707022834985
304,345,0.048621988143645364,0.015295131408875486
167,193,0.04865196548828296,0.015510555794915984
3515,3598,0.04867149138955008,0.015725980180956483
2901,2950,0.048678293253569024,0.015941404566996983
3002,3089,0.04868980792342026,0.016156828953037484
2243,2322,0.04870957089955788,0.016372253339077984
630,691,0.04871136291542346,0.016587677725118485
4084,4143,0.04871296231507387,0.01680310211115898
609,669,0.04874593600033323,0.017018526497199482
1556,1630,0.048859891973668634,0.017233950883239983
2526,2594,0.04890141738416216,0.017449375269280483
4117,4177,0.048908608699210473,0.017664799655320983
3180,3258,0.048918341881316656,0.017880224041361484
10,17,0.04896480208798281,0.01809564842740198
161,197,0.048974026269745737,0.01831107281344248
2898,2944,0.04899000439597203,0.01852649719948298
3220,3282,0.04900395349935173,0.018741921585523482
1747,1823,0.04908579795053204,0.018957345971563982
1819,1880,0.04911104658912806,0.01917277035760448
1790,1829,0.04913834200804836,0.01938819474364498
3,20,0.04922110508049282,0.01960361912968548
2015,2067,0.049239587138754766,0.01981904351572598
861,932,0.04926841128017012,0.02003446790176648
2135,2232,0.049293203104580734,0.020249892287806978
4137,4185,0.04929582889895808,0.02046531667384748
193,224,0.04932372106918427,0.02068074105988798
666,720,0.049391116916994,0.02089616544592848
1758,1827,0.04940919504925146,0.02111158983196898
1482,1532,0.04948485773331382,0.02132701421800948
4111,4182,0.04953675628775959,0.021542438604049977
