,cdf,batch_size
0,0.0,0.9989999999999999
1,0.01,0.9989999999999999
2,0.02,0.9989999999999999
3,0.03,0.9989999999999999
4,0.04,0.9989999999999999
5,0.05,0.9989999999999999
6,0.06,0.9989999999999999
7,0.07,0.9989999999999999
8,0.08,0.9989999999999999
9,0.09,0.9989999999999999
10,0.1,1.9997051226201907
11,0.11,1.9997051226201907
12,0.12,1.9997051226201907
13,0.13,1.9997051226201907
14,0.14,3.001162958349363
15,0.15,3.001162958349363
16,0.16,4.002823400834266
17,0.17,4.002823400834266
18,0.18,4.997811098765265
19,0.19,5.995445496133053
20,0.2,7.996469989602652
21,0.21,10.004152608697645
22,0.22,13.999202723426244
23,0.23,16.996381089962515
24,0.24,16.996381089962515
25,0.25,18.0113202620591
26,0.26,18.0113202620591
27,0.27,18.0113202620591
28,0.28,18.0113202620591
29,0.29,19.01067154327947
30,0.3,19.01067154327947
31,0.31,19.01067154327947
32,0.32,19.01067154327947
33,0.33,19.01067154327947
34,0.34,19.01067154327947
35,0.35000000000000003,19.01067154327947
36,0.36,19.01067154327947
37,0.37,19.01067154327947
38,0.38,19.985369849237582
39,0.39,19.985369849237582
40,0.4,19.985369849237582
41,0.41000000000000003,19.985369849237582
42,0.42,19.985369849237582
43,0.43,19.985369849237582
44,0.44,19.985369849237582
45,0.45,19.985369849237582
46,0.46,19.985369849237582
47,0.47000000000000003,19.985369849237582
48,0.48,19.985369849237582
49,0.49,19.985369849237582
50,0.5,19.985369849237582
51,0.51,19.985369849237582
52,0.52,19.985369849237582
53,0.53,21.010042023055906
54,0.54,21.010042023055906
55,0.55,21.010042023055906
56,0.56,21.010042023055906
57,0.5700000000000001,21.010042023055906
58,0.58,21.010042023055906
59,0.59,21.010042023055906
60,0.6,21.010042023055906
61,0.61,21.010042023055906
62,0.62,21.010042023055906
63,0.63,21.010042023055906
64,0.64,21.010042023055906
65,0.65,21.010042023055906
66,0.66,21.010042023055906
67,0.67,21.010042023055906
68,0.68,21.010042023055906
69,0.6900000000000001,21.010042023055906
70,0.7000000000000001,21.010042023055906
71,0.71,21.99907771279114
72,0.72,21.99907771279114
73,0.73,21.99907771279114
74,0.74,21.99907771279114
75,0.75,21.99907771279114
76,0.76,21.99907771279114
77,0.77,21.99907771279114
78,0.78,21.99907771279114
79,0.79,21.99907771279114
80,0.8,21.99907771279114
81,0.81,21.99907771279114
82,0.8200000000000001,21.99907771279114
83,0.8300000000000001,21.99907771279114
84,0.84,21.99907771279114
85,0.85,22.988648370853415
86,0.86,22.988648370853415
87,0.87,22.988648370853415
88,0.88,22.988648370853415
89,0.89,22.988648370853415
90,0.9,22.988648370853415
91,0.91,22.988648370853415
92,0.92,22.988648370853415
93,0.93,24.022732262610404
94,0.9400000000000001,24.022732262610404
95,0.9500000000000001,24.022732262610404
96,0.96,24.022732262610404
97,0.97,24.022732262610404
98,0.98,25.003118897839112
99,0.99,25.003118897839112
100,1.0,28.022299698332315
