,Request Id,request_preemption_time,cdf
606,751,0.6727315514352199,0.00020437359493153485
4630,4854,1.0396959346608128,0.0004087471898630697
4034,4073,1.1716900150022411,0.0006131207847946045
746,888,1.2362670299689285,0.0008174943797261394
3277,3335,1.555660698593556,0.0010218679746576743
3748,3795,1.6239784567976585,0.001226241569589209
0,131,1.795577789732219,0.001430615164520744
2216,2277,1.7989613698459834,0.0016349887594522788
1911,2120,1.8708984436321998,0.0018393623543838135
4447,4686,1.977970047111512,0.0020437359493153486
4012,4246,1.9923839452364973,0.002248109544246883
56,168,2.1440282980073277,0.002452483139178418
2701,2759,2.1642593889317823,0.002656856734109953
1704,1779,2.1892129887700094,0.002861230329041488
503,642,2.229883295402601,0.0030656039239730227
439,569,2.2417856608819022,0.0032699775189045576
3510,3571,2.302145032150065,0.0034743511138360926
1159,1279,2.3172673644064616,0.003678724708767627
3561,3623,2.367392054284437,0.003883098303699162
4845,5076,2.377809245224171,0.004087471898630697
3009,3071,2.4042864359787472,0.004291845493562232
2017,2210,2.4354191009412034,0.004496219088493766
1742,1926,2.443990585519714,0.0047005926834253016
1264,1416,2.451865311074414,0.004904966278356836
4234,4452,2.4599863182120316,0.005109339873288371
1683,1866,2.562503886536433,0.005313713468219906
1047,1200,2.632641859047453,0.005518087063151441
3197,3249,2.700013259600837,0.005722460658082976
4489,4517,2.7561801483689123,0.00592683425301451
13,117,2.7697371969504907,0.0061312078479460455
4377,4411,2.772749450340598,0.00633558144287758
4620,4665,2.77330953973933,0.006539955037809115
4359,4383,2.8122733069460537,0.00674432863274065
3870,4090,2.828193825916287,0.006948702227672185
4426,4455,2.830886062031823,0.00715307582260372
3813,4032,2.837240930113012,0.007357449417535254
3329,3393,2.850133499527601,0.007561823012466789
4433,4461,2.8788266627063877,0.007766196607398324
2478,2527,2.892686960814217,0.00797057020232986
4737,4781,2.9197005080475265,0.008174943797261395
2422,2622,2.920475233584625,0.008379317392192928
937,1078,2.9415274712259816,0.008583690987124463
4255,4472,2.9725413931266758,0.008788064582055999
18,123,2.9919252114664356,0.008992438176987532
1427,1527,3.021167159041738,0.009196811771919068
3161,3374,3.0491442974357597,0.009401185366850603
2097,2288,3.060831578151806,0.009605558961782138
1118,1235,3.0637474363739443,0.009809932556713672
1571,1738,3.1037380357117854,0.010014306151645207
288,407,3.1175319871689027,0.010218679746576743
3145,3187,3.1601926020478004,0.010423053341508276
1248,1394,3.1735298855757037,0.010627426936439812
3512,3718,3.2223275122555606,0.010831800531371347
5,96,3.225223575234671,0.011036174126302882
4084,4111,3.2649997888709095,0.011240547721234416
1434,1521,3.2663116610476663,0.011444921316165951
2808,2861,3.2724102422173473,0.011649294911097487
2644,2862,3.291536277051705,0.01185366850602902
3928,3959,3.3379450106506283,0.012058042100960556
3933,3963,3.3611566614215462,0.012262415695892091
2587,2651,3.3820606179754122,0.012466789290823626
2754,2807,3.3864377967115615,0.01267116288575516
4502,4726,3.392649348454597,0.012875536480686695
1425,1529,3.4065365420231046,0.01307991007561823
3699,3898,3.414914797788697,0.013284283670549764
4490,4515,3.4229259317901324,0.0134886572654813
517,640,3.4299898784663583,0.013693030860412835
443,560,3.4473807135015875,0.01389740445534437
2008,2071,3.4672541816482862,0.014101778050275904
356,472,3.477012991032467,0.01430615164520744
3041,3254,3.4861651721059843,0.014510525240138974
3045,3099,3.5044029312589373,0.014714898835070508
4824,4863,3.529124203312449,0.014919272430002043
3753,3797,3.53476762926266,0.015123646024933579
4431,4469,3.5899651788652136,0.015328019619865114
2606,2663,3.6086405677317543,0.015532393214796648
3286,3333,3.6597338818651224,0.015736766809728183
2710,2765,3.6659599393385633,0.01594114040465972
3888,4100,3.6740548398247483,0.016145513999591254
1803,1867,3.687928380221365,0.01634988759452279
2341,2387,3.690785997911121,0.01655426118945432
3623,3820,3.725325847838576,0.016758634784385856
3958,3981,3.7266976482992504,0.01696300837931739
2509,2559,3.74019066307892,0.017167381974248927
2477,2533,3.7445323891018916,0.017371755569180462
14,116,3.74699767442765,0.017576129164111998
2580,2784,3.7575248138554116,0.017780502759043533
1655,1723,3.759765245997869,0.017984876353975065
141,255,3.783404599271968,0.0181892499489066
2420,2469,3.798065183999711,0.018393623543838136
687,809,3.803033056404871,0.01859799713876967
3968,3991,3.8038187094741716,0.018802370733701206
1861,1927,3.8102549478609262,0.01900674432863274
4477,4503,3.8585432920074254,0.019211117923564277
2202,2394,3.8714289942163305,0.01941549151849581
1741,1910,3.8766697547937383,0.019619865113427344
11,95,3.8794550914080466,0.01982423870835888
2668,2719,3.9266083492750568,0.020028612303290415
1339,1482,3.9430368654827816,0.02023298589822195
3550,3750,3.9510745164486707,0.020437359493153485
3257,3299,3.957147330406542,0.02064173308808502
513,627,3.9968519565937584,0.020846106683016553
2576,2776,4.025475851994656,0.021050480277948088
4748,4785,4.043809444429826,0.021254853872879623
2869,2921,4.063422489001596,0.02145922746781116
2503,2688,4.067010902211564,0.021663601062742694
4333,4359,4.075403834035342,0.02186797465767423
2170,2223,4.090108116297529,0.022072348252605765
2192,2378,4.1561784011410055,0.022276721847537297
3080,3121,4.156213060646223,0.022481095442468832
469,581,4.157929307251152,0.022685469037400367
1167,1271,4.16068667830632,0.022889842632331903
3849,4058,4.1655156598367284,0.023094216227263438
1788,1849,4.181804785229701,0.023298589822194973
1421,1568,4.199425970637719,0.02350296341712651
1011,1127,4.202180777031856,0.02370733701205804
2179,2364,4.209618009610608,0.023911710606989576
1292,1397,4.2150520802865685,0.02411608420192111
3995,4222,4.220346028751692,0.024320457796852647
2781,2831,4.238856406679474,0.024524831391784182
3402,3602,4.244622198874595,0.024729204986715717
44,154,4.248004411488093,0.024933578581647253
3022,3077,4.254998320179766,0.025137952176578784
3780,3974,4.26104579118919,0.02534232577151032
2018,2077,4.261737408650333,0.025546699366441855
1545,1625,4.26599609303878,0.02575107296137339
1883,1943,4.320539753113735,0.025955446556304926
1130,1266,4.335795193028389,0.02615982015123646
3998,4212,4.337572274629565,0.026364193746167996
2522,2567,4.3652234203090075,0.02656856734109953
1363,1463,4.371323980774719,0.026772940936031064
2988,3194,4.378166880445633,0.0269773145309626
3947,4152,4.395827482754612,0.027181688125894134
4528,4553,4.399099590618562,0.02738606172082567
3010,3208,4.41093790756895,0.027590435315757205
2957,3176,4.4291646019948985,0.02779480891068874
1511,1666,4.449341036244391,0.027999182505620272
4579,4607,4.461838719388652,0.028203556100551808
3819,4026,4.468536134368151,0.028407929695483343
1763,1823,4.474944876946211,0.02861230329041488
1710,1888,4.4772221857398335,0.028816676885346414
1268,1408,4.506965431950334,0.02902105048027795
2843,3052,4.509102644180302,0.029225424075209484
4609,4635,4.517839890112555,0.029429797670141016
1402,1550,4.528268020673295,0.02963417126507255
2196,2370,4.529075563483161,0.029838544860004087
3048,3091,4.560057081713239,0.030042918454935622
3209,3245,4.578887036511105,0.030247292049867158
2895,3094,4.5833508865005115,0.030451665644798693
9,124,4.59630430189643,0.030656039239730228
2335,2514,4.597193755293347,0.03086041283466176
553,684,4.610933286224281,0.031064786429593295
4646,4848,4.611466538701507,0.03126916002452483
1736,1916,4.618334903078107,0.031473533619456366
4795,5006,4.633685060415019,0.0316779072143879
1564,1722,4.636545546357979,0.03188228080931944
827,955,4.636665025071011,0.03208665440425097
396,507,4.642482845312202,0.03229102799918251
3920,3939,4.6487557119442044,0.03249540159411404
1330,1427,4.649951805837986,0.03269977518904558
4379,4588,4.661364981209317,0.032904148783977114
2460,2513,4.674669087663915,0.03310852237890864
2891,3092,4.687566534053985,0.03331289597384018
4118,4334,4.6939646971191,0.03351726956877171
404,510,4.711713021306338,0.03372164316370325
915,1035,4.712811953633832,0.03392601675863478
3949,3969,4.717615916305704,0.03413039035356632
2203,2255,4.72113042003366,0.034334763948497854
598,719,4.723128660694272,0.03453913754342939
4312,4526,4.724810169618877,0.034743511138360925
416,526,4.72835971942601,0.03494788473329246
4763,4978,4.746125250708019,0.035152258328223995
4702,4733,4.746635447946119,0.03535663192315553
1866,1921,4.748429488848501,0.035561005518087066
3570,3625,4.765184889388593,0.0357653791130186
865,992,4.765810541674625,0.03596975270795013
2557,2750,4.768322205246363,0.036174126302881665
3393,3437,4.774985229403455,0.0363784998978132
3974,4182,4.775919378422259,0.036582873492744736
1657,1727,4.780311315240851,0.03678724708767627
521,636,4.783912431186053,0.036991620682607806
3409,3455,4.798040832743254,0.03719599427753934
2388,2572,4.813019663992463,0.03740036787247088
3239,3444,4.814689423044911,0.03760474146740241
388,491,4.816027851413338,0.03780911506233395
1572,1651,4.818710269902226,0.03801348865726548
3448,3646,4.837667091614776,0.03821786225219702
4875,5084,4.837714683797685,0.038422235847128554
3071,3276,4.846586993388428,0.03862660944206009
1700,1860,4.847863009624348,0.03883098303699162
549,675,4.851676370598,0.03903535663192315
1723,1775,4.854826631053584,0.03923973022685469
3310,3353,4.8550802413124075,0.039444103821786224
2943,3152,4.909136964895879,0.03964847741671776
4775,4990,4.926104062186596,0.039852851011649294
2011,2063,4.940994608290453,0.04005722460658083
3642,3836,4.952205173822222,0.040261598201512365
2890,2933,4.955962188058038,0.0404659717964439
3034,3238,4.957119519241587,0.040670345391375436
1573,1649,4.981371881942096,0.04087471898630697
1117,1250,4.995535162341639,0.041079092581238506
3046,3085,4.997292087814003,0.04128346617617004
280,398,4.997585438128809,0.04148783977110158
3,65,5.005013319796348,0.041692213366033105
2528,2583,5.008424819110019,0.04189658696096464
1059,1186,5.0173786293267995,0.042100960555896176
1353,1443,5.021137909508411,0.04230533415082771
17,110,5.033507744156534,0.04250970774575925
2027,2087,5.046386546124722,0.04271408134069078
3103,3314,5.048953608931242,0.04291845493562232
2077,2131,5.055248761369285,0.04312282853055385
3535,3732,5.05892140085075,0.04332720212548539
4645,4683,5.075007344897585,0.043531575720416923
2694,2896,5.076716598127405,0.04373594931534846
3011,3055,5.079236069633225,0.043940322910279994
1414,1499,5.092953132559444,0.04414469650521153
4231,4261,5.108697958210087,0.044349070100143065
226,325,5.111666442988252,0.04455344369507459
2880,3076,5.112139881714711,0.04475781729000613
818,939,5.119268458146507,0.044962190884937664
2743,2791,5.158181774056175,0.0451665644798692
3771,3799,5.181914948947679,0.045370938074800735
213,319,5.20171477641432,0.04557531166973227
3441,3638,5.215133079264888,0.045779685264663805
3466,3519,5.216248732064514,0.04598405885959534
2317,2371,5.2316905287881355,0.046188432454526876
1855,1905,5.245600012309978,0.04639280604945841
1319,1417,5.25860530680427,0.04659717964438995
3297,3329,5.261194183995485,0.04680155323932148
2073,2125,5.273883379053473,0.04700592683425302
2605,2643,5.287392438889583,0.04721030042918455
625,734,5.288067149501842,0.04741467402411608
2333,2367,5.302706161528363,0.047619047619047616
2456,2509,5.3050207523434665,0.04782342121397915
1349,1437,5.306079528250109,0.04802779480891069
3829,3855,5.31070852632206,0.04823216840384222
1403,1489,5.316295463460051,0.04843654199877376
2398,2433,5.317003052300379,0.04864091559370529
306,405,5.32303826216841,0.04884528918863683
4880,4897,5.3280531117350165,0.049049662783568364
1512,1595,5.344340791761965,0.0492540363784999
3873,3897,5.348366019974719,0.049458409973431434
2783,2978,5.366456351895067,0.04966278356836297
4544,4750,5.368277004599349,0.049867157163294505
2448,2487,5.374005406954211,0.05007153075822604
2098,2151,5.382178589935961,0.05027590435315757
395,496,5.392833478709292,0.050480277948089104
1575,1726,5.39311677391197,0.05068465154302064
3129,3167,5.39319391203162,0.050889025137952175
2652,2852,5.406439003482092,0.05109339873288371
2206,2382,5.414036847678631,0.051297772327815246
4811,5026,5.415328276790433,0.05150214592274678
1771,1944,5.418583338873532,0.051706519517678316
166,261,5.427401689297682,0.05191089311260985
1663,1822,5.436005821912545,0.05211526670754139
2111,2159,5.436398272862107,0.05231964030247292
3595,3635,5.438326273698067,0.05252401389740446
