,cdf,batch_num_tokens
0,0.0,0.9989999999999999
1,0.01,0.9989999999999999
2,0.02,0.9989999999999999
3,0.03,0.9989999999999999
4,0.04,0.9989999999999999
5,0.05,0.9989999999999999
6,0.06,0.9989999999999999
7,0.07,0.9989999999999999
8,0.08,0.9989999999999999
9,0.09,0.9989999999999999
10,0.1,0.9989999999999999
11,0.11,0.9989999999999999
12,0.12,0.9989999999999999
13,0.13,0.9989999999999999
14,0.14,0.9989999999999999
15,0.15,0.9989999999999999
16,0.16,0.9989999999999999
17,0.17,0.9989999999999999
18,0.18,0.9989999999999999
19,0.19,0.9989999999999999
20,0.2,0.9989999999999999
21,0.21,0.9989999999999999
22,0.22,0.9989999999999999
23,0.23,0.9989999999999999
24,0.24,0.9989999999999999
25,0.25,0.9989999999999999
26,0.26,0.9989999999999999
27,0.27,0.9989999999999999
28,0.28,0.9989999999999999
29,0.29,0.9989999999999999
30,0.3,0.9989999999999999
31,0.31,0.9989999999999999
32,0.32,0.9989999999999999
33,0.33,0.9989999999999999
34,0.34,0.9989999999999999
35,0.35000000000000003,0.9989999999999999
36,0.36,0.9989999999999999
37,0.37,0.9989999999999999
38,0.38,0.9989999999999999
39,0.39,0.9989999999999999
40,0.4,0.9989999999999999
41,0.41000000000000003,0.9989999999999999
42,0.42,0.9989999999999999
43,0.43,0.9989999999999999
44,0.44,0.9989999999999999
45,0.45,0.9989999999999999
46,0.46,0.9989999999999999
47,0.47000000000000003,0.9989999999999999
48,0.48,0.9989999999999999
49,0.49,0.9989999999999999
50,0.5,0.9989999999999999
51,0.51,0.9989999999999999
52,0.52,0.9989999999999999
53,0.53,0.9989999999999999
54,0.54,0.9989999999999999
55,0.55,1.9997051226201907
56,0.56,1.9997051226201907
57,0.5700000000000001,1.9997051226201907
58,0.58,1.9997051226201907
59,0.59,1.9997051226201907
60,0.6,1.9997051226201907
61,0.61,1.9997051226201907
62,0.62,3.001162958349363
63,0.63,3.001162958349363
64,0.64,4.002823400834266
65,0.65,4.002823400834266
66,0.66,4.997811098765265
67,0.67,5.995445496133053
68,0.68,12.001124195202623
69,0.6900000000000001,35.981348045147264
70,0.7000000000000001,40.976582199748535
71,0.71,47.04011666295805
72,0.72,54.98172381112103
73,0.73,58.96834998281604
74,0.74,64.0075398344503
75,0.75,70.03540615115575
76,0.76,74.96347080859108
77,0.77,76.93808039734769
78,0.78,78.96470309310095
79,0.79,81.04470897088486
80,0.8,83.01331137924744
81,0.81,86.05623561054385
82,0.8200000000000001,89.03245768467185
83,0.8300000000000001,91.0128771517113
84,0.84,93.97238986969887
85,0.85,96.06269216059265
86,0.86,98.98823767054662
87,0.87,102.00287933571242
88,0.88,105.95357795162072
89,0.89,110.05729204763485
90,0.9,114.09153661923892
91,0.91,120.90451457652556
92,0.92,128.12432962288904
93,0.93,1403.8895531837034
94,0.9400000000000001,2040.6058750864543
95,0.9500000000000001,2394.673305539692
96,0.96,2727.1220473137514
97,0.97,3056.427945489638
98,0.98,3350.9601834224245
99,0.99,3622.7990767920714
100,1.0,4035.971288783434
