,Request Id,request_preemption_time,cdf
9665,10509,0.09061749990200951,6.25e-05
15216,15992,0.10950953433371069,0.000125
7665,8536,0.15334607532165023,0.0001875
14986,15998,0.1557993434185505,0.00025
15451,15999,0.16904219191178527,0.0003125
12654,13361,0.22089597061923882,0.000375
15436,15981,0.22900790065705223,0.0004375
15427,15977,0.23750633297441937,0.0005
12022,13030,0.29964911185768983,0.0005625
3187,4073,0.31765046528096264,0.000625
15569,15995,0.3258206967738033,0.0006875
10254,11214,0.3381888458770277,0.00075
15453,15965,0.3559928504809591,0.0008125
93,751,0.35758506042222926,0.000875
12277,13240,0.40202486541187454,0.0009375
15519,15983,0.40413389695316937,0.001
14942,15970,0.4281537032651386,0.0010625
15223,15968,0.43020248824808505,0.001125
5047,5848,0.440129707769799,0.0011875
15445,15957,0.4460018263541201,0.00125
10059,11020,0.4885610258895099,0.0013125
5909,6775,0.48889238600713725,0.001375
15542,15969,0.4984816903217393,0.0014375
15308,15980,0.498661369990657,0.0015
14611,15303,0.5038313505002634,0.0015625
15180,15956,0.5044070580177618,0.001625
15252,15964,0.5169085790461736,0.0016875
11040,11789,0.5368395442513076,0.00175
10185,11148,0.5372033371986049,0.0018125
15207,15952,0.5379213019882627,0.001875
15027,15966,0.5389183424308044,0.0019375
15464,15953,0.5395084795935077,0.002
15594,15985,0.5447101901883116,0.0020625
7801,8734,0.5514352661452904,0.002125
15536,15961,0.5560239645210459,0.0021875
12986,13683,0.5672469292783262,0.00225
5519,6379,0.5738815056808306,0.0023125
8429,9265,0.5860970978455384,0.002375
11823,12491,0.5873397458547629,0.0024375
15000,15958,0.5885372148865144,0.0025
15316,15972,0.607801521985607,0.0025625
4,154,0.6086314535467672,0.002625
14449,15538,0.6109703425081534,0.0026875
15621,15993,0.6329667465592479,0.00275
15068,15974,0.6336918325695251,0.0028125
15461,15945,0.638158398905091,0.002875
6727,7610,0.6467276946131335,0.0029375
9848,10535,0.6476758634097166,0.003
1498,2277,0.6499072394794254,0.0030625
3794,4686,0.6774387217859186,0.003125
15013,15954,0.6811473133956838,0.0031875
14941,15942,0.7005636394812882,0.00325
9154,9973,0.7216795546737842,0.0033125
2,131,0.726450563484728,0.003375
8578,9299,0.7275088931873199,0.0034375
14939,15938,0.7391649380398917,0.0035
14830,15471,0.7402574097054639,0.0035625
10937,11876,0.7438189778382025,0.003625
11196,12114,0.7459729175998291,0.0036875
9179,9989,0.7472770812302656,0.00375
11124,11853,0.7484865606898552,0.0038125
8194,8951,0.7548089299818344,0.003875
16,255,0.7601690208136072,0.0039375
10360,11304,0.760326372217861,0.004
15258,15936,0.7603967389478044,0.0040625
10921,11864,0.7664383723835329,0.004125
15620,15959,0.7732311101905793,0.0041875
3385,4246,0.8023462129746406,0.00425
9980,10910,0.8046612225620606,0.0043125
5259,6032,0.8080780252297615,0.004375
10636,11580,0.8175118337790934,0.0044375
15505,15933,0.8230576434456793,0.0045
3242,4090,0.8267298730582411,0.0045625
2514,3335,0.8301115396423455,0.004625
1347,2120,0.831213500828575,0.0046875
10584,11227,0.8330268827332645,0.00475
7,168,0.8442051620570159,0.0048125
12836,13772,0.8460077341345027,0.004875
5488,6350,0.8467261900698446,0.0049375
2959,3795,0.8470723736958803,0.005
6171,7017,0.850307274851545,0.0050625
15321,15948,0.8529446652746628,0.005125
15593,15947,0.8531378824403077,0.0051875
12289,13254,0.8538874842134305,0.00525
15305,15940,0.856938431490164,0.0053125
4334,5076,0.8652713081929306,0.005375
9578,10508,0.8661341568706575,0.0054375
4982,5835,0.8666656643877815,0.0055
5938,6684,0.8711179591147982,0.0055625
6804,7607,0.8734530613211007,0.005625
13883,14752,0.8789534884761565,0.0056875
8648,9504,0.8864790159969687,0.00575
6093,6949,0.8886922655747611,0.0058125
10509,11428,0.8894265673347093,0.005875
3722,4472,0.8904406875645208,0.0059375
3292,4111,0.8988244007729804,0.006
10302,11045,0.8996100653281758,0.0060625
15235,15920,0.9015043355515218,0.006125
11273,12182,0.9035550876215837,0.0061875
12099,13046,0.9082687879343609,0.00625
15140,15990,0.9088858251512306,0.0063125
9773,10688,0.9091746646641923,0.006375
14961,15922,0.9151453390501842,0.0064375
8201,9122,0.9206107462974273,0.0065
9668,10433,0.9284093585097537,0.0065625
4191,5057,0.9295896036700384,0.006625
9440,10352,0.933952901526709,0.0066875
11240,11937,0.9344670422180457,0.00675
7474,8235,0.9410277984391655,0.0068125
15419,15913,0.9428543104227174,0.006875
5345,6139,0.9471522817857192,0.0069375
8981,9894,0.9620819127637787,0.007
5711,6539,0.9679753371893867,0.0070625
13244,14238,0.9695787301248515,0.007125
13847,14902,0.9785047338062896,0.0071875
15086,15950,0.9878486977320904,0.00725
3931,4781,0.9914209873563351,0.0073125
12552,13464,0.9970771848915376,0.007375
12090,12735,0.9989945766138817,0.0074375
3279,4032,1.003433055785294,0.0075
7972,8715,1.003534053534139,0.0075625
8902,9814,1.0142786275669096,0.007625
12198,12839,1.034089956152286,0.0076875
15537,15927,1.0362525188540417,0.00775
13484,14372,1.0506956002591323,0.0078125
15575,15929,1.0511808952575166,0.007875
5605,6449,1.055349267475961,0.0079375
5325,6072,1.0591833982549161,0.008
6277,7121,1.0592284941225643,0.0080625
5145,5982,1.061901605699049,0.008125
8813,9597,1.0621221782926682,0.0081875
7618,8379,1.0623998334624503,0.00825
12513,13450,1.0628966506473603,0.0083125
8781,9698,1.0639256746447074,0.008375
4535,5378,1.0708004939621958,0.0084375
15631,15939,1.0718047338658039,0.0085
1119,1866,1.0765309331974962,0.0085625
8958,9858,1.07841425743311,0.008625
4549,5389,1.0820002639828914,0.0086875
4754,5589,1.0860186369444165,0.00875
506,1235,1.0896828255714155,0.0088125
14385,15434,1.0992661171186455,0.008875
7184,8021,1.1009067635170027,0.0089375
8433,9362,1.1029039807665981,0.009
15313,15865,1.10689977945691,0.0090625
11652,12299,1.1072046545109515,0.009125
6067,6897,1.1103602060551765,0.0091875
15458,15996,1.1119382910610511,0.00925
11150,11841,1.1128898100717493,0.0093125
15299,15916,1.1166313433461141,0.009375
4185,5023,1.1169589556190687,0.0094375
14502,15109,1.1173524547922966,0.0095
6916,7749,1.12023734430241,0.0095625
3585,4383,1.1245396534552015,0.009625
8411,9111,1.127901089205949,0.0096875
12240,13174,1.1338977858237627,0.00975
15448,15984,1.1361227568860954,0.0098125
14160,14988,1.1447222496136078,0.009875
10155,11064,1.1448066003216582,0.0099375
6899,7687,1.146308768738436,0.01
12421,13041,1.1504375648479197,0.0100625
8548,9458,1.152869562033402,0.010125
8759,9533,1.1607443142689533,0.0101875
4767,5597,1.1622898587979762,0.01025
14990,15906,1.1690177371106074,0.0103125
9108,10018,1.172304583429792,0.010375
6912,7695,1.1766964439876801,0.0104375
7409,8163,1.1793386679229343,0.0105
14991,15593,1.185922738924262,0.0105625
10619,11516,1.189682366104762,0.010625
2637,3393,1.1935839263234058,0.0106875
7424,8249,1.1962431121114037,0.01075
15518,15905,1.2040195559479798,0.0108125
9040,9942,1.2064089621773064,0.010875
15588,15917,1.2068839153027966,0.0109375
11968,12876,1.2079411486942035,0.011
14867,15890,1.2103871115746756,0.0110625
15463,15893,1.2114814041617024,0.011125
15604,15921,1.2118947499463388,0.0111875
13029,13663,1.2160312141577094,0.01125
8055,8775,1.2208090804658411,0.0113125
10357,11234,1.2218705377420918,0.011375
15562,15909,1.235882171830042,0.0114375
15355,15932,1.2388118486193207,0.0115
14872,15886,1.242209580432018,0.0115625
