,Request Id,request_execution_time_normalized,cdf
1965,1990,0.01931484579826232,6.638343069569835e-05
353,50,0.019621982235860154,0.0001327668613913967
302,303,0.01963184382418854,0.00019915029208709506
307,307,0.01963389901460639,0.0002655337227827934
333,313,0.019655318344782163,0.0003319171534784918
8624,8670,0.01966313362946073,0.0003983005841741901
1972,1982,0.01967351049475546,0.00046468401486988845
257,150,0.019709295374900578,0.0005310674455655868
154,190,0.019724381961770534,0.0005974508762612852
199,186,0.019727937060955103,0.0006638343069569836
1774,1802,0.019730997290940386,0.0007302177376526819
1933,1978,0.019736597033255986,0.0007966011683483802
11877,11906,0.019738494836920025,0.0008629845990440786
8660,8658,0.019738783298927823,0.0009293680297397769
207,226,0.01974031866586122,0.0009957514604354754
12657,12695,0.019740402292752486,0.0010621348911311736
13147,13180,0.019740888843618385,0.001128518321826872
143,138,0.019750338455222928,0.0011949017525225705
768,716,0.01975321358598278,0.0012612851832182687
2914,2946,0.019765168849456567,0.0013276686139139671
274,312,0.01976638244972297,0.0013940520446096654
6959,6973,0.01977276992561928,0.0014604354753053638
7007,6977,0.019772895261977317,0.001526818906001062
14953,14962,0.019775080085254297,0.0015932023366967605
5193,5261,0.01978941155604409,0.001659585767392459
14375,14411,0.019796315971161677,0.0017259691980881571
1964,1948,0.01982906429583151,0.0017923526287838556
8132,8169,0.019848235171912202,0.0018587360594795538
1722,1746,0.01985966374525041,0.0019251194901752523
2001,2020,0.019860092613682264,0.0019915029208709507
300,156,0.019870857701336304,0.002057886351566649
171,174,0.019875216215558694,0.002124269782262347
293,276,0.019875955655479196,0.0021906532129580456
11861,11887,0.01987618824582291,0.002257036643653744
4078,4115,0.019876953543486453,0.0023234200743494425
1471,1496,0.019877052104420073,0.002389803505045141
901,948,0.019877069816035493,0.002456186935740839
6988,7001,0.01988041366334432,0.0025225703664365374
913,48,0.019890608098212224,0.002588953797132236
12247,11808,0.01989621518995736,0.0026553372278279343
14960,14996,0.01990064389594853,0.0027217206585236327
322,204,0.01990227024845494,0.0027881040892193307
9181,9191,0.019905730299890127,0.002854487519915029
12376,11692,0.019907993657185288,0.0029208709506107276
746,780,0.019909115077519014,0.002987254381306426
3679,3728,0.019909349477748063,0.003053637812002124
1989,1964,0.019927835650956693,0.0031200212426978225
8683,8454,0.019934905653074046,0.003186404673393521
12290,12276,0.01993896765586523,0.0032527881040892194
117,130,0.01994810702321395,0.003319171534784918
12308,12328,0.01995811959311812,0.003385554965480616
1996,1654,0.019959634812260228,0.0034519383961763143
15022,15044,0.0199632579574091,0.0035183218268720127
12590,12621,0.0199636321575262,0.003584705257567711
12329,12312,0.019964891892893414,0.0036510886882634096
13173,13150,0.019965969767385034,0.0037174721189591076
12587,12611,0.019966688835840452,0.003783855549654806
1991,2006,0.01997455045372406,0.0038502389803505045
8410,8429,0.0199758865513995,0.003916622411046203
14912,14952,0.019976012290858453,0.003983005841741901
13158,13179,0.019977541528423265,0.0040493892724376
1763,1770,0.019978468268633726,0.004115772703133298
921,920,0.019984271874463905,0.004182156133828996
14932,14916,0.019991233743874612,0.004248539564524694
11874,11898,0.019993719931410192,0.004314922995220393
12260,12288,0.019997895685589788,0.004381306425916091
12762,12711,0.019999096271592198,0.00444768985661179
12545,12580,0.02000117242833996,0.004514073287307488
7047,7076,0.020004326738267766,0.0045804567180031865
2065,2024,0.020007828597861786,0.004646840148698885
308,85,0.020017404396475084,0.004713223579394583
15017,14960,0.02002001287995557,0.004779607010090282
2083,1790,0.02002031884024435,0.0048459904407859794
99,10,0.02002114921299164,0.004912373871481678
47,49,0.020021607687026023,0.004978757302177376
285,297,0.020030181427568967,0.005045140732873075
2253,1852,0.0200335649682912,0.005111524163568773
372,320,0.020034675002088997,0.005177907594264472
12614,12609,0.020034995904159716,0.00524429102496017
5791,5833,0.020043612592431585,0.0053106744556558685
12371,12356,0.020046944779093422,0.005377057886351567
283,288,0.020047133050837548,0.005443441317047265
288,293,0.020047385390872134,0.005509824747742963
1733,1758,0.020048356432399408,0.0055762081784386614
14884,14946,0.020050389998075083,0.00564259160913436
344,235,0.02005700738518037,0.005708975039830058
70,55,0.020058756811772317,0.005775358470525757
11963,11976,0.02006074202453419,0.005841741901221455
11953,11978,0.020061916802733414,0.005908125331917154
12672,12715,0.020062918155740548,0.005974508762612852
12775,12088,0.02006394556210061,0.0060408921933085506
108,102,0.02007037010296175,0.006107275624004248
162,182,0.020072925023566782,0.006173659054699947
11218,11230,0.020073405115805805,0.006240042485395645
12321,11962,0.02007688328936752,0.0063064259160913435
10422,10509,0.020079076776422,0.006372809346787042
342,398,0.02007919393550097,0.00643919277748274
12666,12682,0.020079805210043624,0.006505576208178439
12623,12629,0.020086256184286326,0.006571959638874137
284,294,0.02008756495451611,0.006638343069569836
314,327,0.020088921005441383,0.006704726500265534
1977,1980,0.020089021568034597,0.006771109930961232
362,366,0.02009106902783792,0.00683749336165693
12227,12260,0.020092282915251825,0.006903876792352629
2052,2091,0.02009267578698675,0.006970260223048327
51,22,0.020093573484662657,0.0070366436537440255
1979,2026,0.020094142013153203,0.007103027084439724
14914,14966,0.020094437413383476,0.007169410515135422
12693,12653,0.02009720680817302,0.007235793945831121
215,230,0.0200997326918045,0.007302177376526819
14954,15010,0.020101308532419482,0.007368560807222518
2148,2184,0.020113019962337393,0.007434944237918215
1822,1880,0.020116286963967972,0.007501327668613914
25,38,0.020124555086764907,0.007567711099309612
8137,8185,0.020124943850222995,0.007634094530005311
332,346,0.020126324625922263,0.007700477960701009
12076,11739,0.020133359748604873,0.0077668613913967075
14913,14954,0.020133378807863853,0.007833244822092406
12867,12635,0.02013418147457585,0.007899628252788104
8703,8702,0.02013555876342956,0.007966011683483803
4064,4119,0.020135807468885117,0.0080323951141795
12199,12236,0.020138618280578145,0.0080987785448752
13153,13188,0.020141115931278014,0.008165161975570897
14911,14872,0.02014408430337929,0.008231545406266597
50,54,0.02014548853132696,0.008297928836962294
6446,6330,0.0201479140578539,0.008364312267657992
12704,12589,0.02014913555251069,0.008430695698353691
225,250,0.020149667120082797,0.008497079129049389
327,360,0.02015156099770367,0.008563462559745088
5263,5306,0.0201515657616274,0.008629845990440786
12128,12148,0.020154359607722137,0.008696229421136485
114,70,0.02015448495430294,0.008762612851832182
147,81,0.020155698214362642,0.008828996282527882
306,310,0.02015591256582914,0.00889537971322358
6596,6622,0.02015823944692862,0.008961763143919279
12696,12679,0.020158468286434347,0.009028146574614976
2005,2030,0.020158739062560854,0.009094530005310674
132,90,0.020159453959328038,0.009160913436006373
12714,11831,0.020160464541567235,0.00922729686670207
292,304,0.020160921102634892,0.00929368029739777
12374,11698,0.020161060035645117,0.009360063728093468
395,426,0.02016135164125424,0.009426447158789167
286,287,0.02016222420927118,0.009492830589484864
9167,9231,0.02016246931743983,0.009559214020180564
219,9,0.020166684666452533,0.009625597450876261
3735,3720,0.02017087662255729,0.009691980881571959
11959,11982,0.020170881879787578,0.009758364312267658
2152,2204,0.020174044170231498,0.009824747742963356
702,676,0.020178466885924992,0.009891131173659055
60,78,0.020179319170441384,0.009957514604354753
11991,12008,0.02018003921122231,0.010023898035050452
2249,2299,0.020181286761456602,0.01009028146574615
873,896,0.020182355705527157,0.010156664896441849
12160,11787,0.020183154275502845,0.010223048327137546
6346,6412,0.020184959116554275,0.010289431757833244
967,940,0.020187680344404293,0.010355815188528943
1969,2000,0.020191056762824566,0.010422198619224641
14372,14419,0.020191446403355337,0.01048858204992034
2919,2931,0.020194656502036158,0.010554965480616038
10904,10976,0.02019499057364749,0.010621348911311737
1788,1831,0.02019547600284123,0.010687732342007435
523,508,0.020195865508681098,0.010754115772703134
6590,6635,0.020196894297269726,0.010820499203398832
5248,5310,0.020199544132395962,0.01088688263409453
6024,6076,0.020200580936599932,0.010953266064790228
968,840,0.020200835915705203,0.011019649495485926
12593,11914,0.020201148376168293,0.011086032926181625
11901,11926,0.020201399405372557,0.011152416356877323
845,772,0.02020160536137665,0.011218799787573022
11892,11930,0.020201636769421754,0.01128518321826872
1891,1928,0.02020290298260471,0.011351566648964419
380,289,0.020205232400179993,0.011417950079660117
259,291,0.020206270282283955,0.011484333510355816
21,46,0.020206426793315975,0.011550716941051514
1915,1868,0.02020755273788267,0.011617100371747211
13114,13138,0.020211307478833332,0.01168348380244291
6384,6423,0.020211622595361512,0.011749867233138608
12102,11559,0.020212947428734956,0.011816250663834307
12862,11938,0.020214301878265832,0.011882634094530005
13132,12631,0.0202155107706198,0.011949017525225704
12035,12032,0.020216152472974955,0.012015400955921402
5208,5249,0.020217927174516426,0.012081784386617101
12313,12346,0.02021933445947405,0.012148167817312799
226,254,0.020220144280629602,0.012214551248008496
697,234,0.02022212261199796,0.012280934678704196
180,206,0.020222485600724868,0.012347318109399893
12087,12084,0.02022270758205619,0.012413701540095592
12364,11667,0.020223258329121994,0.01248008497079129
12610,11975,0.02022492837484157,0.01254646840148699
15002,15024,0.0202253239063365,0.012612851832182687
12293,12264,0.020225338454454143,0.012679235262878386
6457,6482,0.020225450300568742,0.012745618693574084
8665,8089,0.02022634982338011,0.012812002124269783
12459,11755,0.02022684558621161,0.01287838555496548
8473,8444,0.020227608321135074,0.012944768985661178
279,228,0.02022772240537606,0.013011152416356878
12597,12596,0.020228597795939673,0.013077535847052575
690,700,0.0202292002410195,0.013143919277748274
8673,8698,0.020230021219435148,0.013210302708443972
319,279,0.02023043121972022,0.013276686139139671
14898,14940,0.020232113637215155,0.013343069569835369
8655,7969,0.020237259360557217,0.013409453000531068
3655,3708,0.02023782566921733,0.013475836431226766
6936,6981,0.020238173463947823,0.013542219861922463
12182,12172,0.02023905005108113,0.013608603292618163
298,305,0.020239097618283543,0.01367498672331386
1871,1924,0.020240642483398564,0.01374137015400956
11983,11924,0.020241046898484213,0.013807753584705257
741,724,0.02024436469952703,0.013874137015400956
254,299,0.02024443380574033,0.013940520446096654
6878,6930,0.02024595048367313,0.014006903876792353
11852,11860,0.020246923365919905,0.014073287307488051
1805,1820,0.02024808770027159,0.014139670738183749
1779,1807,0.020248275864769922,0.014206054168879448
12565,12011,0.02024830154806856,0.014272437599575145
1884,1844,0.02024949058583339,0.014338821030270845
250,248,0.020249597493139926,0.014405204460966542
12116,12120,0.02024965191597066,0.014471587891662242
12715,12714,0.020250355295538418,0.01453797132235794
1997,2016,0.020250759287973197,0.014604354753053638
705,768,0.020252264668763793,0.014670738183749336
323,323,0.020252349388116302,0.014737121614445035
8169,8181,0.020254158316342256,0.014803505045140733
1432,1468,0.02025456491586683,0.01486988847583643
12110,12127,0.020255689035947294,0.01493627190653213
4126,4127,0.02025795227343996,0.015002655337227827
12642,11970,0.02025814167268252,0.015069038767923527
12169,11422,0.020258183704909585,0.015135422198619224
3695,3668,0.020259113864638155,0.015201805629314924
1770,1782,0.02025951820454085,0.015268189060010621
7051,7084,0.02026039522768953,0.01533457249070632
12225,12240,0.020261254661506863,0.015400955921402018
15021,15032,0.020262795753691002,0.015467339352097716
8097,8065,0.02026477911696474,0.015533722782793415
9966,10009,0.020265162010499875,0.015600106213489113
213,210,0.020265729980296802,0.015666489644184812
2013,2042,0.02026827387691334,0.01573287307488051
8434,8410,0.02026892975380025,0.015799256505576207
12244,12158,0.02026968600229239,0.015865639936271908
1533,1574,0.020270527448879333,0.015932023366967606
12025,11524,0.020271823803787375,0.015998406797663303
779,784,0.02027289003669043,0.016064790228359
6539,6526,0.020273542165374095,0.0161311736590547
8813,8133,0.020276160986335674,0.0161975570897504
1919,1504,0.020276449671776255,0.016263940520446097
15015,15006,0.020277477820456358,0.016330323951141795
908,169,0.020277482009836895,0.016396707381837492
14977,15014,0.020277946176640627,0.016463090812533193
14448,14367,0.020278934081498952,0.01652947424322889
3544,3584,0.02027944288965902,0.01659585767392459
8429,8423,0.020279967402881117,0.016662241104620286
787,808,0.02028026623836185,0.016728624535315983
12464,12520,0.020280666697766053,0.016795007966011685
255,229,0.02028101910422865,0.016861391396707382
7164,6781,0.02028175000659848,0.01692777482740308
12294,12296,0.020281753979835053,0.016994158258098777
158,37,0.020281808029421335,0.01706054168879448
13146,13175,0.02028190069332888,0.017126925119490176
305,269,0.020282862896848528,0.017193308550185873
546,432,0.020283586597823495,0.01725969198088157
4077,4087,0.020283686788524997,0.01732607541157727
172,198,0.020284069422914667,0.01739245884227297
15033,15072,0.0202868729064717,0.017458842272968667
2027,2067,0.020287220608206077,0.017525225703664365
384,330,0.020287611550841154,0.017591609134360062
13129,12650,0.020288382496075143,0.017657992565055763
7046,7065,0.02028924562513374,0.01772437599575146
13131,13126,0.02028949985690275,0.01779075942644716
520,448,0.020290241811535253,0.017857142857142856
11912,11934,0.020290571889607617,0.017923526287838557
7040,7038,0.020290990775905612,0.017989909718534255
304,321,0.02029142178642824,0.018056293149229952
11867,11886,0.020291593420987457,0.01812267657992565
5063,5049,0.02029226918811543,0.018189060010621348
1813,1843,0.020294595548205504,0.01825544344131705
12589,12617,0.02029473425323088,0.018321826872012746
8205,8225,0.020297256311052947,0.018388210302708444
11887,11884,0.02030098092675698,0.01845459373340414
11925,11968,0.020301280554742642,0.018520977164099842
12298,11414,0.020301794833165063,0.01858736059479554
6432,6442,0.020305116016082297,0.018653744025491237
96,93,0.020305174154534953,0.018720127456186935
8595,8639,0.020307384524812615,0.018786510886882633
14937,14976,0.020307826491856355,0.018852894317578334
8597,8622,0.02031025653393692,0.01891927774827403
281,282,0.02031305062659753,0.01898566117896973
7997,7962,0.02031311628267372,0.019052044609665426
8224,7677,0.020313306271303257,0.019118428040361127
14594,14371,0.02031361098383541,0.019184811471056825
691,588,0.020315115695771973,0.019251194901752523
79,77,0.0203166261452032,0.01931757833244822
7022,7025,0.02031676121479672,0.019383961763143918
14922,14928,0.020317131558544674,0.01945034519383962
8604,8590,0.020317219725231747,0.019516728624535316
3696,3712,0.020317952355717792,0.019583112055231014
290,277,0.020318328815873473,0.01964949548592671
8521,7709,0.020318583397390698,0.019715878916622413
707,748,0.020322780389862245,0.01978226234731811
7006,6902,0.020324190346339928,0.019848645778013808
9159,9227,0.020326318588560537,0.019915029208709505
1001,218,0.020326664493500495,0.019981412639405203
239,121,0.020327800988386623,0.020047796070100904
11698,11671,0.020327876233671705,0.0201141795007966
12064,12048,0.02032975980184389,0.0201805629314923
11924,11694,0.020333562450430658,0.020246946362187997
992,892,0.020334988888162233,0.020313329792883698
82,86,0.02033550087540162,0.020379713223579395
12653,12643,0.02033584338046524,0.020446096654275093
7759,7790,0.020336368264536216,0.02051248008497079
12278,12292,0.020336721106783032,0.020578863515666488
6924,6822,0.020337151794337403,0.02064524694636219
53,66,0.020337377057942446,0.020711630377057887
8633,8678,0.020337907457200162,0.020778013807753584
102,103,0.020340447969083762,0.020844397238449282
5236,5302,0.02034064549433764,0.020910780669144983
13223,12514,0.020341478773609298,0.02097716409984068
2926,2915,0.020341715953977373,0.021043547530536378
13304,12383,0.020342296125712537,0.021109930961232076
14952,15000,0.020343007131003628,0.021176314391927773
6488,6498,0.020344112551126284,0.021242697822623474
8643,8138,0.020344458176669314,0.021309081253319172
1913,1956,0.02035014450161804,0.02137546468401487
12132,12102,0.020352414129771075,0.021441848114710567
15011,15040,0.020353111719963828,0.021508231545406268
12068,12060,0.020353534030471875,0.021574614976101966
1504,1544,0.020353850608917094,0.021640998406797663
6628,6552,0.02035399609484606,0.02170738183749336
