,Request Id,prefill_time_execution_plus_preemption_normalized,cdf
8103,6145,0.0001143703849634212,6.25e-05
12900,12931,0.00011460143624629042,0.000125
7082,7155,0.00011530022549157909,0.0001875
7363,7257,0.00011530022549157909,0.00025
2229,218,0.00011538123392774264,0.0003125
9013,9005,0.00011540931951823231,0.000375
11228,9499,0.00011540931951823231,0.0004375
2199,2371,0.00011550246666877164,0.0005
14227,14379,0.00011559576429936031,0.0005625
5232,5345,0.00011563413702281815,0.000625
8333,8474,0.00011563413702281815,0.0006875
9974,10101,0.00011563413702281815,0.00075
828,955,0.00011563413702282393,0.0008125
1868,1938,0.0001156892127749344,0.000875
6786,6966,0.00011568921277494589,0.0009375
7704,7603,0.00011568921277494589,0.001
4861,5076,0.00011577083865685085,0.0010625
15103,14493,0.00011577083865696686,0.001125
15489,13696,0.00011577083865696686,0.0011875
328,375,0.00011578281246164838,0.00125
11217,11230,0.00011578281246165702,0.0013125
4682,4620,0.00011582216000984713,0.001375
13879,12631,0.0001158570328304459,0.0014375
1962,1901,0.00011587656372679665,0.0015
2558,2607,0.00011588287250369993,0.0015625
10028,10223,0.00011591640098625872,0.001625
5644,5835,0.0001160075888381532,0.0016875
12053,12141,0.00011601079544960258,0.00175
935,1045,0.00011601079544960837,0.0018125
11892,12029,0.00011602140580600344,0.001875
13486,13574,0.00011602140580600344,0.0019375
13513,13534,0.00011602140580600344,0.002
932,1042,0.00011606452246763492,0.0020625
8369,8538,0.00011606452246764645,0.002125
13838,14003,0.00011609640686521954,0.0021875
792,850,0.00011610534377515818,0.00225
13341,13452,0.00011611268936682643,0.0023125
14951,15113,0.00011611268936682643,0.002375
15245,15271,0.00011611268936682643,0.0024375
3045,3082,0.00011620004633940617,0.0025
12525,12621,0.00011620004633940617,0.0025625
8649,8778,0.00011620411668128849,0.002625
10743,10566,0.00011620411668128849,0.0026875
11042,11069,0.00011620411668128849,0.00275
9430,9605,0.00011626444453182144,0.0028125
7900,8042,0.00011629490352009141,0.002875
826,937,0.00011629490352009721,0.0029375
2334,576,0.00011629490352009721,0.003
13259,13351,0.00011629568808923278,0.0030625
297,155,0.00011629568808926917,0.003125
2741,2884,0.00011629568808927757,0.0031875
2902,2892,0.00011629568808927757,0.00325
8447,8569,0.00011629568808927757,0.0033125
2180,2300,0.00011633138105565691,0.003375
7039,7038,0.00011633138105565691,0.0034375
15204,15366,0.00011633138105565691,0.0035
12338,10721,0.00011634455725459746,0.0035625
13331,12584,0.00011635767985221584,0.003625
13425,13506,0.00011640553763907266,0.0036875
15719,15817,0.00011642650074580871,0.00375
12359,12361,0.00011647926455030497,0.0038125
5633,5699,0.00011649770354373001,0.003875
2043,2207,0.0001164977035437525,0.0039375
12428,12510,0.00011649770354377502,0.004
1725,1846,0.0001165217761146678,0.0040625
11219,11282,0.0001165217761146678,0.004125
9713,9848,0.0001165408585078076,0.0041875
11829,11840,0.0001165408585078076,0.00425
6817,6985,0.00011654085850785201,0.0043125
8000,8145,0.00011654085850785201,0.004375
15375,15312,0.00011654459981984992,0.0044375
13013,13174,0.00011657127028849636,0.0045
1840,1987,0.00011657127028853003,0.0045625
4120,4215,0.00011657127028854126,0.004625
4230,4409,0.00011657127028854126,0.0046875
12372,12520,0.0001165767819197763,0.00475
7641,6177,0.00011657678191988975,0.0048125
427,520,0.00011659001551169526,0.004875
4029,4160,0.00011659001551169526,0.0049375
15209,15276,0.00011659001551171779,0.005
15550,15660,0.00011661720754473715,0.0050625
11743,11815,0.00011663197724002637,0.005125
955,983,0.00011663197724006525,0.0051875
1422,1532,0.0001166382851895143,0.00525
7889,7975,0.00011663828518952573,0.0053125
1735,1860,0.00011666342149033915,0.005375
61,49,0.00011668247389037156,0.0054375
3949,4118,0.00011668247389037226,0.0055
1531,1561,0.00011671279541977382,0.0055625
11481,11586,0.0001167232385680702,0.005625
14093,14210,0.0001167232385680702,0.0056875
3450,3137,0.00011677507902838048,0.00575
379,480,0.00011680854012479123,0.0058125
6593,6678,0.00011680854012479414,0.005875
14692,14846,0.00011680854012479414,0.0059375
10550,10647,0.00011681464282693323,0.006
14944,14962,0.00011681464282693323,0.0060625
6918,6973,0.00011681464282697773,0.006125
15726,15890,0.00011682610851506695,0.0061875
5330,5440,0.00011682610851511272,0.00625
6634,6771,0.00011682610851511272,0.0063125
7513,7452,0.00011682610851511272,0.006375
1086,1220,0.00011686783127542448,0.0064375
8378,8304,0.0001169061903527042,0.0065
13134,11808,0.0001169202472004135,0.0065625
13761,13901,0.0001169202472004135,0.006625
14745,14880,0.0001169202472004135,0.0066875
14821,14974,0.0001169202472004135,0.00675
7405,7547,0.0001169607309822981,0.0068125
3997,4078,0.00011696073098232069,0.006875
13740,13879,0.00011696073098234328,0.0069375
3200,3177,0.0001169978814823926,0.007
5907,6009,0.0001169978814823926,0.0070625
2138,1281,0.00011700050157117836,0.007125
7316,7366,0.00011700050157117836,0.0071875
9306,9495,0.00011703477391156818,0.00725
13549,13496,0.00011703477391156818,0.0073125
10113,9954,0.0001170440235306772,0.007375
1815,1924,0.00011704402353079111,0.0074375
5532,5680,0.00011705377850097932,0.0075
1778,1897,0.00011705377850100192,0.0075625
3093,3258,0.00011705377850100192,0.007625
4020,4115,0.00011705377850100192,0.0076875
6291,6403,0.00011708971655419982,0.00775
7639,7780,0.00011708971655419982,0.0078125
8466,8604,0.00011708971655419982,0.007875
6074,6188,0.00011712802871145241,0.0079375
14246,14365,0.00011718169590730065,0.008
23,38,0.0001172214322431429,0.0080625
2321,2344,0.0001172214322431429,0.008125
