,Request Id,request_scheduling_delay,cdf
1,3,0.0,0.0001779676098949991
21,2,0.0,0.0003559352197899982
38,1,0.0,0.0005339028296849973
94,0,0.0,0.0007118704395799964
5381,5456,1.5502375845244387e-06,0.0008898380494749955
2884,2934,6.757132723578252e-06,0.0010678056593699946
1626,1661,2.13897452567835e-05,0.0012457732692649937
2913,2920,4.242351110406162e-05,0.0014237408791599928
3875,3877,4.2650022351153893e-05,0.001601708489054992
3069,3113,5.440128984446346e-05,0.001779676098949991
987,1022,8.075826804088138e-05,0.0019576437088449903
1569,1596,9.006137742062492e-05,0.002135611318739989
1496,1545,9.218174733405249e-05,0.0023135789286349885
2802,2855,0.0001334608926981673,0.0024915465385299874
4320,4314,0.00013724138784709794,0.0026695141484249867
478,479,0.00013858331939786694,0.0028474817583199856
116,130,0.00014553830036589943,0.003025449368214985
3795,3800,0.00014954415655665798,0.003203416978109984
1006,1017,0.00015332200433704202,0.003381384588004983
3995,4090,0.00016685854939169076,0.003559352197899982
929,969,0.0001675798685596419,0.0037373198077949813
5410,5469,0.00016801997935544932,0.003915287417689981
1899,1903,0.00016956839863269124,0.00409325502758498
892,922,0.00019486274544533444,0.004271222637479978
820,852,0.0002196753382577299,0.004449190247374978
401,379,0.00023315932315881582,0.004627157857269977
2176,2219,0.000253356527878168,0.004805125467164976
2562,2019,0.0002823752120093559,0.004983093077059975
213,232,0.00028417436226391146,0.005161060686954974
3187,3252,0.00028687635085589136,0.005339028296849973
2841,2074,0.0002890247128561896,0.005516995906744973
82,86,0.000305328946641481,0.005694963516639971
4243,4326,0.0003351415102770261,0.0058729311265349705
1657,1632,0.00037043255645130557,0.00605089873642997
5106,5170,0.0004339624072144943,0.006228866346324969
3199,3234,0.00044525725934363436,0.006406833956219968
2288,2328,0.00044647784920925915,0.006584801566114967
721,747,0.00048127177345236305,0.006762769176009966
1343,1390,0.0004885248803816467,0.0069407367859049655
331,331,0.0005062945779314987,0.007118704395799964
4149,4175,0.0005161618862530304,0.007296672005694963
5351,5425,0.0005255267847132927,0.007474639615589963
4721,4784,0.0005389226457737095,0.007652607225484962
1437,1445,0.0005464478032308762,0.007830574835379961
810,645,0.0005669106284074132,0.00800854244527496
430,421,0.0005756183820153637,0.00818651005516996
1938,1999,0.0006088160627086836,0.008364477665064958
3090,3002,0.0006341882277638433,0.008542445274959957
4928,5006,0.00064458191036465,0.008720412884854957
715,739,0.0006809906899150064,0.008898380494749955
2648,2634,0.0006879494336544667,0.009076348104644954
2281,2364,0.0007114424206520198,0.009254315714539954
364,393,0.0007224460330235161,0.009432283324434953
122,133,0.0007226051866453531,0.009610250934329953
5591,5654,0.0007381139107565104,0.009788218544224951
4115,4177,0.0007493397799862578,0.00996618615411995
1929,1966,0.0007590776710912905,0.01014415376401495
672,736,0.0007613128670129754,0.010322121373909948
985,1005,0.0007670259411725056,0.010500088983804947
308,321,0.0007825504088714297,0.010678056593699947
4916,4922,0.0008103243633286183,0.010856024203594945
1641,1613,0.0008233136890112291,0.011033991813489945
1897,1868,0.0008259160470061033,0.011211959423384944
328,346,0.0008348428216748971,0.011389927033279942
458,457,0.0008501951030268629,0.011567894643174943
1981,2006,0.0008893248398180731,0.011745862253069941
3792,3763,0.0009097110673792486,0.011923829862964941
1545,1549,0.0009151234490900606,0.01210179747285994
215,233,0.000929695608292036,0.012279765082754938
5484,5526,0.0009582012003193086,0.012457732692649938
695,733,0.0009584794557042642,0.012635700302544937
2090,2164,0.0009600068817690044,0.012813667912439935
1507,1541,0.000992242841107327,0.012991635522334935
4156,4195,0.0010305419357337087,0.013169603132229934
1461,1516,0.0010410106912672745,0.013347570742124934
2806,2782,0.0010960503451542536,0.013525538352019932
2319,2356,0.0011049542456476047,0.013703505961914931
2041,2070,0.0011178436383261214,0.013881473571809931
3926,3230,0.0011411698978918139,0.01405944118170493
310,343,0.001163188889478306,0.014237408791599928
785,755,0.0011659351619357494,0.014415376401494928
2000,2042,0.0011806955635620398,0.014593344011389927
3043,3027,0.0011930255682273128,0.014771311621284927
1750,1806,0.0012026020025359685,0.014949279231179925
317,339,0.00124034915917548,0.015127246841074924
821,868,0.0012508960267041402,0.015305214450969924
104,109,0.0012593404687777365,0.015483182060864922
3876,3850,0.0013026633303070412,0.015661149670759923
948,965,0.0013091669123923566,0.01583911728065492
2949,3004,0.0013165717521133047,0.01601708489054992
5051,5049,0.001348740919638658,0.01619505250044492
1710,1748,0.0013940364823383788,0.01637302011033992
5224,5270,0.0014429190164264583,0.016550987720234916
1712,1774,0.0014451306610681058,0.016728955330129917
1588,1608,0.0014468440675727834,0.016906922940024917
4538,4492,0.0014861620425108413,0.017084890549919914
2915,2931,0.001500221455899009,0.017262858159814914
1432,1493,0.001518472186830877,0.017440825769709914
202,238,0.0015323261537503186,0.01761879337960491
2920,2915,0.001561919727350869,0.01779676098949991
4072,4130,0.0015669110061935498,0.01797472859939491
264,273,0.0015686687046922998,0.018152696209289908
4954,5009,0.001601290564167357,0.018330663819184908
67,55,0.0016502981424295626,0.018508631429079908
3762,3802,0.0016820509870285605,0.01868659903897491
736,791,0.001685621808775295,0.018864566648869905
3947,3949,0.0016895024773475598,0.019042534258764905
4793,4828,0.0016961316052857,0.019220501868659905
36,61,0.0017101809979109817,0.019398469478554902
1925,1960,0.0017261660555050184,0.019576437088449902
2663,2703,0.0017432965166790382,0.019754404698344902
2333,2360,0.0017436416557075063,0.0199323723082399
386,440,0.001750579788080131,0.0201103399181349
1308,1361,0.0017532117634573297,0.0202883075280299
432,480,0.0018006433664083943,0.020466275137924896
965,1012,0.0018112179334366374,0.020644242747819896
2861,2916,0.0018429800747981062,0.020822210357714897
4153,4192,0.0018432455572110484,0.021000177967609893
10,15,0.0018437538835396339,0.021178145577504894
3815,3858,0.0018445959792643407,0.021356113187399894
2932,2796,0.0018993019633626318,0.021534080797294894
974,994,0.0019008292014746075,0.02171204840718989
3507,2563,0.0019075711254572525,0.02189001601708489
2775,2852,0.0019431052069194266,0.02206798362697989
4773,4816,0.0019449269755114074,0.022245951236874888
3881,3917,0.001965298075674582,0.022423918846769888
395,381,0.0020089581354341135,0.022601886456664888
2353,2384,0.0020101317564922283,0.022779854066559885
680,701,0.0020153813879062454,0.022957821676454885
2344,2342,0.002055257218330553,0.023135789286349885
576,613,0.002105931683331619,0.023313756896244882
930,914,0.0021175803097435164,0.023491724506139882
5125,5113,0.002123182546483804,0.023669692116034882
4587,4656,0.002132191943928774,0.023847659725929882
234,264,0.002179725357876805,0.02402562733582488
118,107,0.002185054197838099,0.02420359494571988
196,240,0.002194788550013982,0.02438156255561488
305,328,0.002210212943637657,0.024559530165509876
1597,1652,0.002250954692385676,0.024737497775404876
2308,2351,0.002259506669702205,0.024915465385299877
3569,3288,0.002269027115744393,0.025093432995194873
1542,1584,0.0023009839739529525,0.025271400605089873
3866,3913,0.0023090478337053355,0.025449368214984874
2097,2096,0.0023194962395791663,0.02562733582487987
730,758,0.002324181521260016,0.02580530343477487
293,308,0.0023264258878441524,0.02598327104466987
4752,4812,0.002328630669580889,0.02616123865456487
1553,1571,0.0023502338909793252,0.026339206264459868
5452,5496,0.002381024663691278,0.026517173874354868
2446,2492,0.0023846123159501076,0.026695141484249868
2881,2932,0.002390640582348169,0.026873109094144865
5060,5081,0.002411313646916824,0.027051076704039865
2214,2220,0.0024608990994465785,0.027229044313934865
3088,3158,0.002467905941898607,0.027407011923829862
3128,3190,0.0024810557907812836,0.027584979533724862
3922,3986,0.00248424543656256,0.027762947143619862
1719,1719,0.002485568298538965,0.02794091475351486
1911,1841,0.00249232348176065,0.02811888236340986
2005,2047,0.0025439666184183807,0.02829684997330486
1976,2026,0.0025772894409783476,0.028474817583199856
1803,1170,0.0026624406387441013,0.028652785193094856
1988,2038,0.0026821856318974824,0.028830752802989856
2529,2622,0.0026848340443166308,0.029008720412884857
201,224,0.002684920233392063,0.029186688022779853
872,872,0.0027031739957124046,0.029364655632674853
832,889,0.002715673160764709,0.029542623242569854
1747,1786,0.0027261901509518793,0.02972059085246485
64,94,0.0027279618293434282,0.02989855846235985
5133,5190,0.0027279864093543438,0.03007652607225485
1841,1884,0.0027367228387902287,0.030254493682149847
757,760,0.0027467539766803384,0.030432461292044848
4864,4902,0.002810484135807201,0.030610428901939848
1027,1058,0.002815944029350703,0.030788396511834844
2670,2744,0.0028219967475706653,0.030966364121729845
1681,1728,0.0028972038384154075,0.031144331731624845
1916,1974,0.002946892813611157,0.031322299341519845
4772,4811,0.002953809431346599,0.03150026695141484
514,527,0.002954945581024049,0.03167823456130984
2359,2396,0.0029680656789423665,0.03185620217120484
9,11,0.0029742598586142144,0.03203416978109984
437,459,0.00297501439234793,0.032212137390994836
4831,4912,0.002981692319508511,0.03239010500088984
3214,3240,0.00298561739532488,0.032568072610784836
1742,1736,0.0030073901669993575,0.03274604022067984
2267,2319,0.0030352607880104188,0.032924007830574836
5205,5250,0.0030641776727406977,0.03310197544046983
2749,2695,0.003069229391485351,0.03327994305036484
5350,5381,0.003137613697845154,0.03345791066025983
3639,3665,0.003145425274169611,0.03363587827015483
758,765,0.0031631026083402958,0.033813845880049834
819,848,0.0032027806559540295,0.03399181348994483
4124,4161,0.003212327862456732,0.03416978109983983
35,21,0.0032288689047090813,0.03434774870973483
4877,4888,0.0032706050994875113,0.03452571631962983
4081,4137,0.0032949287706287578,0.034703683929524824
3233,3270,0.003298397844673673,0.03488165153941983
3091,3105,0.0033006712980068187,0.035059619149314825
3834,3141,0.0033044025179833625,0.03523758675920982
157,182,0.003309498284018275,0.035415554369104825
4189,4219,0.003339171438710764,0.03559352197899982
193,9,0.003341754268862296,0.03577148958889482
2979,3018,0.0033554792820496004,0.03594945719878982
1880,1932,0.0033643254811295265,0.03612742480868482
46,82,0.003396735759061187,0.036305392418579815
262,280,0.003399648880289874,0.03648336002847482
1791,1830,0.003409392872981698,0.036661327638369816
2015,2062,0.003418659970407134,0.03683929524826481
3563,3617,0.003426574469131083,0.037017262858159816
3045,3110,0.0034455226266345562,0.03719523046805481
1060,741,0.0034589146082453226,0.03737319807794982
573,614,0.0034810688543700508,0.03755116568784481
5476,5505,0.003504432103227373,0.03772913329773981
5333,5337,0.0035130476849190018,0.037907100907634814
964,945,0.003525776448555007,0.03808506851752981
4766,4827,0.003532699124662031,0.03826303612742481
719,737,0.0036052439891420818,0.03844100373731981
796,786,0.003606808534442507,0.03861897134721481
1612,1614,0.0036095685569534908,0.038796938957109804
4033,4086,0.0036171886677038856,0.03897490656700481
1557,1612,0.00365206848255184,0.039152874176899805
5070,5150,0.0036646996752551786,0.0393308417867948
2422,2475,0.00368910421855162,0.039508809396689805
5043,5100,0.0036966989036955056,0.0396867770065848
2156,2199,0.003715489894602797,0.0398647446164798
4952,5014,0.003722645679545167,0.0400427122263748
3584,3632,0.0037601026542688487,0.0402206798362698
1547,1557,0.0037821104684212514,0.040398647446164795
3023,3015,0.0037880738972262407,0.0405766150560598
2659,2720,0.0038240516289533844,0.040754582665954796
1607,1629,0.003843609156660932,0.04093255027584979
1100,1076,0.0038662941939833217,0.041110517885744796
4185,4224,0.0038750111812078103,0.04128848549563979
5457,5540,0.003931126516590666,0.04146645310553479
799,798,0.00393209587207366,0.04164442071542979
958,978,0.003941118469811045,0.04182238832532479
2631,2658,0.003951233591124037,0.04200035593521979
971,991,0.003954400050758977,0.04217832354511479
2061,2088,0.003993426391502908,0.04235629115500979
2740,2642,0.004012907475953398,0.04253425876490479
1660,1687,0.004044957879841604,0.04271222637479979
405,391,0.00405841592120737,0.042890193984694784
1957,1996,0.004064707199063378,0.04306816159458979
49,74,0.004078278232881871,0.043246129204484784
2764,2838,0.00411393632407453,0.04342409681437978
5497,5566,0.004117320209616082,0.043602064424274785
863,861,0.0041402236533940595,0.04378003203416978
4861,4865,0.004154368137960773,0.04395799964406478
2263,2315,0.004176588513132629,0.04413596725395978
4476,4551,0.004177628027264291,0.04431393486385478
136,127,0.004220783665203953,0.044491902473749775
1576,1621,0.0042583814121144314,0.04466987008364478
2710,2770,0.004261428180825533,0.044847837693539776
831,842,0.0042645474722462495,0.04502580530343477
48,54,0.004273308895871963,0.045203772913329776
1559,1592,0.0042882257091605425,0.04538174052322477
329,356,0.004303111562919071,0.04555970813311977
2957,2982,0.004345088152717835,0.04573767574301477
2812,2832,0.00436790299193035,0.04591564335290977
4226,4252,0.0043903826167479565,0.04609361096280477
1895,1940,0.00443386992685646,0.04627157857269977
442,491,0.004452714364077792,0.04644954618259477
4228,4228,0.004464101777330143,0.046627513792489764
5494,5554,0.004471932780688803,0.04680548140238477
3061,3126,0.004512001576699731,0.046983449012279764
3666,3732,0.004512826277505155,0.04716141662217476
4119,4181,0.0045172984789587645,0.047339384232069764
4593,4652,0.004553035808612549,0.04751735184196476
283,315,0.004559607391144027,0.047695319451859765
5575,5633,0.00456539704714487,0.04787328706175476
417,434,0.00458197437589547,0.04805125467164976
853,871,0.004599895697140255,0.04822922228154476
1787,1831,0.004603033473472351,0.04840718989143976
465,478,0.004625624892383939,0.048585157501334755
1809,1837,0.004635589570284537,0.04876312511122976
2871,2926,0.004640411162199598,0.048941092721124756
2501,2516,0.004649303679912009,0.04911906033101975
950,989,0.0046499111971343154,0.049297027940914756
4560,4480,0.0046562745810661,0.04947499555080975
1749,1715,0.004688033728939445,0.04965296316070475
3002,3025,0.004700261861103172,0.04983093077059975
659,683,0.004701384121176488,0.05000889838049475
2009,2051,0.0047278813092361816,0.05018686599038975
1134,1154,0.0047630570877004175,0.05036483360028475
1419,1468,0.00481557100624741,0.05054280121017975
1037,1056,0.004817561510151336,0.050720768820074744
4535,4599,0.004827671708881098,0.05089873642996975
2169,2195,0.0048361631128273075,0.051076704039864744
8,30,0.004849439843233938,0.05125467164975974
2660,2662,0.0048928295517498555,0.051432639259654744
112,120,0.00491300941033046,0.05161060686954974
1863,1814,0.00491603933096485,0.05178857447944474
14,26,0.004929201867890143,0.05196654208933974
2609,2670,0.004932457287281977,0.05214450969923474
1998,2028,0.004934758932222394,0.05232247730912974
4761,4824,0.004937760284519754,0.05250044491902474
2713,2747,0.004937958543564491,0.052678412528919735
4148,4222,0.004938759875358301,0.05285638013881474
3625,3676,0.0049406940561311785,0.053034347748709736
1429,1458,0.004950245836994327,0.05321231535860473
2059,2098,0.005001733351832627,0.053390282968499736
2495,2555,0.005008934553757172,0.05356825057839473
2756,2811,0.0050281164830039415,0.05374621818828973
135,144,0.005066609169396941,0.05392418579818473
2771,2790,0.005074870069620374,0.05410215340807973
119,134,0.005078264611441341,0.054280121017974726
2805,2859,0.005083710032863564,0.05445808862786973
3672,3727,0.005085019173748151,0.05463605623776473
2228,2268,0.005086037103637864,0.054814023847659724
527,565,0.005106443366798885,0.05499199145755473
5517,5512,0.00511432005714596,0.055169959067449724
3717,3760,0.005129627063524822,0.05534792667734472
3184,3244,0.005135783168952912,0.055525894287239724
732,729,0.005152757044555756,0.05570386189713472
572,604,0.005166382818686088,0.05588182950702972
2909,2918,0.005200962693379552,0.05605979711692472
2105,2140,0.0052118429537131306,0.05623776472681972
1394,1426,0.00521247883932574,0.056415732336714715
1106,1121,0.005237685049735319,0.05659369994660972
3585,2786,0.005247019589432966,0.056771667556504715
751,800,0.005255060686408797,0.05694963516639971
1786,1826,0.005256776249666473,0.057127602776294716
210,230,0.005264296746602781,0.05730557038618971
2782,2808,0.005279195652633462,0.057483537996084716
4127,4183,0.005294251398709093,0.05766150560597971
50,43,0.005354674272677329,0.05783947321587471
1502,1522,0.005368420405659435,0.05801744082576971
149,37,0.005369156573966194,0.05819540843566471
100,103,0.005379838979003182,0.058373376045559706
292,318,0.005381815504605925,0.05855134365545471
341,367,0.005384282613235314,0.05872931126534971
4527,4595,0.0053903999466911046,0.058907278875244704
2006,2056,0.005414610912339413,0.05908524648513971
1370,1429,0.005463998668687964,0.059263214095034704
3059,2716,0.005466599261353622,0.0594411817049297
2931,2983,0.005476401410305698,0.059619149314824704
3129,3160,0.005500380143075745,0.0597971169247197
2133,2200,0.005522727986431164,0.0599750845346147
5571,5601,0.005531367475441584,0.0601530521445097
494,528,0.005534031137415241,0.0603310197544047
