,Request Id,request_model_execution_time,cdf
646,751,0.8968797671584793,0.000392156862745098
521,642,0.926810839829033,0.000784313725490196
64,131,1.0590511804608311,0.001176470588235294
773,888,1.3288874208173629,0.001568627450980392
87,168,1.3450736011910618,0.00196078431372549
2131,2277,1.5051815639224608,0.002352941176470588
1968,2120,1.5331239714431875,0.0027450980392156863
1715,1866,1.6529646998190046,0.003137254901960784
1059,1200,1.6777231536010313,0.0035294117647058825
4,25,1.8876241092116859,0.00392156862745098
457,560,1.924010996782025,0.004313725490196078
1249,1394,1.9821474391357303,0.004705882352941176
0,5,2.132051835174283,0.005098039215686275
1707,1849,2.153457750318981,0.005490196078431373
1933,2087,2.253295468090979,0.0058823529411764705
1692,1823,2.26642653582222,0.006274509803921568
1650,1779,2.324372141124589,0.006666666666666667
250,319,2.338211855050155,0.007058823529411765
712,801,2.3911446002405214,0.007450980392156863
1748,1888,2.4089683312905894,0.00784313725490196
2327,2469,2.469176793673533,0.00823529411764706
1256,1397,2.4766982053725926,0.008627450980392156
2,8,2.507132417122001,0.009019607843137255
3,20,2.5747340094315025,0.009411764705882352
316,398,2.6162420417666206,0.00980392156862745
1874,2014,2.640631984519574,0.01019607843137255
2231,2364,2.6481300995132484,0.010588235294117647
1765,1905,2.65299256724714,0.010980392156862745
2071,2210,2.659640347550255,0.011372549019607842
1028,1158,2.6663581888131764,0.011764705882352941
1779,1916,2.6802965036482425,0.01215686274509804
875,955,2.6940525774286215,0.012549019607843137
1283,1416,2.714197517174273,0.012941176470588235
2093,2232,2.7199076992850073,0.013333333333333334
2490,2651,2.722775814325413,0.013725490196078431
1594,1738,2.723280466541906,0.01411764705882353
2408,2559,2.8455951734697726,0.014509803921568627
1730,1867,2.858184378245975,0.014901960784313726
1366,1497,2.8584378637799435,0.015294117647058824
2050,2181,2.882607026540511,0.01568627450980392
2426,2567,2.884180972528483,0.01607843137254902
947,1078,2.8985801987589976,0.01647058823529412
1789,1927,2.9053243607333736,0.016862745098039214
577,675,2.9156705698487233,0.017254901960784313
2444,2583,2.9171610468693405,0.01764705882352941
515,627,2.9222120011764576,0.01803921568627451
1923,2071,2.926033845477282,0.01843137254901961
1930,2077,2.926532534881307,0.018823529411764704
2473,2622,2.961644276770054,0.019215686274509803
1107,1235,2.980184259416055,0.0196078431372549
2189,2322,2.9833539117175043,0.02
2124,2255,2.9910080527688927,0.0203921568627451
1385,1529,3.0131996770714773,0.020784313725490194
413,526,3.074957488162082,0.021176470588235293
2241,2371,3.0829466789590314,0.021568627450980392
1,3,3.1268390514564963,0.02196078431372549
1298,1427,3.1558084543038554,0.02235294117647059
1747,1887,3.2087094314255573,0.022745098039215685
720,809,3.266048487464469,0.023137254901960783
2544,2688,3.2668901608749783,0.023529411764705882
90,154,3.2756444333178454,0.02392156862745098
835,939,3.2770509646023673,0.02431372549019608
2160,2288,3.2822462770364074,0.024705882352941175
2376,2514,3.3253444430558705,0.025098039215686273
475,569,3.357092839106089,0.025490196078431372
1967,2095,3.35931865040196,0.02588235294117647
2433,2572,3.3663053484708856,0.02627450980392157
293,350,3.3727526226556273,0.02666666666666667
1392,1527,3.3871292532900865,0.027058823529411764
1864,1998,3.393457579154045,0.027450980392156862
1522,1651,3.406770924139664,0.02784313725490196
602,692,3.4189876912519455,0.02823529411764706
1680,1801,3.4361166474512883,0.02862745098039216
2090,2224,3.4846098443617946,0.029019607843137254
1354,1489,3.4861066702134003,0.029411764705882353
1282,1408,3.503119874355936,0.02980392156862745
1512,1634,3.5067688371407675,0.03019607843137255
18,65,3.518112789176886,0.03058823529411765
1814,1944,3.5304398492520868,0.030980392156862744
2514,2663,3.5456096311556022,0.03137254901960784
1792,1921,3.5959831139562657,0.03176470588235294
2399,2533,3.6048513949834544,0.03215686274509804
2082,2216,3.617181294073826,0.032549019607843135
302,357,3.617595726720778,0.03294117647058824
1372,1499,3.6363479077095806,0.03333333333333333
1217,1348,3.7070966733738566,0.03372549019607843
753,845,3.7134475752343437,0.03411764705882353
1138,1266,3.7148599796955133,0.034509803921568626
1362,1485,3.717173174857639,0.03490196078431373
2175,2301,3.7215213576892046,0.03529411764705882
1353,1482,3.737912519193381,0.03568627450980392
1615,1742,3.7458349771984945,0.03607843137254902
1524,1649,3.747240619837832,0.036470588235294116
1125,1250,3.7473889175593764,0.03686274509803922
2006,2151,3.755050598660452,0.03725490196078431
1598,1723,3.767595150972103,0.03764705882352941
47,95,3.771913473656167,0.03803921568627451
2263,2394,3.776067896497512,0.038431372549019606
1510,1630,3.7777527542843496,0.03882352941176471
2374,2509,3.779436918294369,0.0392156862745098
1045,1169,3.7797245071578724,0.0396078431372549
275,326,3.8060729111892555,0.04
1725,1846,3.8355784264706694,0.040392156862745096
2382,2513,3.849800832556898,0.0407843137254902
1424,1550,3.871253270956257,0.041176470588235294
1337,1463,3.915476440804646,0.04156862745098039
1798,1926,3.9167595966707314,0.04196078431372549
2208,2333,3.9351534039085974,0.042352941176470586
2359,2487,3.942936324889523,0.04274509803921569
1153,1279,3.9582171210309745,0.043137254901960784
2396,2527,3.9859823347054224,0.04352941176470588
34,82,3.992042889891647,0.04392156862745098
370,472,3.9943619662457577,0.044313725490196076
1697,1815,4.020820993788128,0.04470588235294118
1442,1568,4.031028044041397,0.045098039215686274
10,42,4.048966202452823,0.04549019607843137
1949,2079,4.090364594616487,0.04588235294117647
2257,2387,4.094732588950212,0.04627450980392157
6,32,4.144151772162157,0.04666666666666667
2099,2223,4.165996710495423,0.047058823529411764
1880,2004,4.17497900181649,0.04745098039215686
1705,1827,4.182401009074036,0.04784313725490196
44,96,4.212250837237794,0.04823529411764706
183,255,4.216636482713971,0.04862745098039216
2349,2474,4.253816812247737,0.049019607843137254
974,1092,4.26406945632275,0.04941176470588235
1191,1315,4.274574428075975,0.04980392156862745
1800,1919,4.300282169493889,0.05019607843137255
2202,2324,4.3524018820336305,0.05058823529411765
2282,2408,4.352844988161745,0.050980392156862744
1929,2063,4.3545810309074575,0.05137254901960785
1472,1595,4.3825545847773375,0.05176470588235294
921,1035,4.405467785373195,0.05215686274509804
291,343,4.41219010626818,0.05254901960784314
889,961,4.423065885509557,0.052941176470588235
1978,2094,4.4259457510473545,0.05333333333333334
1540,1666,4.4565938247057275,0.05372549019607843
1263,1381,4.4711203592112865,0.05411764705882353
397,510,4.479241327482157,0.05450980392156863
2326,2448,4.51486203364888,0.054901960784313725
1160,1286,4.525423116317143,0.05529411764705883
2487,2629,4.5456176497681415,0.05568627450980392
17,58,4.557188204000142,0.05607843137254902
586,684,4.567348234288488,0.05647058823529412
2411,2546,4.569481561739827,0.056862745098039215
1694,1811,4.598810033587217,0.05725490196078432
620,719,4.606783078734074,0.05764705882352941
2333,2455,4.635685627022142,0.05803921568627451
2429,2560,4.655643253118837,0.05843137254901961
1845,1976,4.673429380921475,0.058823529411764705
1604,1722,4.693366700382192,0.05921568627450981
1654,1774,4.6972231670228295,0.0596078431372549
1819,1943,4.698474844344854,0.06
1450,1570,4.699783599046133,0.0603921568627451
1605,1727,4.702554712907148,0.060784313725490195
1977,2090,4.7382370714391575,0.0611764705882353
2414,2542,4.739481250755096,0.06156862745098039
286,334,4.74154637339906,0.06196078431372549
1301,1417,4.7624600710915646,0.06235294117647059
953,1067,4.791054458128445,0.06274509803921569
1494,1609,4.792409711140636,0.06313725490196079
2152,2269,4.825249964775143,0.06352941176470588
2254,2378,4.829328889700593,0.06392156862745098
2545,2674,4.834214371444871,0.06431372549019608
1155,1276,4.844061442790143,0.06470588235294118
456,547,4.854901440283464,0.06509803921568627
2089,2207,4.857028423161855,0.06549019607843137
2432,2561,4.857063494693991,0.06588235294117648
7,30,4.862508856831517,0.06627450980392156
2507,2643,4.865457161510443,0.06666666666666667
294,345,4.8874147483603565,0.06705882352941177
1787,1910,4.90592944324765,0.06745098039215686
1985,2100,4.937529030455412,0.06784313725490196
2497,2630,4.943321970729897,0.06823529411764706
1286,1402,4.952810023763473,0.06862745098039216
369,461,4.991186586106676,0.06901960784313725
329,407,5.02033118905995,0.06941176470588235
1030,1150,5.023801978760424,0.06980392156862746
950,1066,5.03871672019848,0.07019607843137254
2086,2205,5.04633082524724,0.07058823529411765
193,261,5.047363190804829,0.07098039215686275
74,124,5.047923635317346,0.07137254901960784
1162,1289,5.061792415380359,0.07176470588235294
1234,1353,5.0634055829905655,0.07215686274509804
1509,1625,5.09852907432659,0.07254901960784314
1742,1860,5.1125446281088,0.07294117647058823
1555,1673,5.1171151755834705,0.07333333333333333
1907,2032,5.156762678939195,0.07372549019607844
1195,1316,5.17419801330303,0.07411764705882352
1851,1974,5.186256688072192,0.07450980392156863
2524,2655,5.188321753778907,0.07490196078431373
1972,2086,5.190488196250441,0.07529411764705882
