,cdf,batch_num_tokens
0,0.0,0.9989999999999999
1,0.01,0.9989999999999999
2,0.02,0.9989999999999999
3,0.03,0.9989999999999999
4,0.04,0.9989999999999999
5,0.05,0.9989999999999999
6,0.06,0.9989999999999999
7,0.07,0.9989999999999999
8,0.08,0.9989999999999999
9,0.09,0.9989999999999999
10,0.1,0.9989999999999999
11,0.11,0.9989999999999999
12,0.12,0.9989999999999999
13,0.13,0.9989999999999999
14,0.14,0.9989999999999999
15,0.15,0.9989999999999999
16,0.16,0.9989999999999999
17,0.17,0.9989999999999999
18,0.18,0.9989999999999999
19,0.19,0.9989999999999999
20,0.2,0.9989999999999999
21,0.21,1.9997051226201907
22,0.22,1.9997051226201907
23,0.23,3.001162958349363
24,0.24,4.997811098765265
25,0.25,7.996469989602652
26,0.26,10.990159692286051
27,0.27,13.999202723426244
28,0.28,16.00658858967672
29,0.29,19.01067154327947
30,0.3,21.99907771279114
31,0.31,26.023515884264672
32,0.32,29.99409814075676
33,0.33,31.976480717732706
34,0.34,34.021772103706674
35,0.35000000000000003,35.981348045147264
36,0.36,37.9777595100358
37,0.37,40.004851316295785
38,0.38,42.99142828733044
39,0.39,45.0152251403878
40,0.4,47.990390374500834
41,0.41000000000000003,50.0489138553459
42,0.42,51.98737065170029
43,0.43,53.03758555691637
44,0.44,54.98172381112103
45,0.45,55.98035589845489
46,0.46,56.99712612291374
47,0.47000000000000003,58.03236392716473
48,0.48,58.03236392716473
49,0.49,58.96834998281604
50,0.5,58.96834998281604
51,0.51,60.03939109153555
52,0.52,60.03939109153555
53,0.53,61.007747867799274
54,0.54,61.007747867799274
55,0.55,61.007747867799274
56,0.56,61.007747867799274
57,0.5700000000000001,61.99172297111608
58,0.58,61.99172297111608
59,0.59,61.99172297111608
60,0.6,61.99172297111608
61,0.61,61.99172297111608
62,0.62,62.99156830465424
63,0.63,62.99156830465424
64,0.64,62.99156830465424
65,0.65,62.99156830465424
66,0.66,62.99156830465424
67,0.67,62.99156830465424
68,0.68,62.99156830465424
69,0.6900000000000001,62.99156830465424
70,0.7000000000000001,64.0075398344503
71,0.71,64.0075398344503
72,0.72,64.0075398344503
73,0.73,64.0075398344503
74,0.74,64.0075398344503
75,0.75,64.0075398344503
76,0.76,64.0075398344503
77,0.77,64.0075398344503
78,0.78,64.0075398344503
79,0.79,64.0075398344503
80,0.8,64.0075398344503
81,0.81,64.0075398344503
82,0.8200000000000001,64.0075398344503
83,0.8300000000000001,64.0075398344503
84,0.84,64.0075398344503
85,0.85,64.0075398344503
86,0.86,64.0075398344503
87,0.87,64.0075398344503
88,0.88,64.0075398344503
89,0.89,1283.0584048393007
90,0.9,1824.3918963318629
91,0.91,2123.884608988745
92,0.92,2361.381454884735
93,0.93,2583.7629394662035
94,0.9400000000000001,2798.9570529004727
95,0.9500000000000001,2989.9207698867726
96,0.96,3200.3075397272987
97,0.97,3384.6379044403493
98,0.98,3572.433256311062
99,0.99,3740.603504890831
100,1.0,4052.1475102051904
