,Request Id,request_scheduling_delay,cdf
209,407,0.8834474286133229,0.018767469719153468
3216,487,0.901730438095008,0.018834021030214296
586,475,0.9103995617871661,0.018900572341275124
261,171,0.9192454871962656,0.01896712365233595
658,410,0.9221207272658063,0.01903367496339678
43,116,0.9252573138572266,0.019100226274457607
370,463,0.9282188202345267,0.019166777585518435
220,64,0.9304511217677955,0.019233328896579263
194,165,0.9537876229783411,0.01929988020764009
226,175,0.9775904782102671,0.01936643151870092
107,161,0.9798553169667983,0.019432982829761747
368,191,0.9818153850485274,0.019499534140822575
159,72,0.9851434125816141,0.019566085451883403
195,283,0.9941467207061301,0.01963263676294423
538,414,0.9944837214372271,0.01969918807400506
189,128,0.998933091593468,0.019765739385065886
2246,295,1.020089712060777,0.019832290696126714
524,80,1.0241281350938598,0.019898842007187542
156,183,1.0279589718753357,0.01996539331824837
394,136,1.0389142899053354,0.020031944629309198
181,84,1.044859964611752,0.020098495940370026
321,287,1.0490461970680975,0.020165047251430854
111,299,1.0543357754990943,0.02023159856249168
317,467,1.0549731966403542,0.02029814987355251
491,112,1.0612588116452866,0.020364701184613337
207,60,1.0794556594462836,0.020431252495674165
289,132,1.0936794121754119,0.020497803806734993
246,88,1.0938952368223163,0.02056435511779582
2782,471,1.098907456148865,0.02063090642885665
204,44,1.1024694930112346,0.020697457739917477
447,483,1.1026173824313688,0.020764009050978305
498,418,1.1085499814299524,0.020830560362039133
346,56,1.118929635945599,0.02089711167309996
132,120,1.123577168676844,0.02096366298416079
185,140,1.1361125427948178,0.021030214295221616
332,495,1.1488250249344532,0.021096765606282444
2430,187,1.1498914306494967,0.021163316917343272
70,92,1.1560721261362623,0.0212298682284041
38,124,1.1656863488112954,0.021296419539464928
247,273,1.1738102719601002,0.021362970850525756
254,104,1.1806769262769503,0.021429522161586584
229,68,1.188155405238871,0.021496073472647412
411,431,1.1885899910009101,0.02156262478370824
495,269,1.1947865606876285,0.021629176094769068
46,179,1.2006690767666264,0.021695727405829895
388,450,1.2076907341266363,0.021762278716890723
103,100,1.210184871945028,0.02182883002795155
364,427,1.2167812873668566,0.02189538133901238
664,446,1.2194344775895232,0.021961932650073207
35,96,1.2277870422887673,0.022028483961134035
157,291,1.2350161872907819,0.022095035272194863
3633,435,1.2368359091291339,0.02216158658325569
64,52,1.2707306757072905,0.02222813789431652
160,144,1.274282974600295,0.022294689205377347
465,499,1.280947059421841,0.022361240516438174
3575,48,1.3794791430554643,0.022427791827499002
599,442,1.4079724155459061,0.02249434313855983
415,434,1.4307929890430486,0.022560894449620658
139,152,1.4572066755434854,0.022627445760681486
57,108,1.4574139960711356,0.022693997071742314
325,503,1.4576765436035117,0.022760548382803142
383,422,1.5400262470611352,0.02282709969386397
882,204,1.5554417822980575,0.022893651004924798
112,148,1.5629339987792914,0.022960202315985626
122,200,1.564282648109426,0.023026753627046453
464,454,1.5667565118778413,0.02309330493810728
375,438,1.57408127897029,0.02315985624916811
255,220,1.5804523380468893,0.023226407560228937
