,cdf,batch_num_tokens
0,0.0,0.9989999999999999
1,0.01,0.9989999999999999
2,0.02,0.9989999999999999
3,0.03,0.9989999999999999
4,0.04,1.9997051226201907
5,0.05,1.9997051226201907
6,0.06,3.001162958349363
7,0.07,4.002823400834266
8,0.08,4.002823400834266
9,0.09,4.997811098765265
10,0.1,5.995445496133053
11,0.11,6.993632892422741
12,0.12,7.996469989602652
13,0.13,8.997981121446852
14,0.14,10.004152608697645
15,0.15,12.001124195202623
16,0.16,13.000662984908592
17,0.17,13.999202723426244
18,0.18,16.00658858967672
19,0.19,18.0113202620591
20,0.2,19.01067154327947
21,0.21,19.985369849237582
22,0.22,21.99907771279114
23,0.23,24.022732262610404
24,0.24,25.003118897839112
25,0.25,26.977430211401757
26,0.26,28.991440241586453
27,0.27,30.969431716511867
28,0.28,33.01627645128441
29,0.29,34.98784393437458
30,0.3,37.9777595100358
31,0.31,41.97191674322714
32,0.32,46.01653444375361
33,0.33,50.0489138553459
34,0.34,54.000906295163944
35,0.35000000000000003,58.03236392716473
36,0.36,61.99172297111608
37,0.37,65.03989765493789
38,0.38,69.0617416948185
39,0.39,72.02411011477574
40,0.4,74.96347080859108
41,0.41000000000000003,76.93808039734769
42,0.42,80.07798409094674
43,0.43,82.02310443674119
44,0.44,85.02973178204074
45,0.45,86.92111544680155
46,0.46,87.97045261291906
47,0.47000000000000003,89.92724906007459
48,0.48,91.0128771517113
49,0.49,91.92757208032228
50,0.5,93.03734865738271
51,0.51,93.97238986969887
52,0.52,94.91682840557759
53,0.53,96.06269216059265
54,0.54,97.02813859078891
55,0.55,98.00328792216996
56,0.56,98.98823767054662
57,0.5700000000000001,98.98823767054662
58,0.58,99.9830863317801
59,0.59,100.98793339163191
60,0.6,102.00287933571242
61,0.61,103.02802565952958
62,0.62,104.06347487863825
63,0.63,104.89932188646694
64,0.64,105.95357795162072
65,0.65,107.01842946992822
66,0.66,108.96220333143697
67,0.67,110.05729204763485
68,0.68,110.9412819235738
69,0.6900000000000001,112.05626071695865
70,0.7000000000000001,114.09153661923892
71,0.71,115.00792990336663
72,0.72,117.0968169214218
73,0.73,118.03734888197941
74,0.74,119.94113678795277
75,0.75,120.90451457652556
76,0.76,123.10050115880195
77,0.77,125.08595108245035
78,0.78,128.12432962288904
79,0.79,128.12432962288904
80,0.8,128.12432962288904
81,0.81,128.12432962288904
82,0.8200000000000001,588.1615327119165
83,0.8300000000000001,1170.284142332301
84,0.84,1548.4379821465739
85,0.85,1806.2388876358893
86,0.86,2004.2035608860951
87,0.87,2179.8297629295234
88,0.88,2347.255581444729
89,0.89,2497.391603722689
90,0.9,2646.5233837920437
91,0.91,2782.2135856341033
92,0.92,2924.86077526954
93,0.93,3068.678145421261
94,0.9400000000000001,3200.3075397272987
95,0.9500000000000001,3330.914612489526
96,0.96,3459.9250858699943
97,0.97,3579.5852748422153
98,0.98,3688.599913020428
99,0.99,3808.544020885019
100,1.0,4052.1475102051904
