,cdf,batch_execution_time
0,0.0,0.029451758037343144
1,0.01,0.03274511004448971
2,0.02,0.03327324580044266
3,0.03,0.033607647592195256
4,0.04,0.03387758718159356
5,0.05,0.034700484821205746
6,0.06,0.03575727227196959
7,0.07,0.03618894453665566
8,0.08,0.036333990261205665
9,0.09,0.03655264959769098
10,0.1,0.036625828075364034
11,0.11,0.036699153056495896
12,0.12,0.036846243702924095
13,0.13,0.03692000995658359
14,0.14,0.0369939238904306
15,0.15,0.037067985800121155
16,0.16,0.03714219598190319
17,0.17,0.03729106234970003
18,0.18,0.03736571913118091
19,0.19,0.03736571913118091
20,0.2,0.03736571913118091
21,0.21,0.0375154813824459
22,0.22,0.03759058745127963
23,0.23,0.03766584388261353
24,0.24,0.03766584388261353
25,0.25,0.03774125097747362
26,0.26,0.03781680903748858
27,0.27,0.03781680903748858
28,0.28,0.03796837926251835
29,0.29,0.03796837926251835
30,0.3,0.03804439203381469
31,0.31,0.038120556982831344
32,0.32,0.0381968744142284
33,0.33,0.0381968744142284
34,0.34,0.03827334463327591
35,0.35000000000000003,0.038349967945855046
36,0.36,0.03842674465845936
37,0.37,0.038503675078196
38,0.38,0.03858075951278698
39,0.39,0.03858075951278698
40,0.4,0.03881293999215408
41,0.41000000000000003,0.03881293999215408
42,0.42,0.03889064357572196
43,0.43,0.03889064357572196
44,0.44,0.03896850272201971
45,0.45,0.03920301665477981
46,0.46,0.039281501172607196
47,0.47000000000000003,0.03936014281659641
48,0.48,0.039517898741957595
49,0.49,0.03975571896087905
50,0.5,0.039835309989829766
51,0.51,0.040155270712838094
52,0.52,0.04031621352036169
53,0.53,0.040884610192028964
54,0.54,0.043153077299555066
55,0.55,0.04367403388887171
56,0.56,0.04420127961873029
57,0.5700000000000001,0.0443784388785656
58,0.58,0.044467284602046214
59,0.59,0.04482444975364467
60,0.6,0.04500410668686874
61,0.61,0.045184483687239964
62,0.62,0.04527494311404125
63,0.63,0.045456405630066955
64,0.64,0.04554740944514214
65,0.65,0.04563859545003733
66,0.66,0.045821515488995365
67,0.67,0.0459132502547391
68,0.68,0.0459132502547391
69,0.6900000000000001,0.04600516867366751
70,0.7000000000000001,0.04609727111345461
71,0.71,0.046282029529983074
72,0.72,0.046467528460465056
73,0.73,0.04656055654547099
74,0.74,0.04656055654547099
75,0.75,0.046653770872889355
76,0.76,0.046747171815577804
77,0.77,0.04684075974714052
78,0.78,0.0469345350419296
79,0.79,0.04712264922234397
80,0.8,0.047216988860426745
81,0.81,0.047216988860426745
82,0.8200000000000001,0.04731151736665383
83,0.8300000000000001,0.04731151736665383
84,0.84,0.0474062351191396
85,0.85,0.0474062351191396
86,0.86,0.04769152764665718
87,0.87,0.04788267586252734
88,0.88,0.04788267586252734
89,0.89,0.047978537075465344
90,0.9,0.048074590202743524
91,0.91,0.048074590202743524
92,0.92,0.04836390491659591
93,0.93,0.04865496073740934
94,0.9400000000000001,0.048947768143231755
95,0.9500000000000001,0.19109185474031404
96,0.96,0.4644038422252682
97,0.97,0.607137089182762
98,0.98,0.7254228106581334
99,0.99,0.852995887262035
100,1.0,0.9753094162456712
