,Request Id,request_execution_plus_preemption_time_normalized,cdf
2977,3075,0.05332284624337829,0.00016661112962345885
3889,4026,0.05388318316520084,0.0003332222592469177
5699,5848,0.05403052805101429,0.0004998333888703765
51,131,0.055491550903874864,0.0006664445184938354
4598,4726,0.05715502770571776,0.0008330556481172943
275,398,0.05730671106487138,0.000999666777740753
5262,5267,0.05860724478613812,0.0011662779073642118
1968,2001,0.06025442713122038,0.0013328890369876708
3013,3176,0.060353845602202,0.0014995001666111296
1839,1905,0.06099780460535689,0.0016661112962345886
1770,1888,0.06112439224201989,0.0018327224258580473
3087,3167,0.06156272248107538,0.001999333555481506
2295,2371,0.061820811821120064,0.002165944685104965
5195,5215,0.06202838426145439,0.0023325558147284237
1667,1737,0.06216662999777732,0.002499166944351883
417,468,0.06250223704274285,0.0026657780739753416
4093,4246,0.06251587639757149,0.0028323892035988004
139,238,0.06290574463606675,0.002999000333222259
1526,1625,0.06339656707870805,0.003165611462845718
1933,1973,0.06340741388446622,0.003332222592469177
5845,5835,0.0642132467500405,0.003498833722092636
2426,2542,0.06424883315910167,0.0036654448517160947
2838,2942,0.06467885775630075,0.0038320559813395535
2330,2442,0.0647781705623608,0.003998667110963012
2424,2546,0.06500500916392102,0.0041652782405864714
487,560,0.06535914862400952,0.00433188937020993
1169,1276,0.06551751159638693,0.004498500499833389
985,1072,0.06562376027510665,0.004665111629456847
4066,4045,0.06577374445880507,0.0048317227590803065
1543,1630,0.0658506674941388,0.004998333888703766
1285,1372,0.06601551763455818,0.005164945018327224
911,979,0.066143497365101,0.005331556147950683
766,859,0.06626453524958374,0.005498167277574142
2836,2938,0.06646663309094578,0.005664778407197601
4848,4982,0.06649074967524461,0.00583138953682106
3048,3208,0.06677646066196502,0.005998000666444518
889,963,0.06678255887651521,0.0061646117960679776
801,879,0.06706702035807337,0.006331222925691436
2963,3071,0.06707577707597717,0.006497834055314895
5999,6037,0.06715606193378694,0.006664445184938354
922,971,0.06727174078087955,0.006831056314561813
4310,4476,0.06730584270922103,0.006997667444185272
4121,4288,0.06735124577732135,0.00716427857380873
3382,3381,0.06777347946769956,0.007330889703432189
5652,5822,0.06783488728208402,0.007497500833055648
3294,3281,0.06785457867392215,0.007664111962679107
1537,1621,0.0680070305685879,0.007830723092302566
5128,5159,0.06813180390823345,0.007997334221926024
3908,3959,0.06821068986910306,0.008163945351549483
4135,4292,0.06821529144667322,0.008330556481172943
5225,5207,0.06822760516711657,0.008497167610796401
1828,1944,0.06829253082254373,0.00866377874041986
1265,1315,0.068309468702082,0.00883038987004332
2868,3004,0.06845156698226953,0.008997000999666778
934,987,0.06853370676470362,0.009163612129290236
2152,2157,0.06860085192573487,0.009330223258913695
2175,2165,0.06868441214275288,0.009496834388537155
1734,1805,0.06874945425298498,0.009663445518160613
3462,3519,0.06889352665642269,0.009830056647784071
1904,1949,0.06895913887103149,0.009996667777407531
933,967,0.0690182695004021,0.01016327890703099
3846,4032,0.06922381865332589,0.010329890036654448
5753,5876,0.06938889481847113,0.010496501166277908
21,87,0.06942996133109217,0.010663112295901367
5012,5083,0.06970254878977032,0.010829723425524825
1979,1997,0.06970548438934604,0.010996334555148283
5211,5211,0.06975949006777912,0.011162945684771743
4395,4373,0.06978312453948027,0.011329556814395202
5708,5878,0.06982441600127466,0.01149616794401866
3380,3494,0.0701361292152919,0.01166277907364212
3241,3233,0.0701557086959544,0.011829390203265578
4953,5031,0.0705002882847201,0.011996001332889037
996,1064,0.07059509695844783,0.012162612462512495
5752,5735,0.07070475093821628,0.012329223592135955
22,95,0.07114002972980206,0.012495834721759413
5238,5235,0.0711756002389919,0.012662445851382872
555,675,0.07123631439255376,0.012829056981006332
4687,4806,0.07125184830068795,0.01299566811062979
172,255,0.07127799795296075,0.013162279240253249
4828,4968,0.07157748063012957,0.013328890369876709
3118,3187,0.07158276965960135,0.013495501499500167
785,864,0.07161477782944863,0.013662112629123625
4966,4949,0.07162946926519989,0.013828723758747084
3328,3371,0.07168600552013699,0.013995334888370544
5277,5420,0.07180211122465179,0.014161946017994002
1804,1916,0.07181369112310533,0.01432855714761746
3488,3539,0.07195943365123186,0.01449516827724092
1922,1953,0.07204598350717159,0.014661779406864379
5148,5163,0.07223804352659019,0.014828390536487837
4328,4293,0.07224566190603157,0.014995001666111295
5342,5319,0.0724529999297995,0.015161612795734756
5328,5315,0.07246791991751766,0.015328223925358214
3483,3644,0.07249174859683788,0.015494835054981672
1557,1633,0.0725187485913706,0.015661446184605132
5894,6008,0.0725364475968897,0.01582805731422859
903,959,0.07262345814084462,0.01599466844385205
2867,3000,0.07285848445750448,0.016161279573475507
4272,4370,0.07292712005800327,0.016327890703098966
2874,3012,0.07295051395907462,0.016494501832722427
1820,1926,0.07304280089277065,0.016661112962345886
2181,2161,0.07308097303546762,0.016827724091969344
1723,1801,0.07311064849458473,0.016994335221592802
3001,3067,0.07323640991004349,0.01716094635121626
2861,2992,0.07330713207642381,0.01732755748083972
3528,3559,0.07344405472329744,0.017494168610463177
2666,2812,0.07347981453230629,0.01766077974008664
808,863,0.07351578353655917,0.017827390869710098
852,913,0.07352006231468945,0.017994001999333556
2832,2927,0.0735410567079436,0.018160613128957014
3969,4140,0.0737963261172387,0.018327224258580473
5011,5152,0.07382627098436116,0.01849383538820393
4889,4963,0.07389662999917312,0.01866044651782739
16,83,0.07410533714629498,0.01882705764745085
5307,5341,0.07414336046318373,0.01899366877707431
2044,2045,0.07416289696245523,0.019160279906697768
997,1056,0.07424077612951573,0.019326891036321226
841,923,0.07429608919121491,0.019493502165944684
1938,1965,0.07447825400360078,0.019660113295568143
5202,5195,0.0745048885411267,0.0198267244251916
4827,4899,0.07453679803146565,0.019993335554815063
2585,2744,0.07461721874744083,0.02015994668443852
2850,2829,0.07466006951089979,0.02032655781406198
4320,4297,0.07468026926664553,0.020493168943685438
2845,2935,0.07472163700991562,0.020659780073308896
3907,3897,0.07473992502143043,0.020826391202932355
5184,5167,0.07477376400342917,0.020993002332555816
5458,5592,0.07479221053922958,0.021159613462179275
845,909,0.0748118006989835,0.021326224591802733
4249,4366,0.074855238734075,0.02149283572142619
2830,2926,0.07487898491602021,0.02165944685104965
5218,5203,0.07490011326702799,0.021826057980673108
4644,4617,0.07503110135205338,0.021992669110296566
2630,2750,0.07510416250857113,0.022159280239920028
888,951,0.07510484277650727,0.022325891369543487
5144,5155,0.07515910337203653,0.022492502499166945
2064,2131,0.07520031040723349,0.022659113628790403
4392,4357,0.07523038236893363,0.02282572475841386
2510,2630,0.07534785867606218,0.02299233588803732
2754,2737,0.07544291598155109,0.023158947017660778
4312,4281,0.07546247486642112,0.02332555814728424
2558,2670,0.07573498026325207,0.0234921692769077
2248,2350,0.07576628166618267,0.023658780406531157
1852,1897,0.07581322332470154,0.023825391536154615
3226,3342,0.07587232805118714,0.023992002665778073
3436,3483,0.07592293794561918,0.024158613795401532
2940,2933,0.07592723788857222,0.02432522492502499
5314,5303,0.07595743742618132,0.024491836054648452
5089,5135,0.07598547246650252,0.02465844718427191
947,983,0.07614006131449763,0.02482505831389537
3914,3963,0.07615917660916387,0.024991669443518827
3000,3063,0.07616913853237628,0.025158280573142285
5139,5127,0.07623987419952294,0.025324891702765744
2238,2338,0.0762638635848218,0.025491502832389202
5207,5199,0.0762866336886121,0.025658113962012664
4634,4601,0.0763355010455649,0.025824725091636122
1050,1117,0.07634194014377439,0.02599133622125958
3945,4082,0.07635407729823847,0.02615794735088304
1292,1364,0.07638369099341023,0.026324558480506497
5284,5263,0.07642982997715464,0.026491169610129955
1552,1634,0.07649112423654533,0.026657780739753417
1133,1238,0.07649814679534887,0.026824391869376876
422,460,0.07650631504649061,0.026991002999000334
1649,1713,0.0765130717361348,0.027157614128623792
5651,5814,0.07651460332150949,0.02732422525824725
2537,2680,0.07656071042469437,0.02749083638787071
5813,5916,0.0766376407271618,0.027657447517494167
877,961,0.07665093231105027,0.02782405864711763
4298,4472,0.07668047080042015,0.027990669776741087
3347,3349,0.07669671920097028,0.028157280906364546
638,734,0.07683143164507103,0.028323892035988004
4196,4310,0.07702652331792444,0.028490503165611462
3297,3277,0.07709324405930246,0.02865711429523492
5008,5126,0.07713336633116229,0.02882372542485838
1269,1319,0.0771379502138955,0.02899033655448184
3128,3121,0.07714933404307647,0.0291569476841053
5981,6138,0.07718419562191652,0.029323558813728758
1931,1925,0.0772556586140167,0.029490169943352216
3111,3276,0.0773152335513806,0.029656781072975674
4396,4518,0.07737696442687841,0.029823392202599133
977,1052,0.07739861429767661,0.02999000333222259
2043,2021,0.07740898326581315,0.030156614461846053
5736,5765,0.07741245429178352,0.03032322559146951
1000,1060,0.0774860924148141,0.03048983672109297
2782,2890,0.07751292769991815,0.030656447850716428
837,901,0.07757306016068415,0.030823058980339886
4307,4456,0.07759884384615247,0.030989670109963344
2077,2123,0.07760147407292842,0.031156281239586803
5214,5225,0.07767396753403152,0.031322892369210265
1671,1745,0.07770858850435379,0.03148950349883372
