,Request Id,request_e2e_time_normalized,cdf
15987,15978,0.020253368283809477,6.25e-05
15988,15971,0.020351310541698444,0.000125
15998,15991,0.020438812269972153,0.0001875
15924,15994,0.0206409470605583,0.00025
15948,15997,0.020839611732389008,0.0003125
15999,15877,0.0211425111320832,0.000375
10314,10509,0.021173600141185033,0.0004375
15950,15987,0.02132160602362511,0.0005
15991,15872,0.021333857316520606,0.0005625
15956,15988,0.021340906469218057,0.000625
15920,15996,0.021469574334609377,0.0006875
15933,15986,0.021696678272516,0.00075
15908,15984,0.021745259747897306,0.0008125
15865,15995,0.021833875150840017,0.000875
15951,15979,0.021940446955093684,0.0009375
15952,15982,0.022052906625057895,0.001
38,131,0.022068523020551966,0.0010625
15900,15993,0.022204995918832536,0.001125
15990,15804,0.02227901210959088,0.0011875
234,319,0.022423806816260383,0.00125
15814,15992,0.022560780409117746,0.0013125
15915,15976,0.022627236682899968,0.001375
15947,15960,0.022640001940140514,0.0014375
4878,5076,0.02267880861158902,0.0015
15995,15656,0.02283548590123962,0.0015625
5670,5848,0.022923695506566824,0.001625
9321,9495,0.022954128366733335,0.0016875
15930,15989,0.02318008414808664,0.00175
831,932,0.023186900583137427,0.0018125
15961,15912,0.023211964304488852,0.001875
13034,13174,0.023256571625950073,0.0019375
15917,15963,0.02326841880101919,0.002
15997,15647,0.023290899838169368,0.0020625
15919,15962,0.0233009411502895,0.002125
15992,15661,0.02344255511606115,0.0021875
1955,2090,0.02349975117246297,0.00225
15977,15773,0.02370951411993198,0.0023125
15910,15990,0.02382955351362075,0.002375
15984,15584,0.023978235112181126,0.0024375
236,312,0.02410462539837633,0.0025
6327,6466,0.024113502987483895,0.0025625
8313,8441,0.02422115965483077,0.002625
1684,1823,0.024248033133745038,0.0026875
15985,15655,0.024259443714994156,0.00275
8310,8449,0.02427467960369147,0.0028125
15936,15975,0.024334976166074697,0.002875
15883,15985,0.0244990252650382,0.0029375
15989,15550,0.024558219227928276,0.003
15996,15288,0.02470155315111098,0.0030625
15994,15364,0.02472881944793983,0.003125
15932,15967,0.024894284686075456,0.0031875
5678,5841,0.024922137191306603,0.00325
15993,15414,0.024987126215987015,0.0033125
15955,15934,0.02501931603605566,0.003375
15940,15928,0.025022615668729986,0.0034375
15907,15946,0.0250422897084266,0.0035
15912,15944,0.025048142119026486,0.0035625
8103,8234,0.02505962491866498,0.003625
14968,15113,0.02512055407766718,0.0036875
15875,15998,0.02513676566154916,0.00375
429,547,0.025151187046881154,0.0038125
15946,15951,0.025187813426955818,0.003875
6822,6976,0.025232303206336456,0.0039375
8886,9060,0.025244978900744286,0.004
15928,15930,0.02526922235759352,0.0040625
6930,7073,0.025340036561330753,0.004125
1956,2042,0.025430271553316054,0.0041875
15963,15771,0.02545442445491707,0.00425
15921,15973,0.025458278218885456,0.0043125
13036,13172,0.025484061563210907,0.004375
9782,9973,0.025494056990778932,0.0044375
14998,15132,0.025518884278089838,0.0045
6582,6775,0.025599795973601867,0.0045625
12719,12849,0.025702248490300488,0.004625
12479,12606,0.025834870417847874,0.0046875
13850,14001,0.02590202224204071,0.00475
9497,9663,0.02592469750145041,0.0048125
15901,15955,0.025961411885226472,0.004875
12461,12595,0.025980307722792032,0.0049375
7998,8130,0.025991003725430787,0.005
1680,1815,0.02600917402844957,0.0050625
242,296,0.0260149071233153,0.005125
13035,13158,0.026017309493185318,0.0051875
14214,14364,0.026039091270586526,0.00525
1919,2018,0.026057791923966296,0.0053125
1766,1916,0.02615211270955593,0.005375
15230,15356,0.026159954372050334,0.0054375
1925,2026,0.026170252493314176,0.0055
15935,15907,0.026171386660504333,0.0055625
8720,8866,0.026199027142769015,0.005625
68,168,0.026206236830485174,0.0056875
8309,8439,0.026234745290994864,0.00575
7911,8049,0.02627486454394064,0.0058125
15979,15449,0.026315136538741575,0.005875
818,908,0.026331564571245865,0.0059375
2821,2956,0.026342343009100804,0.006
6311,6463,0.026352922706785815,0.0060625
6831,6985,0.026355975770051394,0.006125
838,937,0.02640638209636672,0.0061875
15978,15473,0.026423904920034314,0.00625
15972,15625,0.026432001196167842,0.0063125
3540,3718,0.026439124786290808,0.006375
1356,1472,0.02649847904076558,0.0064375
3983,4131,0.02655753600787027,0.0065
224,299,0.02661948762535488,0.0065625
6284,6421,0.02662888823937158,0.006625
7631,7796,0.026656969484044717,0.0066875
8729,8868,0.02667604380586627,0.00675
839,907,0.026679810683571708,0.0068125
13865,13996,0.026721294833003742,0.006875
8323,8425,0.026759859647941336,0.0069375
458,552,0.02678587371392622,0.007
6244,6412,0.026800892345834524,0.0070625
