,cdf,batch_execution_time
0,0.0,0.02956980103744972
1,0.01,0.036333990261205665
2,0.02,0.03873539166050142
3,0.03,0.040075040401723556
4,0.04,0.04473489041347754
5,0.05,0.045456405630066955
6,0.06,0.046282029529983074
7,0.07,0.047216988860426745
8,0.08,0.0474062351191396
9,0.09,0.04759623987913139
10,0.1,0.047978537075465344
11,0.11,0.04817083562857485
12,0.12,0.04846072955106357
13,0.13,0.04865496073740934
14,0.14,0.048947768143231755
15,0.15,0.04924233767516848
16,0.16,0.049439701556267444
17,0.17,0.049637856474173424
18,0.18,0.05003655211505374
19,0.19,0.05064060802861177
20,0.2,0.05156039250596276
21,0.21,0.05345038298007811
22,0.22,0.05453015270475353
23,0.23,0.055409652678393144
24,0.24,0.05563173523213165
25,0.25,0.055743110077441226
26,0.26,0.05607857423581017
27,0.27,0.05607857423581017
28,0.28,0.05630333783518858
29,0.29,0.056529002289774054
30,0.3,0.05664217346552936
31,0.31,0.05675557121020511
32,0.32,0.057097128398211475
33,0.33,0.05721143696357326
34,0.34,0.05732597437491175
35,0.35000000000000003,0.05755573756903646
36,0.36,0.05767096427087635
37,0.37,0.057786421656804025
38,0.38,0.05825056729187244
39,0.39,0.05836718504420853
40,0.4,0.05836718504420853
41,0.41000000000000003,0.05836718504420853
42,0.42,0.05848403626551822
43,0.43,0.058835995422023425
44,0.44,0.05930857132613842
45,0.45,0.05942730720466924
46,0.46,0.0597849430015929
47,0.47000000000000003,0.060144731064356215
48,0.48,0.060506684345376996
49,0.49,0.06111478683647312
50,0.5,0.061729000861256475
51,0.51,0.0624742114409649
52,0.52,0.0646348582068288
53,0.53,0.0646348582068288
54,0.54,0.06489391549517551
55,0.55,0.06594056939465015
56,0.56,0.06620485998912709
57,0.5700000000000001,0.0663374022513676
58,0.58,0.06647020986348245
59,0.59,0.06727265770703401
60,0.6,0.06740733770244349
61,0.61,0.0676775071219228
62,0.62,0.0676775071219228
63,0.63,0.06794875938368174
64,0.64,0.068631655997422
65,0.65,0.068631655997422
66,0.66,0.06876905671012956
67,0.67,0.06904468391575412
68,0.68,0.06918291151118107
69,0.6900000000000001,0.06932141583853078
70,0.7000000000000001,0.06987821156416514
71,0.71,0.07001810788361293
72,0.72,0.07015828427577232
73,0.73,0.07029874130134943
74,0.74,0.07058049950119633
75,0.75,0.0711474082978508
76,0.76,0.07157557610929177
77,0.77,0.07215047744902064
78,0.78,0.07539597693681144
79,0.79,0.07815968123135716
80,0.8,0.07894519935012845
81,0.81,0.08053999870261405
82,0.8200000000000001,0.08183900344077076
83,0.8300000000000001,0.08216701514994046
84,0.84,0.0828269878621278
85,0.85,0.0851789176660417
86,0.86,0.16880668525714104
87,0.87,0.358079287967504
88,0.88,0.4552080269930455
89,0.89,0.532059097473401
90,0.9,0.6059240280655137
91,0.91,0.6603398591876849
92,0.92,0.7068048931011771
93,0.93,0.7520138068708034
94,0.9400000000000001,0.8033212578501778
95,0.9500000000000001,0.8632935034678146
96,0.96,0.9057422252625693
97,0.97,0.9464846573585621
98,0.98,0.9851114421214094
99,0.99,1.0294240897138103
100,1.0,1.6372199718286593
