,Request Id,request_execution_time_normalized,cdf
16,46,0.0203602487991466,6.25e-05
21,38,0.02043839736874937,0.000125
31,17,0.02056138176606789,0.0001875
15965,15978,0.020596488569920114,0.00025
15986,15971,0.020650078263474245,0.0003125
15972,15804,0.020686003366178856,0.000375
123,22,0.020751241889715936,0.0004375
37,78,0.020770973052959853,0.0005
15981,15872,0.020793068615181265,0.0005625
15988,15991,0.02080240502203553,0.000625
62,54,0.020836921328071002,0.0006875
15998,15877,0.02085036926276284,0.00075
210,398,0.02086448008772663,0.0008125
15996,15656,0.020933507197814935,0.000875
29,7,0.02097499308278221,0.0009375
111,6,0.02098040605044215,0.001
15997,15364,0.020989934825834975,0.0010625
84,130,0.021033756397206164,0.001125
15,53,0.021046891402166798,0.0011875
42,35,0.02105605844621031,0.00125
6,30,0.021078397552908548,0.0013125
23,62,0.02110124684479247,0.001375
15994,15647,0.0211180459461705,0.0014375
15993,15414,0.02114009679496966,0.0015
15932,15625,0.021189777403194377,0.0015625
135,102,0.021190421179084505,0.001625
75,86,0.021191635204787455,0.0016875
15982,15584,0.021202369462468982,0.00175
15999,15288,0.021216117467776456,0.0018125
9,13,0.02122200988623166,0.001875
100,190,0.021223553851770792,0.0019375
15985,15550,0.021224586981723127,0.002
15963,15449,0.021231330976274197,0.0020625
51,66,0.021246248682267394,0.002125
15960,15473,0.021251531246197813,0.0021875
18,95,0.021286129543530426,0.00225
33,59,0.02129240756416436,0.0023125
15987,15661,0.0212995350662475,0.002375
211,174,0.021323287627336374,0.0024375
27,11,0.021324697104552454,0.0025
79,14,0.02132663407622949,0.0025625
15971,15655,0.021344897096645173,0.002625
76,43,0.02139198070758956,0.0026875
282,70,0.021398566670987388,0.00275
90,49,0.021425337454734534,0.0028125
99,2,0.021457680807932034,0.002875
58,97,0.021496739131478655,0.0029375
196,138,0.02151215854055832,0.003
63,122,0.021535116728947732,0.0030625
12,61,0.021569881729741332,0.003125
59,45,0.02157441398116577,0.0031875
66,105,0.02158380391729252,0.00325
139,182,0.021590027404952267,0.0033125
48,26,0.021591404789751696,0.003375
78,19,0.021602530602604177,0.0034375
189,230,0.021613133330632774,0.0035
65,18,0.021616258133205023,0.0035625
67,27,0.021622744070730764,0.003625
149,198,0.021665917755278413,0.0036875
82,106,0.021677691806352237,0.00375
89,29,0.0216787377105536,0.0038125
15989,14774,0.021680388917684396,0.003875
15954,15773,0.021703228003659737,0.0039375
134,206,0.021707408637349424,0.004
162,254,0.021739338512690557,0.0040625
56,91,0.021776797514576864,0.004125
15992,14577,0.02179312330710609,0.0041875
285,294,0.02179734119491447,0.00425
34,94,0.02181120490288606,0.0043125
74,73,0.02182043857703626,0.004375
64,28,0.021837035741150656,0.0044375
41,108,0.021858854138589907,0.0045
15991,15055,0.021873397338511052,0.0045625
15920,15771,0.021894817369058153,0.004625
50,24,0.021901471748022396,0.0046875
52,101,0.021901958538333266,0.00475
15908,15476,0.02190254633988488,0.0048125
15919,15353,0.021922764877695428,0.004875
22,52,0.02193728682656236,0.0049375
17,34,0.021944210055923688,0.005
114,202,0.021950456544512956,0.0050625
15983,14786,0.02195050299412431,0.005125
141,194,0.0219563656631126,0.0051875
85,67,0.022006091766847386,0.00525
15984,14526,0.022009490091523497,0.0053125
38,89,0.022015143909424616,0.005375
212,318,0.02201996675963765,0.0054375
73,170,0.022030754180554432,0.0055
53,87,0.022047254281836792,0.0055625
49,15,0.022071063991716357,0.005625
15977,14510,0.02208399055079583,0.0056875
47,118,0.02210562190883299,0.00575
14,33,0.022119425593089853,0.0058125
20,74,0.02212462399283677,0.005875
15990,14807,0.022124778562966907,0.0059375
0,5,0.022143781009903343,0.006
72,98,0.02216482150900965,0.0060625
239,226,0.022181232796889126,0.006125
36,126,0.02221389436101534,0.0061875
15976,14883,0.02225716315818463,0.00625
45,69,0.022264302082284755,0.0063125
103,21,0.022274574738449578,0.006375
15980,15005,0.022294531782097095,0.0064375
11,131,0.022311135687373744,0.0065
15975,14911,0.022313074539886065,0.0065625
124,77,0.0223347946736739,0.006625
19,51,0.022341827165973886,0.0066875
15979,14763,0.02235386182418854,0.00675
182,334,0.022395613544140967,0.0068125
28,57,0.022410952088182768,0.006875
43,83,0.02241359713482648,0.0069375
91,134,0.02241421883509197,0.007
69,166,0.022427449116358463,0.0070625
70,100,0.022435510737424738,0.007125
192,162,0.022484495345355994,0.0071875
241,278,0.0224947300593181,0.00725
15995,14187,0.022505561431352964,0.0073125
26,154,0.02251206535246787,0.007375
132,4,0.022513863147328318,0.0074375
140,262,0.02251889820245603,0.0075
177,93,0.022555006061676687,0.0075625
224,250,0.022555341866064966,0.007625
15973,14615,0.02256501099057917,0.0076875
8,58,0.02258014930224857,0.00775
15902,15198,0.022585353679858772,0.0078125
125,55,0.022616210733662954,0.007875
15952,14465,0.022638558244983877,0.0079375
128,60,0.02265754325107861,0.008
184,246,0.02266809456411749,0.0080625
146,141,0.022673585680905543,0.008125
104,47,0.022693391021992314,0.0081875
