,Request Id,request_model_execution_time_normalized,cdf
81,81,0.03819732582669618,0.008403361344537815
57,48,0.038306644160431016,0.01680672268907563
49,39,0.038324580334130005,0.025210084033613446
82,75,0.038376791510883586,0.03361344537815126
117,119,0.038575662489060594,0.04201680672268908
46,49,0.038640866410823926,0.05042016806722689
17,17,0.03873341795170948,0.058823529411764705
22,22,0.03877173366262888,0.06722689075630252
54,55,0.03883336724908691,0.07563025210084033
38,38,0.038955472553567606,0.08403361344537816
51,50,0.03896441019346303,0.09243697478991597
44,46,0.03913334493011439,0.10084033613445378
102,102,0.03920138209132259,0.1092436974789916
11,10,0.0392923245961657,0.11764705882352941
72,72,0.039305892347028824,0.12605042016806722
85,85,0.03932587862560273,0.13445378151260504
6,7,0.039384486223664764,0.14285714285714285
77,78,0.0394128227036409,0.15126050420168066
53,54,0.03951559588552101,0.15966386554621848
13,9,0.03954331696287613,0.16806722689075632
105,105,0.03963444663633895,0.17647058823529413
112,112,0.039661115260018816,0.18487394957983194
29,29,0.03970405678888124,0.19327731092436976
37,37,0.039734003233381936,0.20168067226890757
35,35,0.03976494690865065,0.21008403361344538
7,6,0.039823452207221784,0.2184873949579832
3,0,0.039871903198957,0.226890756302521
103,103,0.03989853476101331,0.23529411764705882
42,43,0.03991520185404461,0.24369747899159663
89,88,0.039948537290026245,0.25210084033613445
94,93,0.039952655043440505,0.2605042016806723
76,77,0.039996770599701706,0.2689075630252101
86,86,0.04001164901630859,0.2773109243697479
79,80,0.04007340815475525,0.2857142857142857
66,66,0.04007365583128684,0.29411764705882354
60,60,0.04007781922631003,0.3025210084033613
4,4,0.04011951146328182,0.31092436974789917
68,68,0.04016026649757431,0.31932773109243695
107,108,0.04023380990693703,0.3277310924369748
110,111,0.04026257945107914,0.33613445378151263
73,73,0.04034375009587674,0.3445378151260504
50,53,0.040363697685109466,0.35294117647058826
70,70,0.040368312688710696,0.36134453781512604
16,16,0.04043760552278103,0.3697478991596639
97,97,0.04045960732129541,0.37815126050420167
90,90,0.04051696369563504,0.3865546218487395
58,59,0.04052424378643166,0.3949579831932773
100,99,0.04059845133890005,0.40336134453781514
95,95,0.04065773715522727,0.4117647058823529
118,120,0.04068855727209598,0.42016806722689076
99,100,0.04071410739821762,0.42857142857142855
19,19,0.040729522362726346,0.4369747899159664
59,56,0.04073251182229328,0.44537815126050423
23,23,0.04078500879415384,0.453781512605042
87,87,0.04080423300542842,0.46218487394957986
101,101,0.04081658000543241,0.47058823529411764
62,62,0.04085550466110442,0.4789915966386555
30,30,0.04085670817767188,0.48739495798319327
1,1,0.04085910329886029,0.4957983193277311
9,11,0.040897279127924104,0.5042016806722689
75,76,0.04093817508646331,0.5126050420168067
106,106,0.04094658376723449,0.5210084033613446
45,45,0.04096810717558383,0.5294117647058824
10,13,0.041045661355206174,0.5378151260504201
91,91,0.04107185340351095,0.5462184873949579
28,28,0.04112739808959343,0.5546218487394958
2,2,0.04113034884494338,0.5630252100840336
67,67,0.04115102470567737,0.5714285714285714
41,40,0.04128145439266553,0.5798319327731093
26,26,0.041316130502873805,0.5882352941176471
40,41,0.04133655574858149,0.5966386554621849
43,44,0.041345069802185316,0.6050420168067226
31,31,0.041351570334181964,0.6134453781512605
24,24,0.0413560020494442,0.6218487394957983
14,14,0.041385586741770626,0.6302521008403361
27,27,0.04149218377010702,0.6386554621848739
21,21,0.04150012752849966,0.6470588235294118
64,64,0.04151754295054162,0.6554621848739496
84,84,0.041542141344726224,0.6638655462184874
18,18,0.041583961726518084,0.6722689075630253
116,118,0.041603744272763185,0.680672268907563
104,104,0.04164921790491337,0.6890756302521008
12,12,0.041838379791885365,0.6974789915966386
61,61,0.04187121825457568,0.7058823529411765
63,63,0.04188821582575211,0.7142857142857143
78,79,0.041981091986852986,0.7226890756302521
93,94,0.041989690625087533,0.7310924369747899
48,52,0.04203002431232981,0.7394957983193278
5,5,0.04220021738956722,0.7478991596638656
15,15,0.04220376762922176,0.7563025210084033
88,89,0.04235539791105183,0.7647058823529411
34,34,0.042457538269993,0.773109243697479
98,98,0.04246784338587306,0.7815126050420168
74,74,0.042540848638000124,0.7899159663865546
111,113,0.042810519407400154,0.7983193277310925
69,69,0.04293983424581208,0.8067226890756303
108,109,0.043046710006205115,0.8151260504201681
71,71,0.043052017305945295,0.8235294117647058
83,83,0.04312398295594947,0.8319327731092437
33,33,0.043550609321546585,0.8403361344537815
92,92,0.04367012279755278,0.8487394957983193
56,58,0.043689522019325924,0.8571428571428571
113,114,0.043751918677927285,0.865546218487395
36,36,0.04389170063221245,0.8739495798319328
47,51,0.04389497956278194,0.8823529411764706
55,57,0.04398923189749047,0.8907563025210085
80,82,0.045677106463534456,0.8991596638655462
109,110,0.0462529442785971,0.907563025210084
32,32,0.046881436730762296,0.9159663865546218
20,20,0.04770801543207108,0.9243697478991597
115,117,0.04789412820889086,0.9327731092436975
0,3,0.04828631990433513,0.9411764705882353
114,116,0.04872666842456986,0.9495798319327731
39,42,0.05183260846991216,0.957983193277311
8,8,0.05201202939637625,0.9663865546218487
96,96,0.05265819272006059,0.9747899159663865
25,25,0.05312833122750941,0.9831932773109243
65,65,0.05331715443087543,0.9915966386554622
52,47,0.059468409354342076,1.0
