,Request Id,request_model_execution_time,cdf
10378,10509,0.1191281695999998,6.25e-05
659,751,0.13251581436554533,0.000125
5692,5848,0.19549517379047593,0.0001875
13237,13361,0.20441039049962784,0.00025
4013,4073,0.222353945098481,0.0003125
4933,5076,0.22927346049401526,0.000375
72,131,0.23296261220848608,0.0004375
99,168,0.2502808874751326,0.0005
8420,8536,0.2618722575715248,0.0005625
539,642,0.27526800926690387,0.000625
12636,12735,0.2889110011122092,0.0006875
2019,2120,0.29552185658816976,0.00075
11129,11214,0.300769854065223,0.0008125
11754,11864,0.3090828151768991,0.000875
7484,7610,0.3112923833319791,0.0009375
788,888,0.31345450572698447,0.001
2196,2277,0.320088255902477,0.0010625
9857,9973,0.32203427556265934,0.001125
12389,12491,0.32683607402856074,0.0011875
11663,11789,0.3269751499174599,0.00125
8627,8734,0.3310860458478722,0.0013125
13337,13450,0.3341692829623708,0.001375
6722,6775,0.3346426091070903,0.0014375
3906,4032,0.3358936352319989,0.0015
11032,11148,0.33725398713997023,0.0015625
95,154,0.3378458002909766,0.001625
3934,4090,0.33795597594271753,0.0016875
331,398,0.34090844898124173,0.00175
12918,13030,0.3459610754031752,0.0018125
1787,1866,0.346615469703299,0.001875
10903,11045,0.3491438754659064,0.0019375
15430,15538,0.3517355128595476,0.002
15331,15434,0.35447545882366494,0.0020625
5889,6032,0.35702504331005347,0.002125
4920,5023,0.35745994770834094,0.0021875
12101,12182,0.35874943613443167,0.00225
5818,5835,0.36975085965592003,0.0023125
6840,6949,0.3714463428069056,0.002375
6197,6350,0.3735656866703072,0.0024375
15191,15303,0.37800090341489806,0.0025
6357,6379,0.3792693731270806,0.0025625
11732,11853,0.3839216000784024,0.002625
8298,8379,0.3839420613808352,0.0026875
13143,13240,0.3841702571928813,0.00275
13147,13254,0.3851440829629633,0.0028125
10423,10535,0.3853389328731118,0.002875
4547,4686,0.3891759083428574,0.0029375
8995,9122,0.3909847479685069,0.003
14121,14238,0.3911519635577675,0.0030625
5315,5389,0.3917434797877671,0.003125
4113,4246,0.39392662213697444,0.0031875
13650,13772,0.3976258408290372,0.00325
1091,1200,0.40096023772115996,0.0033125
2947,3071,0.40390631163529217,0.003375
11779,11876,0.40562850727388144,0.0034375
15764,15865,0.40608308578010616,0.0035
729,809,0.40865544654332386,0.0035625
12922,13041,0.41147336437372173,0.003625
3218,3335,0.41485687748792616,0.0036875
6253,6412,0.41790204962539657,0.00375
12210,12299,0.4180865144784866,0.0038125
722,801,0.42321375389629684,0.003875
10905,11020,0.42588223913419876,0.0039375
9148,9265,0.4293968173448651,0.004
3,25,0.4311536992761906,0.0040625
1276,1394,0.4319962414537669,0.004125
5924,6072,0.4337054618688786,0.0041875
476,560,0.43438143605584806,0.00425
7001,7121,0.4370807616562612,0.0043125
4632,4665,0.4384668291813427,0.004375
490,569,0.43902591550132103,0.0044375
4737,4781,0.44090593879979745,0.0045
7646,7687,0.44105622989331716,0.0045625
12913,13020,0.44188676868571375,0.004625
2881,2921,0.44235978215359795,0.0046875
386,472,0.44245755612931326,0.00475
13604,13683,0.4442292069056274,0.0048125
12030,12114,0.44546630051601693,0.004875
3060,3176,0.44661732598459297,0.0049375
764,845,0.4488732702481314,0.005
3672,3795,0.4506405828571424,0.0050625
8071,8186,0.4520141319274503,0.005125
4323,4472,0.45231448406349134,0.0051875
4990,5057,0.45323038818141886,0.00525
1996,2087,0.45445001767311277,0.0053125
13092,13174,0.4557147842031752,0.005375
6524,6539,0.4609242962549226,0.0054375
14145,14262,0.4664726851555549,0.0055
301,350,0.4677553199514192,0.0055625
14132,14246,0.468543240590274,0.005625
7540,7607,0.47051555788744553,0.0056875
14783,14902,0.47283824678499575,0.00575
8154,8249,0.47359587737489217,0.0058125
1775,1849,0.4740390713716722,0.005875
3467,3571,0.4751862521611347,0.0059375
312,357,0.4782857876374221,0.006
2,8,0.4789881292259742,0.0060625
3299,3393,0.4813554068032706,0.006125
2254,2364,0.48261011566816586,0.0061875
535,627,0.4839716396498315,0.00625
11507,11580,0.484209847654591,0.0063125
5825,5982,0.48481440652467606,0.006375
15374,15471,0.48512687254179926,0.0064375
3848,3959,0.48531765961481477,0.0065
6649,6749,0.485608820714752,0.0065625
5997,6154,0.48676412298758004,0.006625
6825,6966,0.4867851577650794,0.0066875
14595,14718,0.48703724468921894,0.00675
1927,2014,0.48807102521058193,0.0068125
5400,5558,0.4890682656318135,0.006875
0,5,0.4892494501483492,0.0069375
6804,6897,0.48950191377874175,0.007
9882,9989,0.4895638233735449,0.0070625
15738,15833,0.4903586185493536,0.007125
15911,15999,0.4921715826361711,0.0071875
5736,5841,0.4926359770215655,0.00725
14522,14623,0.4926869762703067,0.0073125
1806,1888,0.4928052162622759,0.007375
3766,3898,0.49315313542458633,0.0074375
6891,7024,0.49362685089079783,0.0075
9188,9299,0.495994749231747,0.0075625
6309,6444,0.4978034312904184,0.007625
6563,6684,0.4983030242031752,0.0076875
4,20,0.4983448491617937,0.00775
13360,13464,0.49891725464491016,0.0078125
10588,10688,0.4997950125183255,0.007875
8856,8951,0.5001992154721345,0.0079375
3175,3249,0.5014650209291964,0.008
8578,8686,0.5023091051649632,0.0080625
5877,6016,0.5027798809286946,0.008125
9848,9942,0.5052158028588529,0.0081875
8520,8607,0.5056154796715163,0.00825
887,955,0.5060360277587301,0.0083125
11818,11937,0.5081841935238093,0.008375
14632,14752,0.5089294885663295,0.0084375
18,65,0.511449609064359,0.0085
6130,6139,0.5118460287890116,0.0085625
7883,8021,0.512049504243127,0.008625
