,cdf,batch_execution_time
0,0.0,0.0060300365694987675
1,0.01,0.006066325559114
2,0.02,0.006102832937250115
3,0.03,0.006151851429625353
4,0.04,0.006188873505705842
5,0.05,0.006288691933037197
6,0.06,0.00631389708586986
7,0.07,0.00631389708586986
8,0.08,0.00631389708586986
9,0.09,0.0063265375204762065
10,0.1,0.0063265375204762065
11,0.11,0.0063392032612579405
12,0.12,0.006351894358878077
13,0.13,0.006351894358878077
14,0.14,0.006390120300921663
15,0.15,0.006390120300921663
16,0.16,0.006454342099148345
17,0.17,0.006454342099148345
18,0.18,0.006467263704952446
19,0.19,0.006467263704952446
20,0.2,0.006467263704952446
21,0.21,0.006480211179837237
22,0.22,0.006480211179837237
23,0.23,0.006480211179837237
24,0.24,0.006480211179837237
25,0.25,0.006480211179837237
26,0.26,0.006480211179837237
27,0.27,0.006480211179837237
28,0.28,0.006480211179837237
29,0.29,0.006480211179837237
30,0.3,0.006493184575592667
31,0.31,0.006493184575592667
32,0.32,0.006493184575592667
33,0.33,0.006493184575592667
34,0.34,0.006545338406753101
35,0.35000000000000003,0.006545338406753101
36,0.36,0.006545338406753101
37,0.37,0.006545338406753101
38,0.38,0.006545338406753101
39,0.39,0.006545338406753101
40,0.4,0.006545338406753101
41,0.41000000000000003,0.006545338406753101
42,0.42,0.006571572201736286
43,0.43,0.006571572201736286
44,0.44,0.006571572201736286
45,0.45,0.006571572201736286
46,0.46,0.006571572201736286
47,0.47000000000000003,0.006571572201736286
48,0.48,0.006571572201736286
49,0.49,0.006571572201736286
50,0.5,0.006571572201736286
51,0.51,0.006571572201736286
52,0.52,0.006571572201736286
53,0.53,0.006571572201736286
54,0.54,0.006571572201736286
55,0.55,0.006571572201736286
56,0.56,0.006584728502440463
57,0.5700000000000001,0.006597911142084989
58,0.58,0.006597911142084989
59,0.59,0.006597911142084989
60,0.6,0.006597911142084989
61,0.61,0.006597911142084989
62,0.62,0.006597911142084989
63,0.63,0.0068124588253167095
64,0.64,0.0068124588253167095
65,0.65,0.006880925197701588
66,0.66,0.006880925197701588
67,0.67,0.006963993742210106
68,0.68,0.006963993742210106
69,0.6900000000000001,0.007005903321642825
70,0.7000000000000001,0.007005903321642825
71,0.71,0.007005903321642825
72,0.72,0.007005903321642825
73,0.73,0.007005903321642825
74,0.74,0.007048065114519901
75,0.75,0.007048065114519901
76,0.76,0.007048065114519901
77,0.77,0.007048065114519901
78,0.78,0.007048065114519901
79,0.79,0.007048065114519901
80,0.8,0.007048065114519901
81,0.81,0.00709048063867145
82,0.8200000000000001,0.00709048063867145
83,0.8300000000000001,0.00709048063867145
84,0.84,0.007104675795105227
85,0.85,0.007133151421061933
86,0.86,0.007133151421061933
87,0.87,0.00716174117766964
88,0.88,0.00716174117766964
89,0.89,0.007483893270706591
90,0.9,0.007483893270706591
91,0.91,0.007498876040017316
92,0.92,0.007498876040017316
93,0.93,0.007513888804862196
94,0.9400000000000001,0.0075591076737143124
95,0.9500000000000001,0.007773753782279754
96,0.96,0.007773753782279754
97,0.97,0.007804911080848714
98,0.98,0.007804911080848714
99,0.99,0.007836193258244726
100,1.0,0.1268181398655986
