,Request Id,request_execution_plus_preemption_time_normalized,cdf
25,29,0.006766721879480118,0.03125
31,9,0.006924576247846288,0.0625
20,27,0.0071012767089414525,0.09375
27,31,0.007152237048897922,0.125
22,21,0.007301524472739039,0.15625
26,22,0.0073041589328274965,0.1875
29,23,0.007311617402197413,0.21875
30,10,0.007320473828596773,0.25
16,28,0.0073654982011733565,0.28125
17,19,0.007366806709980191,0.3125
28,0,0.007372298068952177,0.34375
14,16,0.007519648287649485,0.375
11,24,0.007547473905380836,0.40625
4,13,0.007895345589472177,0.4375
0,5,0.00798272701154107,0.46875
12,30,0.007995449906767744,0.5
23,14,0.00801332452771909,0.53125
24,6,0.008070619932111802,0.5625
21,1,0.00810481295075134,0.59375
8,17,0.00812221522167155,0.625
19,26,0.00815907749200652,0.65625
13,12,0.00816612054614577,0.6875
10,4,0.00832255883450343,0.71875
7,11,0.00833649889375944,0.75
5,7,0.008354185015870702,0.78125
18,18,0.008406061983185761,0.8125
15,2,0.008624511431322243,0.84375
3,20,0.008858392089824025,0.875
9,15,0.008881233743246808,0.90625
1,3,0.009650163199825482,0.9375
6,25,0.010466284122244646,0.96875
2,8,0.011652836382806822,1.0
