,Request Id,prefill_time_execution_plus_preemption,cdf
2773,1929,0.03907525526790323,0.0002288329519450801
988,707,0.0391412630712864,0.0004576659038901602
2719,1986,0.03944389526793657,0.0006864988558352403
3966,2489,0.03944389526793657,0.0009153318077803204
1668,624,0.04040134307126664,0.0011441647597254005
3757,2820,0.040440863071353306,0.0013729977116704805
2918,1441,0.04057323580468619,0.0016018306636155606
2287,590,0.04079222307126429,0.0018306636155606408
1692,1251,0.04137237376187386,0.002059496567505721
3535,2523,0.041372373761987546,0.002288329519450801
1893,435,0.04156068360816789,0.002517162471395881
3667,2834,0.04229262458738958,0.002745995423340961
3152,2391,0.04229891544446218,0.002974828375286041
3356,2997,0.042308943071247995,0.003203661327231121
2314,1133,0.0426359045872573,0.003432494279176201
3089,1900,0.043006944587318685,0.0036613272311212816
3255,2106,0.04302548360806213,0.0038901601830663617
2877,2019,0.043029423071288875,0.004118993135011442
1406,651,0.043060143071272705,0.004347826086956522
3049,1911,0.04308332324785624,0.004576659038901602
1836,1205,0.04337641592064756,0.004805491990846682
2476,1852,0.04388039239074715,0.005034324942791762
4333,2849,0.04505852360807694,0.005263157894736842
2321,782,0.045726743724117114,0.005491990846681922
1626,643,0.04588091397940275,0.005720823798627002
3764,2681,0.045941793979181966,0.005949656750572082
1904,790,0.046404970911567034,0.006178489702517162
4294,3321,0.04705547397929877,0.006407322654462242
3981,2499,0.047137073979456545,0.006636155606407322
1380,626,0.04846194121748226,0.006864988558352402
3469,3467,0.04965877575477862,0.007093821510297483
3768,2686,0.04965877575477862,0.007322654462242563
2525,1861,0.04988275387802332,0.007551487414187643
3782,2467,0.05022028178279925,0.007780320366132723
2962,3044,0.050590513878205456,0.008009153318077803
1793,925,0.0508703452110808,0.008237986270022883
4248,2951,0.05127908178269536,0.008466819221967964
3573,2581,0.05226840241789432,0.008695652173913044
3951,2563,0.05804449518927868,0.008924485125858124
4151,3141,0.05883335854332472,0.009153318077803204
3085,1679,0.05933977518930078,0.009382151029748284
3081,1765,0.06015944634668813,0.009610983981693364
1505,982,0.060166550515532435,0.009839816933638444
4022,2786,0.061538581414879445,0.010068649885583524
3443,3478,0.06436798061827176,0.010297482837528604
2597,1487,0.06697948481939875,0.010526315789473684
2310,960,0.07065337023146867,0.010755148741418764
4154,2976,0.07091804125320778,0.010983981693363844
4192,3230,0.071256810231489,0.011212814645308924
1940,1990,0.07196803147587616,0.011441647597254004
289,398,0.07397504224499585,0.011670480549199084
3634,3288,0.07397504224536533,0.011899313501144164
2703,2822,0.07505144224523974,0.012128146453089244
2591,1345,0.07572088953406819,0.012356979405034324
1271,342,0.0757909773376042,0.012585812356979404
965,645,0.08893638225404743,0.012814645308924484
2798,1678,0.0889475822540362,0.013043478260869565
1833,545,0.08971696225799519,0.013272311212814645
1465,1496,0.09037231150853131,0.013501144164759725
3423,2093,0.09037231150853131,0.013729977116704805
2298,924,0.09240615931190632,0.013958810068649886
2582,1189,0.09322916502134149,0.014187643020594966
3963,2728,0.09416437282493462,0.014416475972540047
2756,1577,0.09441125282478424,0.014645308924485127
1776,1880,0.0953427110772509,0.014874141876430207
2316,1790,0.09556727107724328,0.015102974828375287
1413,39,0.09713159572411456,0.015331807780320367
1452,471,0.09865696352753162,0.015560640732265447
1388,1435,0.1066285180787645,0.015789473684210527
1227,1330,0.10857237322176161,0.016018306636155607
3568,2548,0.10857237322181845,0.016247139588100687
240,312,0.10864246102519814,0.016475972540045767
2246,988,0.10885117029175717,0.016704805491990847
4149,4181,0.10943182102528226,0.016933638443935927
2454,1109,0.11033102102521752,0.017162471395881007
2446,1016,0.11056277809518633,0.017391304347826087
2777,2404,0.11078948708166081,0.017620137299771167
2164,828,0.11099252708174845,0.017848970251716247
3234,2851,0.11128581809498428,0.018077803203661327
1597,1617,0.11162484878434498,0.018306636155606407
217,275,0.1124241653275817,0.018535469107551487
1110,1083,0.11513041959085513,0.018764302059496567
3818,3849,0.11681294415848242,0.018993135011441648
3523,2529,0.11720488076946367,0.019221967963386728
3284,1882,0.11738151196186664,0.019450800915331808
501,235,0.11980478726513866,0.019679633867276888
1528,1396,0.12108660344119926,0.019908466819221968
1584,337,0.12196375637306289,0.020137299771167048
3665,3726,0.12328984417649735,0.020366132723112128
2594,1785,0.12588688177368113,0.020594965675057208
3454,3449,0.12732246910695721,0.020823798627002288
3888,4014,0.12732246910695721,0.021052631578947368
2317,1027,0.1273224691070709,0.021281464530892448
2596,2286,0.1273224691070709,0.021510297482837528
1684,1699,0.12796584538057232,0.021739130434782608
2750,1970,0.12921013508696433,0.021967963386727688
1841,1924,0.13211915829151621,0.022196796338672768
2614,2607,0.1325578860951282,0.022425629290617848
1044,1090,0.1342289260949201,0.02265446224256293
2121,2184,0.1573046062000003,0.02288329519450801
4064,4222,0.15912254943327753,0.02311212814645309
1153,295,0.1591225494333912,0.02334096109839817
3026,2295,0.15964664392060968,0.02356979405034325
3487,2773,0.15979401110917024,0.02379862700228833
3491,3545,0.15979401110917024,0.02402745995423341
3424,2388,0.15997615723676972,0.02425629290617849
1224,1315,0.16166291657964393,0.02448512585812357
1315,1342,0.1624038765796172,0.02471395881006865
1005,1063,0.16593497841415683,0.02494279176201373
3959,3907,0.16650154621765978,0.02517162471395881
4088,4192,0.16668098621767058,0.02540045766590389
614,679,0.16805647614873465,0.02562929061784897
3068,3073,0.16860654140828046,0.02585812356979405
329,393,0.16860654140839415,0.02608695652173913
3144,2331,0.17056398921181426,0.02631578947368421
2793,1992,0.1717050368861237,0.02654462242562929
878,948,0.17174530973113633,0.02677345537757437
982,1072,0.17386420204445585,0.02700228832951945
1736,1757,0.17409210904224892,0.02723112128146453
4344,4474,0.17444650904189984,0.02745995423340961
1536,397,0.1750769124415683,0.02768878718535469
2702,2733,0.17882444995052538,0.027917620137299773
4352,4470,0.17882444995052538,0.028146453089244853
2786,2500,0.17954761297914956,0.028375286041189933
3925,2498,0.17954761297914956,0.028604118993135013
4014,3088,0.18382885472738053,0.028832951945080093
2889,1853,0.1843912758896522,0.029061784897025173
4101,4218,0.1844550358896413,0.029290617848970253
381,313,0.18449887588974434,0.029519450800915333
2411,2419,0.1855251714342785,0.029748283752860413
3719,3585,0.18585223588956978,0.029977116704805493
2668,2659,0.186313852330386,0.030205949656750573
3252,2716,0.186313852330386,0.030434782608695653
3463,3598,0.186313852330386,0.030663615560640733
3617,3728,0.186313852330386,0.030892448512585814
3629,3601,0.186313852330386,0.031121281464530894
634,677,0.1864532592376804,0.03135011441647597
1461,1403,0.18755457115230456,0.031578947368421054
3140,3191,0.18763930013392383,0.03180778032036613
2681,2649,0.1878492201337849,0.032036613272311214
1279,1326,0.1921108952788586,0.03226544622425629
2458,2533,0.19256986308221258,0.032494279176201374
3198,3278,0.19314006505942416,0.03272311212814645
3048,3065,0.19433534505947136,0.032951945080091534
539,549,0.19449051718083865,0.03318077803203661
1538,1609,0.19449051718083865,0.033409610983981694
867,961,0.19632774117076224,0.03363844393592677
2504,2602,0.19632774117076224,0.033867276887871854
4239,4265,0.19660400541329182,0.03409610983981693
2363,1229,0.19728081177345302,0.034324942791762014
2022,2098,0.19753808741052126,0.03455377574370709
3233,2608,0.19862737521395957,0.034782608695652174
3103,3113,0.19899241957682534,0.03501144164759725
4215,4286,0.19920073957678142,0.035240274599542334
1832,1032,0.1995402552139467,0.03546910755148741
862,716,0.19957713521395704,0.035697940503432495
3909,3881,0.199589855440081,0.03592677345537757
4031,4142,0.199589855440081,0.036155606407322655
2890,2946,0.19982873957701486,0.03638443935926773
2930,3024,0.20037426324347507,0.036613272311212815
1138,1167,0.200834343243514,0.03684210526315789
1761,1802,0.20608494591681392,0.037070938215102975
2854,2863,0.2086627228375164,0.03729977116704806
1211,1310,0.2102504906410445,0.037528604118993135
2420,2542,0.21041988821752966,0.03775743707093822
3860,2873,0.21041988821752966,0.037986270022883295
10,131,0.21048997602088804,0.03821510297482838
3690,2815,0.21109737064080036,0.038443935926773455
214,299,0.2112309360208826,0.03867276887871854
147,190,0.21200895844739165,0.038901601830663615
3315,3337,0.2121362160210083,0.0391304347826087
374,366,0.21449049120340646,0.039359267734553775
2109,2204,0.21585277956330629,0.03958810068649886
3462,3485,0.21629683608512096,0.039816933638443935
4254,4283,0.21629683608512096,0.04004576659038902
409,395,0.2166371873667856,0.040274599542334096
3501,3584,0.21834532388857042,0.04050343249427918
1775,1831,0.21859098189906945,0.040732265446224256
1316,1365,0.22010338189909362,0.04096109839816934
338,307,0.22053831591649953,0.041189931350114416
4290,4315,0.22067146189920095,0.0414187643020595
3306,3388,0.22224738601721583,0.041647597254004576
1635,1663,0.22224738601732952,0.04187643020594966
4098,4119,0.22372311245362653,0.042105263157894736
4177,4252,0.22372311245362653,0.04233409610983982
2588,2034,0.2237932002569778,0.042562929061784896
3060,3196,0.22503633463747974,0.04279176201372998
2949,1751,0.22545034625375138,0.043020594965675056
4130,4171,0.22621895452925855,0.04324942791762014
4281,4376,0.2262332224408965,0.043478260869565216
3824,3928,0.22624347405712797,0.0437070938215103
3173,3173,0.22625418244092543,0.043935926773455376
318,407,0.2264487945291478,0.04416475972540046
1192,1244,0.22845772078756,0.044393592677345536
2068,2091,0.22845772078756,0.04462242562929062
46,154,0.2284577207875671,0.044851258581235696
640,593,0.22845772078758841,0.04508009153318078
4056,4212,0.23109733115461495,0.04530892448512586
435,495,0.23109733115472864,0.04553775743707094
1252,1311,0.23109733115472864,0.04576659038901602
3881,3984,0.23520654225421822,0.0459954233409611
1760,1888,0.23601759005771328,0.04622425629290618
942,1035,0.23653638410752365,0.04645308924485126
1594,1664,0.23743711191104921,0.04668192219679634
3400,2867,0.2382396048251394,0.04691075514874142
3191,2053,0.23855671191097372,0.0471395881006865
886,896,0.2385848719109731,0.04736842105263158
2397,2435,0.2399983004348769,0.04759725400457666
3632,3629,0.24119518823840735,0.04782608695652174
1068,1114,0.2419827750156287,0.04805491990846682
2926,3020,0.2432113383054002,0.0482837528604119
1781,1916,0.2436703061089247,0.04851258581235698
3111,3155,0.2444291861088459,0.04874141876430206
333,303,0.24487609806080002,0.04897025171624714
1074,1200,0.24558870610900385,0.04919908466819222
3180,2050,0.24621563144899028,0.0494279176201373
4059,3978,0.24621563144910397,0.04965675057208238
3887,3958,0.24626592034314854,0.04988558352402746
3950,2866,0.24626592034314854,0.05011441647597254
4268,4370,0.24673835925250387,0.05034324942791762
1395,1422,0.2477922792523941,0.0505720823798627
2609,2610,0.2511267992676949,0.05080091533180778
3054,3093,0.2511267992676949,0.05102974828375286
518,642,0.2511267992677233,0.05125858123569794
3434,3516,0.2515217327370465,0.05148741418764302
3574,3670,0.2515217327370465,0.0517162471395881
3932,2848,0.2518353175607899,0.05194508009153318
4218,4336,0.2518353175607899,0.05217391304347826
1825,1854,0.25229628536430937,0.05240274599542334
1936,1973,0.2526949542377679,0.05263157894736842
3077,2074,0.25309824707107964,0.0528604118993135
218,226,0.25346718693309356,0.05308924485125858
1012,1073,0.25346718693310777,0.05331807780320366
2006,1895,0.25346718693310777,0.05354691075514874
1037,1086,0.2538842053642725,0.05377574370709382
842,901,0.2539615005405267,0.0540045766590389
4147,4133,0.25466407473641084,0.05423340961098398
3417,3536,0.2570539676141834,0.05446224256292906
2524,2586,0.25747554974134346,0.05469107551487414
2425,2540,0.2574942697414144,0.05491990846681922
2658,2699,0.2701123200308757,0.0551487414187643
1805,1843,0.2701123200311031,0.05537757437070938
3082,1994,0.2701123200311031,0.05560640732265446
99,130,0.27051456783453176,0.055835240274599546
2843,2921,0.27950123028449525,0.05606407322654462
3006,3061,0.27950123028449525,0.056292906178489706
925,989,0.28121283808798125,0.05652173913043478
4058,3003,0.2835298689155934,0.056750572082379866
1847,1919,0.28359995671894467,0.05697940503432494
1918,1933,0.28550663510714,0.057208237986270026
1016,950,0.2856351951072611,0.0574370709382151
3814,2774,0.28828397708821285,0.057665903890160186
4190,4125,0.28828397708821285,0.05789473684210526
1409,1468,0.2883540648915641,0.058123569794050346
2506,2583,0.2889843848915916,0.05835240274599542
1549,1644,0.28948958489149845,0.058581235697940506
880,926,0.28993934116687115,0.05881006864988558
2196,1170,0.29032406489159257,0.059038901601830666
103,177,0.29046534897032217,0.05926773455377574
3345,3107,0.29177013022081155,0.059496567505720827
1449,1528,0.29266517802409453,0.0597254004576659
1895,1955,0.2928594180241362,0.05995423340961099
3005,3126,0.2932954980242357,0.06018306636155606
2371,2283,0.2933467780241017,0.06041189931350115
3555,2960,0.2938039780242434,0.06064073226544622
3556,3513,0.29409276135811524,0.06086956521739131
2534,2638,0.2940927613582289,0.06109839816933638
3988,4122,0.295482769161481,0.06132723112128147
1925,1729,0.2956181291616531,0.061556064073226543
3763,3822,0.2957698091615839,0.06178489702517163
2172,2226,0.2967713595045325,0.062013729977116704
2345,1269,0.29684144730788375,0.06224256292906179
3661,3651,0.29800151513632045,0.062471395881006864
113,141,0.2980716029396788,0.06270022883295194
2198,2322,0.2995986401738264,0.06292906178489703
2834,2891,0.2995986401738264,0.06315789473684211
3414,3504,0.2995986401738264,0.06338672768878718
1564,598,0.2997130716298386,0.06361556064073226
3010,3021,0.29971307162986704,0.06384439359267735
3877,3986,0.29971307162986704,0.06407322654462243
3895,3996,0.2997831594332183,0.0643020594965675
1817,1820,0.2998455594332654,0.06453089244851258
3232,2229,0.30015920293976706,0.06475972540045767
2027,2095,0.3007955279772432,0.06498855835240275
388,426,0.3011132394332776,0.06521739130434782
3896,3959,0.30125256797737165,0.0654462242562929
1866,1928,0.3017788373640542,0.06567505720823799
2539,2606,0.3017788373640542,0.06590389016018307
2099,2157,0.30261839196248275,0.06613272311212814
2620,2653,0.30261839196259643,0.06636155606407322
2599,2724,0.3034097967774869,0.06659038901601831
3505,3616,0.3047358845808503,0.06681922196796339
463,320,0.30484010339054635,0.06704805491990846
1907,1978,0.3052990711939856,0.06727688787185354
2672,2667,0.3053510845809342,0.06750572082379863
692,801,0.3061850397659214,0.06773455377574371
2625,2645,0.30655171119406077,0.06796338672768878
1389,1359,0.30747935154522565,0.06819221967963386
1244,1285,0.30793831934875016,0.06842105263157895
2034,2067,0.30915639934858063,0.06864988558352403
307,327,0.3103124656613403,0.0688787185354691
1540,1537,0.3116564734751819,0.06910755148741418
1590,1660,0.31244960127867216,0.06933638443935927
2139,2205,0.3124701534648011,0.06956521739130435
1159,1178,0.3132060305751452,0.06979405034324943
2977,3001,0.313206030575202,0.0700228832951945
1977,2020,0.3132761183785533,0.07025171624713959
2384,2476,0.31407584127862265,0.07048054919908467
2104,2232,0.3141412383786246,0.07070938215102975
2698,2749,0.3145101612783492,0.07093821510297482
4278,4297,0.31562697572258,0.07116704805491991
851,907,0.31639187837862437,0.07139588100686499
3147,3286,0.3164598896530606,0.07162471395881007
3165,3316,0.3164598896530606,0.07185354691075514
645,759,0.3164598896531743,0.07208237986270023
2355,2262,0.3164598896531743,0.07231121281464531
2269,2382,0.316522023525863,0.07254004576659039
1773,1533,0.31804765745664554,0.07276887871853546
1905,1844,0.3192550306224575,0.07299771167048055
2484,2570,0.3193684133724446,0.07322654462242563
2712,2852,0.3193684133725583,0.0734553775743707
1248,1267,0.31943850117602324,0.07368421052631578
916,1000,0.32059890117602663,0.07391304347826087
2218,2300,0.3211521642721209,0.07414187643020595
1725,1846,0.32115985207553877,0.07437070938215103
2826,2956,0.32117103062228125,0.07459954233409612
2904,2972,0.32117103062228125,0.0748283752860412
1806,1281,0.32122225207558586,0.07505720823798627
393,480,0.3216548120755647,0.07528604118993135
858,937,0.3226807564759042,0.07551487414187644
3038,3082,0.32268075647607475,0.07574370709382151
1745,576,0.3226884442793505,0.07597254004576659
1579,1561,0.3228104120755688,0.07620137299771167
782,850,0.3230941242793506,0.07643020594965676
1344,1424,0.32316291120775986,0.07665903890160183
1896,1938,0.3231907919224568,0.07688787185354691
1447,1532,0.3236269175099551,0.07711670480549199
2288,2371,0.3241919197258767,0.07734553775743708
1969,1901,0.32451623972588095,0.07757437070938215
960,1042,0.32482719972603036,0.07780320366132723
983,1045,0.3248296442793617,0.07803203661327231
45,38,0.32595567200718634,0.0782608695652174
1497,1574,0.3259556720072396,0.07848970251716247
2685,2812,0.3259556720072396,0.07871853546910755
3980,4118,0.32688333018359117,0.07894736842105263
4005,4078,0.32688333018359117,0.07917620137299772
4024,4160,0.32688333018359117,0.0794050343249428
2299,2344,0.3272817598107167,0.07963386727688787
467,520,0.32757877798707113,0.07986270022883295
3134,3258,0.32781853798701377,0.08009153318077804
291,155,0.32810236067472687,0.08032036613272311
1748,1860,0.328102360674734,0.08054919908466819
2881,2892,0.32810236067484766,0.08077803203661327
1137,1220,0.32840869798701533,0.08100686498855836
3347,3137,0.3285262979870822,0.08123569794050343
1850,1897,0.3285372579870227,0.08146453089244851
4214,4215,0.32894884847814865,0.08169336384439359
2140,2207,0.3290410179870378,0.08192219679633868
1926,1987,0.3294278084781581,0.08215102974828375
4363,4409,0.3297562884783929,0.08237986270022883
446,547,0.33012511840422576,0.08260869565217391
947,983,0.33123422088215193,0.082837528604119
3433,3423,0.3337840530775793,0.08306636155606408
3827,3603,0.3337840530775793,0.08329519450800915
3861,3047,0.3337840530775793,0.08352402745995423
1213,223,0.33378405307765036,0.08375286041189932
2415,2546,0.333784053077693,0.0839816933638444
2711,2806,0.33448446088095807,0.08421052631578947
4304,4359,0.33510950088111713,0.08443935926773455
3649,3710,0.3385286069583344,0.08466819221967964
948,927,0.34058700826625454,0.08489702517162472
1354,1440,0.3417690960695836,0.08512585812356979
4155,4198,0.3423902069880569,0.08535469107551487
1249,1282,0.34295301606971407,0.08558352402745996
1743,1823,0.3435022069882052,0.08581235697940504
4121,4158,0.3435022069882052,0.08604118993135011
2765,2754,0.345187491992192,0.08627002288329519
896,906,0.3451874919923057,0.08649885583524028
3576,3565,0.3454925103583264,0.08672768878718536
2761,2755,0.34678091030923497,0.08695652173913043
2838,2855,0.34678091030923497,0.08718535469107551
229,319,0.3472398781126742,0.0874141876430206
3924,3969,0.3490465633024087,0.08764302059496568
4203,4153,0.3490465633024087,0.08787185354691075
1027,1127,0.3490465633025224,0.08810068649885583
1858,1976,0.3490465633025224,0.08832951945080092
1267,1293,0.34911665110598733,0.088558352402746
4159,4306,0.3503720111059465,0.08878718535469107
1812,1809,0.35037265110599947,0.08901601830663615
4057,4154,0.3507048111057429,0.08924485125858124
3711,3834,0.3511226511059249,0.08947368421052632
2199,2247,0.3514631157424901,0.08970251716247139
2937,2783,0.3514631157424901,0.08993135011441647
1604,1633,0.35156037483466207,0.09016018306636156
3317,3398,0.3518693537987474,0.09038901601830664
1786,1862,0.35193944160232604,0.09061784897025171
2259,1654,0.35235350263815235,0.09084668192219679
2505,2630,0.3523893426380482,0.09107551487414188
3652,3653,0.3526370715262601,0.09130434782608696
4288,4329,0.35273158263817095,0.09153318077803203
1398,1432,0.353051441602247,0.09176201372997711
412,419,0.3533374793296957,0.0919908466819222
4195,4294,0.35358568160222603,0.09221967963386728
1500,1505,0.35445558466210514,0.09244851258581235
3120,3080,0.3544555846622188,0.09267734553775744
2190,2255,0.3558455924654709,0.09290617848970252
194,239,0.3559675824206181,0.0931350114416476
314,367,0.3559675824206181,0.09336384439359267
857,898,0.3559675824206465,0.09359267734553776
741,811,0.355987399329706,0.09382151029748284
3254,3299,0.3566044724657331,0.09405034324942792
1877,1937,0.35679655022397583,0.094279176201373
1165,1270,0.35682159246567835,0.09450800915331808
3108,3002,0.3576781953761383,0.09473684210526316
3204,3253,0.3576781953761383,0.09496567505720824
3557,3672,0.3576781953761383,0.09519450800915331
3599,3529,0.3576781953761383,0.0954233409610984
52,168,0.3579475631794651,0.09565217391304348
3100,3238,0.3585058031794688,0.09588100686498856
1887,1883,0.35894188317945463,0.09610983981693363
2894,3006,0.3592035631795625,0.09633867276887872
2072,2096,0.3596016321372417,0.0965675057208238
3697,3735,0.3597172431796025,0.09679633867276888
1231,1287,0.36034763994058494,0.09702517162471395
874,877,0.36247395994058706,0.09725400457665904
3110,3212,0.36303192805416984,0.09748283752860412
1350,75,0.365031018307409,0.0977116704805492
2922,2983,0.36540929585771664,0.09794050343249427
1921,1868,0.36547121240528213,0.09816933638443937
3738,3840,0.36547121240528213,0.09839816933638444
1860,1956,0.36665330020866804,0.09862700228832952
2846,2841,0.36747141047180776,0.0988558352402746
3366,3407,0.36747141047180776,0.09908466819221969
1128,1165,0.36842885827530836,0.09931350114416476
2939,3060,0.369125338275353,0.09954233409610984
317,294,0.37050546990991506,0.09977116704805492
1417,1497,0.3705054699099719,0.1
3176,3150,0.3708625977133124,0.10022883295194508
3472,3560,0.3714406777132808,0.10045766590389016
3402,3528,0.3718315577132216,0.10068649885583524
280,297,0.3728155027390585,0.10091533180778033
1499,563,0.3728155027390585,0.1011441647597254
3022,3122,0.3728155027390585,0.10137299771167048
4313,4406,0.3729863017417756,0.10160183066361556
930,1009,0.37304491280985985,0.10183066361556065
517,347,0.37304491280987406,0.10205949656750572
2957,2961,0.37304491280997354,0.1022883295194508
3073,3184,0.37304491280997354,0.10251716247139588
4035,4134,0.37304491280997354,0.10274599542334097
2915,3028,0.37372847054257363,0.10297482837528604
4164,4186,0.37389852061346573,0.10320366132723112
