,Request Id,request_execution_time_normalized,cdf
274,319,0.00900389326360248,8.054772452678212e-05
51,95,0.010027780344396374,0.00016109544905356423
0,5,0.010234690408965743,0.00024164317358034635
738,796,0.010300805528086071,0.00032219089810712846
2913,2961,0.010377409354123204,0.0004027386226339106
332,398,0.0103987566683903,0.0004832863471606927
3208,3286,0.010402002299780416,0.0005638340716874748
730,791,0.01041272741340647,0.0006443817962142569
314,327,0.010474844030119933,0.0007249295207410391
893,941,0.010489968940031269,0.0008054772452678212
2900,2946,0.010520615633989058,0.0008860249697946033
306,343,0.010561547010283142,0.0009665726943213854
700,768,0.010731226289717741,0.0010471204188481676
872,937,0.01076370907344423,0.0011276681433749496
175,213,0.010766281975415685,0.0012082158679017317
897,948,0.010860367888080452,0.0012887635924285139
894,931,0.010896600085396292,0.001369311316955296
305,321,0.01090937158239503,0.0014498590414820781
732,801,0.01093310914176683,0.0015304067660088603
884,936,0.010941893234355855,0.0016109544905356424
2911,2952,0.010943644163028168,0.0016915022150624246
285,318,0.01095402148469283,0.0017720499395892065
3268,3351,0.010983792810996438,0.0018525976641159886
299,334,0.011002319748912151,0.0019331453886427708
3029,3093,0.011009612995162753,0.002013693113169553
1830,1919,0.011010090172081266,0.0020942408376963353
1979,2026,0.01102293292017076,0.002174788562223117
251,299,0.011032219385403655,0.002255336286749899
888,943,0.011035943635508855,0.0023358840112766813
2908,2957,0.011040523386952349,0.0024164317358034634
2918,2953,0.011050424862908671,0.0024969794603302456
885,933,0.011061666769489135,0.0025775271848570277
307,345,0.011072205385730248,0.00265807490938381
906,938,0.011072378903525946,0.002738622633910592
2884,2947,0.011075808636747548,0.002819170358437374
265,291,0.011084788494189184,0.0028997180829641563
2929,2992,0.011090112822921229,0.0029802658074909384
327,346,0.011094487244620931,0.0030608135320177206
2889,2956,0.011109255303635988,0.0031413612565445027
652,696,0.011109744410490743,0.003221908981071285
2030,2085,0.011115544642098851,0.003302456705598067
1822,1916,0.011117045634021426,0.003383004430124849
2914,2966,0.011124200091172817,0.0034635521546516313
1864,1924,0.011124405175993456,0.003544099879178413
925,979,0.01114440143287969,0.003624647603705195
3155,3238,0.011146325941341712,0.0037051953282319773
281,294,0.011149154086680848,0.0037857430527587594
7,30,0.011157789366975597,0.0038662907772855416
371,320,0.01117137381918829,0.003946838501812324
301,317,0.011188341491342438,0.004027386226339106
2917,2965,0.01118987273241175,0.004107933950865888
892,946,0.011197396799156602,0.004188481675392671
273,312,0.011207138785377397,0.004269029399919452
887,926,0.011214106744427996,0.004349577124446234
2237,2322,0.01122115533906734,0.004430124848973017
318,351,0.011221656461135014,0.004510672573499798
303,307,0.011233469054201813,0.004591220298026581
284,297,0.011257186392158038,0.004671768022553363
1797,1843,0.011270615804024754,0.004752315747080145
2910,2955,0.011276378136811547,0.004832863471606927
331,323,0.01127824919984014,0.0049134111961337094
761,829,0.01127931247048768,0.004993958920660491
19,52,0.011290667889472,0.005074506645187274
288,293,0.011293576480250173,0.0051550543697140554
3008,3092,0.011295645869926816,0.005235602094240838
2013,2067,0.011319130192542794,0.00531614981876762
956,983,0.011320630561228966,0.005396697543294402
650,671,0.01132389108786418,0.005477245267821184
940,989,0.011344430613237207,0.005557792992347967
345,387,0.011350009566347193,0.005638340716874748
2909,2931,0.011353328477015286,0.00571888844140153
904,961,0.011354403621610037,0.005799436165928313
908,934,0.011357869278405468,0.005879983890455094
2049,2098,0.01137260286804005,0.005960531614981877
2902,2945,0.01137792873651022,0.006041079339508659
2901,2959,0.011382404838073148,0.006121627064035441
2058,2024,0.011391841346996319,0.006202174788562223
748,780,0.0113964927715344,0.0062827225130890054
602,657,0.011399418297009783,0.006363270237615787
855,898,0.011404591205424598,0.00644381796214257
329,313,0.011407946834613186,0.0065243656866693514
2044,2091,0.01140859684096375,0.006604913411196134
320,333,0.011411203080071037,0.006685461135722916
1989,2020,0.011422092749889234,0.006766008860249698
1968,2025,0.011428981660220133,0.00684655658477648
728,785,0.011429454735419675,0.006927104309303263
799,823,0.011433909833231778,0.007007652033830044
822,645,0.011453025064168329,0.007088199758356826
323,329,0.011457725222463461,0.007168747482883609
2903,2962,0.011461539198773449,0.00724929520741039
1888,1933,0.01146354117539065,0.007329842931937173
2000,2046,0.0114648099045622,0.007410390656463955
807,854,0.011469051358219398,0.007490938380990737
1987,2051,0.01147020488628308,0.007571486105517519
875,295,0.011475951976136586,0.0076520338300443014
1881,1928,0.01148712320681605,0.007732581554571083
544,642,0.011487690854359033,0.007813129279097865
935,981,0.011492963587412959,0.007893677003624647
729,781,0.011495962424030578,0.00797422472815143
3015,3091,0.01149729551328812,0.008054772452678213
911,342,0.011499779866007155,0.008135320177204993
2979,2963,0.011508024502916547,0.008215867901731776
612,665,0.011508734635126604,0.008296415626258559
896,929,0.011511721746597694,0.008376963350785341
488,347,0.01151959891992156,0.008457511075312122
2949,3001,0.011523309284944662,0.008538058799838905
2970,2964,0.011523374212739428,0.008618606524365687
2905,2954,0.011524150400937955,0.008699154248892468
901,944,0.011528250302065819,0.00877970197341925
824,897,0.011529356424185242,0.008860249697946033
2924,2983,0.011531430598260435,0.008940797422472816
673,736,0.011531904494917304,0.009021345146999597
26,53,0.011546642035773864,0.00910189287152638
9609,9194,0.011548933684824849,0.009182440596053162
882,928,0.011550535026331942,0.009262988320579944
298,328,0.011557126208799739,0.009343536045106725
9709,9372,0.011567006167734041,0.009424083769633508
2937,2993,0.011568164131310659,0.00950463149416029
852,187,0.011570609671055557,0.009585179218687073
615,659,0.011570870039128555,0.009665726943213854
