,Request Id,prefill_time_execution_plus_preemption_normalized,cdf
262,387,9.067280261496185e-05,7.173601147776183e-05
13866,12508,9.072323242722042e-05,0.00014347202295552367
11710,11841,9.072480090329312e-05,0.0002152080344332855
3018,3162,9.075801514240533e-05,0.00028694404591104734
2371,2379,9.076709957004899e-05,0.0003586800573888092
4691,4765,9.077371836637155e-05,0.000430416068866571
7902,8160,9.078378117163643e-05,0.0005021520803443328
3235,3259,9.081558711125721e-05,0.0005738880918220947
13489,13515,9.087258855087453e-05,0.0006456241032998565
4182,4087,9.08748589995855e-05,0.0007173601147776184
9791,10038,9.090399950139999e-05,0.0007890961262553802
8053,8083,9.092551388190764e-05,0.000860832137733142
2267,2347,9.093056981953238e-05,0.0009325681492109039
10404,10129,9.093259578742126e-05,0.0010043041606886656
7177,7135,9.094936603128253e-05,0.0010760401721664275
4286,4488,9.095182069336463e-05,0.0011477761836441894
6857,6992,9.096160300951453e-05,0.0012195121951219512
4035,4164,9.097622526729279e-05,0.001291248206599713
5543,5613,9.09762252673562e-05,0.001362984218077475
8176,8253,9.104711970205722e-05,0.0014347202295552368
4160,4452,9.106749050460984e-05,0.0015064562410329987
8671,8796,9.108449873304463e-05,0.0015781922525107603
12319,12312,9.113256201150695e-05,0.0016499282639885222
9526,9605,9.153412938699964e-05,0.001721664275466284
13432,12584,9.162048848104479e-05,0.001793400286944046
9109,9005,9.164116179161488e-05,0.0018651362984218078
4386,4517,9.164977891191433e-05,0.0019368723098995696
12203,11981,9.170455301913247e-05,0.0020086083213773313
1410,1532,9.171877674802569e-05,0.0020803443328550933
2223,2371,9.173148976734888e-05,0.002152080344332855
2059,2230,9.180265922448088e-05,0.002223816355810617
3591,2624,9.180346775298694e-05,0.0022955523672883787
10544,10691,9.184096749165125e-05,0.002367288378766141
13361,13636,9.185481197429351e-05,0.0024390243902439024
4161,4211,9.185481197435709e-05,0.002510760401721664
6442,6451,9.190690183854416e-05,0.002582496413199426
9462,9419,9.1917559602882e-05,0.002654232424677188
307,375,9.193773513092166e-05,0.00272596843615495
11385,9499,9.19472962585411e-05,0.0027977044476327115
4440,4726,9.195502485182165e-05,0.0028694404591104736
9247,9506,9.195767290595565e-05,0.0029411764705882353
6755,6771,9.198971363574038e-05,0.0030129124820659973
7990,7975,9.19951906234855e-05,0.003084648493543759
9145,9215,9.200918980954442e-05,0.0031563845050215206
5519,5682,9.202452960304593e-05,0.0032281205164992827
9900,10104,9.204435810391748e-05,0.0032998565279770443
5253,5440,9.206419387800673e-05,0.0033715925394548064
2229,2380,9.20738119239048e-05,0.003443328550932568
1882,1938,9.208314784375473e-05,0.00351506456241033
8540,8539,9.212337375802063e-05,0.003586800573888092
7824,7603,9.212566194184991e-05,0.003658536585365854
8244,8538,9.216142791695252e-05,0.0037302725968436155
11155,11230,9.220773615085839e-05,0.003802008608321377
10100,10223,9.244227711889591e-05,0.0038737446197991392
10054,10101,9.252360274263378e-05,0.003945480631276901
854,916,9.258948569301313e-05,0.0040172166427546625
1255,1386,9.258948569303164e-05,0.004088952654232425
1413,1540,9.258948569303164e-05,0.004160688665710187
10329,10311,9.259517795643133e-05,0.004232424677187948
9132,9412,9.262970701599674e-05,0.00430416068866571
3971,4035,9.262970701609551e-05,0.004375896700143472
4122,4272,9.263844054706907e-05,0.004447632711621234
11882,12118,9.263878220684414e-05,0.004519368723098996
1667,1804,9.265651620369387e-05,0.004591104734576757
10518,10752,9.265978868143164e-05,0.004662840746054519
11486,11561,9.266046753975132e-05,0.004734576757532282
11167,11123,9.268514240896247e-05,0.004806312769010043
761,850,9.26884644668071e-05,0.004878048780487805
933,1045,9.268936804695478e-05,0.0049497847919655665
12089,12141,9.26893680470358e-05,0.005021520803443328
1894,2076,9.269210074965543e-05,0.005093256814921091
12471,12563,9.269975532186011e-05,0.005164992826398852
10199,10370,9.270814634976882e-05,0.005236728837876614
7438,7420,9.271025458741385e-05,0.005308464849354376
3025,3082,9.271805169576437e-05,0.005380200860832138
