,Request Id,request_execution_plus_preemption_time_normalized,cdf
15998,15991,0.00828498437999334,6.25e-05
15991,15978,0.008528030864008997,0.000125
15994,15971,0.008754162072474637,0.0001875
15999,15877,0.009371694434615226,0.00025
15963,15997,0.009771357714285145,0.0003125
15995,15872,0.01027626127998458,0.000375
15972,15988,0.01029594517974861,0.0004375
15945,15996,0.010968304360805278,0.0005
15971,15987,0.011006646299938003,0.0005625
72,131,0.01103226458135648,0.000625
15928,15993,0.011088280009600712,0.0006875
15948,15989,0.011105766637464036,0.00075
15993,15804,0.011310379758848453,0.0008125
15969,15982,0.011311974651704292,0.000875
15953,15994,0.011415946168982614,0.0009375
264,319,0.011845798286030962,0.001
10369,10509,0.01191281695999998,0.0010625
15967,15979,0.012031149481798738,0.001125
15997,15647,0.012187666591508627,0.0011875
543,642,0.01219449532454181,0.00125
15959,15986,0.012199390731775658,0.0013125
15996,15656,0.012288215634947142,0.001375
1678,1779,0.012298837483771898,0.0014375
261,312,0.012407436725595371,0.0015
15992,15661,0.012426020433537422,0.0015625
276,315,0.012463097624752853,0.001625
1768,1831,0.012483444473895104,0.0016875
8139,8219,0.01256184558984901,0.00175
15941,15990,0.012647388086493424,0.0018125
5716,5848,0.01272146385269839,0.001875
1745,1827,0.012722382590210782,0.0019375
716,778,0.012907548452051654,0.002
15938,15984,0.012975420082364346,0.0020625
9377,9495,0.012978920662390127,0.002125
15984,15773,0.013016781922950926,0.0021875
11429,11538,0.013077271414515507,0.00225
13149,13254,0.013077373344902875,0.0023125
15922,15998,0.013168833931903774,0.002375
291,334,0.0132058047129995,0.0024375
15964,15960,0.013249779026223454,0.0025
15926,15995,0.013294792401690451,0.0025625
15985,15655,0.013421814490664161,0.002625
15944,15973,0.013443282651704734,0.0026875
15974,15912,0.013474820682649952,0.00275
247,299,0.013518756677933107,0.0028125
15272,15366,0.013555522151607427,0.002875
15923,15985,0.013586502284786063,0.0029375
6372,6474,0.013587831761504443,0.003
9163,9255,0.013661277719190392,0.0030625
12557,12624,0.013746062990809027,0.003125
866,928,0.01375990295679428,0.0031875
12396,12491,0.013772196849550927,0.00325
13112,13171,0.013787952711178261,0.0033125
8812,8886,0.013807926602931923,0.003375
12011,12080,0.013842625171283306,0.0034375
15940,15976,0.013851736698478851,0.0035
2869,2956,0.013855487706207531,0.0035625
15956,15975,0.01386844018872181,0.003625
890,948,0.013903958916629095,0.0036875
1744,1819,0.013991513776898506,0.00375
204,258,0.014009401055169658,0.0038125
6988,7081,0.014017094393034113,0.003875
15987,15550,0.014021575229511389,0.0039375
6876,6985,0.014046900956543566,0.004
13121,13170,0.014048315975210028,0.0040625
7117,7224,0.014053092910498145,0.004125
12087,12162,0.014064519429133062,0.0041875
15986,15584,0.014072403341704887,0.00425
298,343,0.014115145481941593,0.0043125
861,916,0.014129789340114923,0.004375
159,198,0.014149802288966826,0.0044375
15954,15967,0.01417041503715817,0.0045
13111,13166,0.014184571351791074,0.0045625
1766,1807,0.014253227909981394,0.004625
253,291,0.014259683135307247,0.0046875
15893,15992,0.014332833652780054,0.00475
878,936,0.014345652680440678,0.0048125
884,941,0.014370883562263759,0.004875
8836,8929,0.014386010014171864,0.0049375
1736,1823,0.014412076020042946,0.005
15225,15304,0.014428015594361042,0.0050625
166,206,0.014502149182066503,0.005125
15962,15951,0.014505805116714642,0.0051875
13793,13897,0.014551340176942696,0.00525
2873,2947,0.014565247961314953,0.0053125
155,194,0.014569222205815583,0.005375
289,287,0.01457992091514373,0.0054375
13129,13175,0.014611425757079622,0.0055
2885,2962,0.014611846664903866,0.0055625
152,182,0.014630076307482595,0.005625
8143,8207,0.014631816485031406,0.0056875
302,303,0.01463624687837016,0.00575
13120,13184,0.014648414164077592,0.0058125
15990,15414,0.014650613384151424,0.005875
715,766,0.014667335245123335,0.0059375
15989,15364,0.014685126799077453,0.006
13239,13361,0.014687082749973403,0.0060625
15143,15200,0.014691565956455188,0.006125
8384,8438,0.014693479104159198,0.0061875
13116,13167,0.014698088180839163,0.00625
856,937,0.014702439852089685,0.0063125
12040,12112,0.014768981412780763,0.006375
15156,15212,0.014774249303733993,0.0064375
15266,15356,0.014799372654589997,0.0065
12528,12607,0.014821580620299073,0.0065625
15966,15934,0.014826795322684437,0.006625
6283,6412,0.014830427970041056,0.0066875
15302,15362,0.01484161627970986,0.00675
15988,15288,0.014872223035903152,0.0068125
15951,15963,0.01488814917551997,0.006875
12048,12107,0.014904783896286241,0.0069375
14889,15002,0.014908328891579574,0.007
12531,12606,0.014910607289339496,0.0070625
13131,13180,0.014914217479768595,0.007125
3095,3196,0.014923767146655123,0.0071875
12060,12115,0.014924665253971148,0.00725
13105,13163,0.014932439412308445,0.0073125
12559,12620,0.01494149882137899,0.007375
850,932,0.014945284687690475,0.0074375
15952,15962,0.01495461465032039,0.0075
6171,6215,0.01495569090852593,0.0075625
11936,12007,0.014968886944263122,0.007625
299,306,0.014979304881339492,0.0076875
295,311,0.014987922961846001,0.00775
7730,7814,0.014998061246635028,0.0078125
143,190,0.015002706228699716,0.007875
257,283,0.015006264835512205,0.0079375
3179,3266,0.015013682287538297,0.008
194,186,0.015023727482808473,0.0080625
15208,15292,0.01503445956097988,0.008125
2868,2942,0.01504424478143464,0.0081875
240,275,0.01505097213391307,0.00825
15141,15216,0.015101692090116494,0.0083125
15218,15276,0.015109684247429502,0.008375
14025,14116,0.015137498984104119,0.0084375
879,946,0.015151448880822595,0.0085
12529,12603,0.015155893105014842,0.0085625
169,174,0.015165074308274407,0.008625
