,cdf,batch_num_prefill_tokens
0,0.0,0.0
1,0.01,0.0
2,0.02,0.0
3,0.03,0.0
4,0.04,0.0
5,0.05,0.0
6,0.06,0.0
7,0.07,0.0
8,0.08,0.0
9,0.09,0.0
10,0.1,0.0
11,0.11,0.0
12,0.12,0.0
13,0.13,0.0
14,0.14,0.0
15,0.15,0.0
16,0.16,0.0
17,0.17,0.0
18,0.18,0.0
19,0.19,0.0
20,0.2,0.0
21,0.21,0.0
22,0.22,0.0
23,0.23,0.0
24,0.24,0.0
25,0.25,0.0
26,0.26,0.0
27,0.27,0.0
28,0.28,0.0
29,0.29,0.0
30,0.3,0.0
31,0.31,0.0
32,0.32,0.0
33,0.33,0.0
34,0.34,0.0
35,0.35000000000000003,0.0
36,0.36,0.0
37,0.37,0.0
38,0.38,0.0
39,0.39,0.0
40,0.4,0.0
41,0.41000000000000003,0.0
42,0.42,0.0
43,0.43,0.0
44,0.44,0.0
45,0.45,0.0
46,0.46,0.0
47,0.47000000000000003,0.0
48,0.48,0.0
49,0.49,0.0
50,0.5,0.0
51,0.51,0.0
52,0.52,0.0
53,0.53,0.0
54,0.54,0.0
55,0.55,0.0
56,0.56,0.0
57,0.5700000000000001,0.0
58,0.58,0.0
59,0.59,0.0
60,0.6,0.0
61,0.61,0.0
62,0.62,0.0
63,0.63,0.0
64,0.64,0.0
65,0.65,0.0
66,0.66,0.0
67,0.67,61.99172297111608
68,0.68,694.3677234097261
69,0.6900000000000001,1065.2894483097232
70,0.7000000000000001,1343.4576440701555
71,0.71,1554.6441401850796
72,0.72,1735.4152246879198
73,0.73,1879.952920082763
74,0.74,2004.2035608860951
75,0.75,2098.550295130396
76,0.76,2192.9480614204563
77,0.77,2282.444000003328
78,0.78,2361.381454884735
79,0.79,2443.0489315248965
80,0.8,2527.5408466847143
81,0.81,2609.730197412827
82,0.8200000000000001,2683.8352975727694
83,0.8300000000000001,2760.0446634821596
84,0.84,2827.087048367164
85,0.85,2901.5552277849656
86,0.86,2983.9469022146714
87,0.87,3056.427945489638
88,0.88,3130.669576940732
89,0.89,3200.3075397272987
90,0.9,3271.4945148710844
91,0.91,3344.264958280721
92,0.92,3411.823614588018
93,0.93,3480.7470467426224
94,0.9400000000000001,3536.886939701134
95,0.9500000000000001,3601.127355287071
96,0.96,3666.5345684170143
97,0.97,3725.670970871839
98,0.98,3793.3402675119823
99,0.99,3862.2386404027006
100,1.0,4052.1475102051904
